article,issues
!Kung people,1
Acid,1
Africa Day,0
African music,0
Agriculture in South Africa,0
AIDS orphan,0
Alcohol abuse,0
Alcohol dependence,0
Alcoholism,0
Aloe vera,0
Aloe,1
Animal husbandry in South Africa,2
Animal husbandry,1
Animal-powered transport,0
Apartheid,0
Atom,0
Automobile,1
Base (chemistry),1
Bias,4
Bicycle,0
Bill of Rights (South Africa),0
Biome,2
Bird nest,0
Boiling,1
Borehole,0
Bullying,2
Castle of Good Hope,0
Cell (biology),0
Ceramic,0
Child abuse,0
Child abuseChild abuse,0
Children's Act (South Africa),0
Children's Day,0
Circuit diagram,1
Clay,0
Climate,0
Coal in South Africa,0
Coal,0
Coal,0
Control variable,1
Convenience food,0
Cooking,1
Cradle of Humankind,0
Decanting,0
Dependent and independent variables,1
Design,1
Discrimination,4
Domestic violence in South Africa,0
Domestic violence,1
Drakensberg,0
Duration (music),0
Economy of South Africa,1
Ecosystem,0
Electrical conductor,1
Electrical network,1
Electricity generation,1
Energy in South Africa,0
Fair trade,2
Farm,1
Fiber,1
Fire safety,4
Fire safety,4
Flag of South Africa,0
Food groups,0
Food pyramid (nutrition),0
Food security,1
Food vs. fuel,0
Food,0
Frances Baard,0
Free State (province),0
Freedom Day (South Africa),0
Gana and Gwi people,3
Gangster,1
Gauteng,0
Gender stereotypes,4
Glass,1
Griqua people,0
Hand washing,0
Health care in South Africa,0
Health,1
Herero and Namaqua Genocide,1
Heritage Day (South Africa),0
History of South Africa,8
History of writing,0
HIV,0
HIV/AIDS,0
Home safety,1
Hottentot Venus,1
Human nutrition,2
Human Rights Day,0
Human swimming,0
Hydraulics,0
Insulator (electricity),0
Khoikhoi mythology,0
Khoikhoi,1
Later Stone Age,0
Latitude,2
Liquid fuel,1
List of South Africans,1
Longitude,0
Mahatma Gandhi,1
Malaria,0
Mandela Day,0
Map,0
Mapungubwe Museum,0
Mapungubwe National Park,0
Mapungubwe,0
Mining industry of South Africa,1
Mpumalanga,0
Music of South Africa,2
National anthem of South Africa,0
National symbols of South Africa,0
National Women's Day,0
Nelson Mandela,0
Nest,0
Noise pollution,0
Oliver Tambo,1
Outer space,0
Outline of domestic violence,0
Paper,0
People Against Gangsterism and Drugs,0
Petrol-paraffin engine,1
Pitch (music),1
Pneumatics,0
Politics of South Africa,1
Pollution,0
Rail transport in South Africa,0
Rail transport,0
Reconciliation Day,0
Reproduction,0
Republic of South Africa,1
Right to food,0
Road map,0
Rock (geology),0
San healing practices,1
San languages,0
San people,0
San religion,0
San rock art,0
Sand,7
Scale (map),2
Scientific classification (disambiguation),0
Scientific method,2
Settling,0
Sexism,1
Sieving,1
Soil,0
Sound,0
South African cuisine,1
South African locomotive history,0
Standard Model,1
Stereotype,1
Steve Biko,0
Structure (disambiguation),0
Tap (valve)#Water taps,1
Textile,0
Trade,0
Transport in South Africa,0
Transport,0
Two foot gauge railways in South Africa,0
Vibration,1
Volume (disambiguation),0
Walter Sisulu,0
Water filter,1
Water pollution,0
Water privatization in South Africa,0
Water supply and sanitation in South Africa,0
Water well,0
Wax,0
Western Cape,2
Wetlands,0
Wildlife conservation,0
Wildlife management,0
Winnie Madikizela-Mandela,2
Wood,1
Wool,0
Youth culture,1
