article,notes
Convenience food,0
Agriculture in South Africa,0
Africa Day,0
Acid,0
African music,0
!Kung people,0
AIDS orphan,0
Alcohol dependence,12
Alcohol abuse,0
Aloe vera,0
Alcoholism,0
Aloe,0
Animal husbandry,0
Animal husbandry in South Africa,0
Animal-powered transport,0
Atom,2
Apartheid,0
Bias,0
Base (chemistry),0
Automobile,0
Bicycle,0
Biome,0
Bill of Rights (South Africa),0
Boiling,0
Bird nest,0
Borehole,0
Bullying,0
Castle of Good Hope,1
Cell (biology),0
Ceramic,0
Child abuse,0
Circuit diagram,0
Clay,0
Child abuseChild abuse,0
Children's Act (South Africa),0
Climate,0
Children's Day,0
Control variable,0
Coal in South Africa,0
Coal,0
Cradle of Humankind,0
Cooking,0
Decanting,0
Dependent and independent variables,0
Design,0
Domestic violence in South Africa,0
Discrimination,0
Drakensberg,0
Duration (music),0
Domestic violence,8
Electrical conductor,0
Economy of South Africa,0
Ecosystem,1
Electrical network,0
Energy in South Africa,0
Electricity generation,0
Fiber,0
Farm,0
Fair trade,0
Fire safety,0
Flag of South Africa,0
Food,93
Food groups,0
Food pyramid (nutrition),0
Food security,0
Frances Baard,0
Food vs. fuel,0
Free State (province),0
Gana and Gwi people,0
Freedom Day (South Africa),0
Gangster,0
Gauteng,0
Gender stereotypes,0
Griqua people,0
Hand washing,0
Glass,0
Health,0
Health care in South Africa,26
Heritage Day (South Africa),0
Herero and Namaqua Genocide,0
History of writing,2
History of South Africa,0
Home safety,0
HIV,0
Hottentot Venus,0
Human Rights Day,0
HIV/AIDS,0
Human nutrition,0
Human swimming,0
Hydraulics,9
Insulator (electricity),9
Khoikhoi,0
Khoikhoi mythology,0
Later Stone Age,0
Latitude,0
Liquid fuel,0
List of South Africans,0
Longitude,0
Mandela Day,0
Malaria,0
Mahatma Gandhi,0
Map,0
Mapungubwe Museum,0
Mapungubwe,11
Mapungubwe National Park,0
Mining industry of South Africa,0
National anthem of South Africa,0
Music of South Africa,0
Mpumalanga,0
National symbols of South Africa,0
Oliver Tambo,13
Nest,0
Noise pollution,0
National Women's Day,0
Nelson Mandela,0
Outer space,0
Outline of domestic violence,0
People Against Gangsterism and Drugs,0
Paper,0
Petrol-paraffin engine,0
Pitch (music),0
Pneumatics,1
Rail transport in South Africa,0
Politics of South Africa,0
Pollution,0
Rail transport,1
Reconciliation Day,0
Reproduction,20
Road map,0
Rock (geology),0
Right to food,0
San healing practices,0
San languages,5
Republic of South Africa,1
San religion,0
San rock art,9
San people,0
Sand,0
Scientific classification (disambiguation),0
Scale (map),0
Settling,0
Sieving,0
Scientific method,162
Sound,0
Soil,0
Sexism,0
South African cuisine,0
Steve Biko,0
Standard Model,0
Stereotype,0
South African locomotive history,0
Structure (disambiguation),0
Textile,0
Trade,50
Transport in South Africa,0
Tap (valve)#Water taps,0
Two foot gauge railways in South Africa,0
Transport,33
Volume (disambiguation),0
Water privatization in South Africa,0
Walter Sisulu,0
Water filter,0
Water pollution,0
Vibration,0
Water supply and sanitation in South Africa,0
Water well,0
Wax,0
Wildlife conservation,0
Western Cape,0
Wetlands,0
Wildlife management,0
Youth culture,0
Winnie Madikizela-Mandela,0
Wool,0
Wood,0
Coal,0
Fire safety,0
