article_15,editor,gender,editcount,registration,emailable,rigths
Acid,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Acid,DMacks,unknown,101294,2006-01-16T21:44:12Z,undefined,107
Acid,Pinethicket,unknown,126364,2009-05-13T16:12:45Z,no,49
Acid,Vuo,unknown,11080,2004-11-30T05:27:45Z,no,47
Africa_Day,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Africa_Day,Blainster,unknown,11774,2003-11-25T07:39:40Z,no,47
Africa_Day,Earflaps,unknown,37052,2012-04-09T18:44:30Z,undefined,45
Africa_Day,GoodDay,unknown,202663,2005-11-17T22:35:49Z,no,48
Africa_Day,Onel5969,male,79691,2009-11-06T03:47:43Z,undefined,49
Agriculture_in_South_Africa,AnomieBOT,bot,2123162,2008-08-07T17:09:33Z,undefined,53
Agriculture_in_South_Africa,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Agriculture_in_South_Africa,AvicBot,bot,631857,2010-03-19T00:49:44Z,undefined,53
Agriculture_in_South_Africa,Dbachmann,unknown,196087,2004-07-21T10:44:35Z,undefined,106
Agriculture_in_South_Africa,Dodger67,male,55884,2007-06-15T00:34:50Z,undefined,48
Agriculture_in_South_Africa,George8211,male,5837,2013-06-08T20:09:40Z,undefined,45
Agriculture_in_South_Africa,Toler1305,unknown,2,2015-12-02T05:52:55Z,undefined,31
AIDS_orphan,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
AIDS_orphan,Bender235,male,326566,2004-10-02T12:16:43Z,undefined,49
AIDS_orphan,Bilorv,unknown,8098,2013-12-13T17:15:54Z,undefined,45
AIDS_orphan,Chakalacka,unknown,41,2006-10-19T23:54:32Z,undefined,45
AIDS_orphan,Onel5969,male,79691,2009-11-06T03:47:43Z,undefined,49
Alcohol_abuse,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Alcohol_abuse,Dan Koehl,male,8942,2002-11-21T18:44:56Z,undefined,49
Alcohol_abuse,Doc James,male,155600,2007-03-12T03:48:20Z,undefined,106
Alcohol_abuse,Drg2813,unknown,5,2015-12-04T14:27:34Z,no,31
Alcohol_abuse,Rjwilmsi,unknown,786110,2005-03-04T11:57:51Z,no,48
Alcohol_abuse,Smm201`0,unknown,3777,2010-12-16T14:44:28Z,undefined,45
Alcohol_abuse,Thomas.W,male,35178,2006-12-16T23:23:34Z,undefined,48
Alcohol_dependence,Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Alcohol_dependence,CuriousPenguin,unknown,1,2015-05-13T14:43:59Z,no,31
Alcohol_dependence,Doc James,male,155600,2007-03-12T03:48:20Z,undefined,106
Alcohol_dependence,Gamingforfun365,unknown,2092,2015-01-25T16:23:31Z,no,45
Alcohol_dependence,Julietdeltalima,female,4574,2014-09-21T03:43:53Z,undefined,45
