article_2015,unique_editors,edits,avg_size,community,review,new_articles
2 ft gauge railways in South Africa,4,7,21440,false,false,false
Acid,6,10,36502,false,false,false
Africa Day,5,10,2275,false,false,false
Agriculture in South Africa,8,10,12917,true,true,false
AIDS orphan,6,6,2764,false,false,false
Alcohol abuse,7,10,46366,false,false,false
Alcohol dependence,7,10,9075,false,false,false
Alcoholism,9,10,108471,false,false,false
Aloe vera,6,10,30838,false,false,false
Aloe,5,10,19002,false,false,false
Animal husbandry in South Africa,0,0,0,false,false,false
Animal husbandry,7,10,17893,false,false,false
Animal-powered transport,3,4,3058,false,false,false
Apartheid,10,10,151694,true,true,false
Atom,8,10,111088,false,false,false
Base (chemistry),8,10,19747,false,false,false
Bias,9,10,66235,false,false,false
Bicycle,7,10,68401,true,true,false
Biome,7,10,20549,false,false,false
Bird nest,8,10,59768,false,false,false
Boiling,10,10,10744,false,false,false
Borehole,5,6,5452,false,false,false
Bullying,9,10,60070,false,false,false
Car,5,10,62299,false,false,false
Castle of Good Hope,7,10,9950,false,false,false
Cell (biology),5,10,45853,false,false,false
Ceramic,8,10,18790,false,false,false
Chapter Two of the Constitution of South Africa,3,3,28555,false,false,false
Child abuse,3,10,124328,false,false,false
Children's Act, 2005,1,1,3628,false,false,false
Children's Day,8,10,65274,false,false,false
Circuit diagram,9,10,10381,false,false,false
Clay,8,10,11028,false,false,false
Climate,10,10,36811,false,false,false
Coal in South Africa,8,10,13292,true,false,false
Coal,8,10,96046,false,false,false
Control variable,8,10,3285,false,false,false
Convenience food,6,10,24331,false,false,false
Cooking,8,10,38618,false,false,false
Cradle of Humankind,8,10,11730,true,true,false
Day of Reconciliation,9,10,2465,true,false,false
Decantation,8,10,2540,false,false,false
Dependent and independent variables,9,10,13099,false,false,false
Design,7,10,29229,false,false,false
Discrimination,6,10,86549,true,false,false
Domestic violence in South Africa,6,10,14291,true,true,false
Domestic violence,9,10,295333,true,false,false
Drakensberg,7,10,28544,false,false,false
Duration (music),4,4,2872,false,false,false
Economy of South Africa,7,10,79169,false,false,false
Ecosystem,8,10,52080,false,false,false
Electrical conductor,9,10,10397,false,false,false
Electrical network,9,10,8021,false,false,false
Electricity generation,6,10,34796,false,false,false
Energy in South Africa,4,10,16081,false,false,false
Fair trade,6,10,125704,false,false,false
Farm,10,10,21887,false,false,false
Fiber,5,10,12290,false,false,false
Fire safety,8,10,15332,false,false,false
Flag of South Africa,7,10,15513,false,false,false
Food group,9,10,6966,false,false,false
Food pyramid (nutrition),9,10,30187,false,false,false
Food security,7,10,107384,false,false,false
