article_14,edits,avg_size,
Marek Obrtel,9,2773,
Gas,1,38940,
San people,1,61403,
Mayday Parade,1,17954,
Star Singer,1,17000,
Silicon Institute of Technology,1,3040,
Ainapur_ Chincholi,1,3482,
Zhang Jike,1,8735,
Sivakarthikeyan,1,14748,
Crocodiles in India,1,4134,
Human Rights Day,1,12972,
National Women's Day,1,3047,
Vibration,2,43098,
Transport in South Africa,1,8395,
Human Rights Day,1,12866,
State Bank of India,1,26351,
Children's Day,1,62168,
Geek Squad,1,14763,
Alina Cho,1,2142,
Additive genetic effects,1,824,
Indian Telecommunication Service,1,10685,
List of types of numbers,2,6571,
Indian Institute of Spices Research,1,17935,
Domestic violence in South Africa,2,14270,
Youth culture,1,22290,
Tony Hendra,1,9717,
Sahih al-Bukhari,1,12194,
Aliano,1,4665,
Filip Đorđević,1,8755,
Zach Woods,4,5517,
Manuel Lanzini,1,3624,
List of South Africans,1,52199,
Sharlto Copley,5,13159,
Tanit Phoenix,3,11938,
Winnie Madikizela-Mandela,2,28089,
Boiling,1,10290,
Walthamstow,3,24195,
Music of South Africa,1,55094,
Oliver Tambo,2,11079,
Thief II,8,60424,
Fire safety,1,15471,
Food pyramid (nutrition),2,28290,
Music of South Africa,1,55098,
Cradle of Humankind,1,9416,
Africa Day,1,2087,
Base (chemistry),1,11765,
Toulouse,1,46484,
Reserve Bank of India,1,30761,
Water pollution,1,37400,
Carbon credit,1,32198,
Ethernet hub,1,7445,
Mangalwedha,1,5180,
The Vampire Diaries (season 6),1,22024,
Environment Protection Act_ 1986,1,2208,
Lingaa,1,43500,
Texephyr,1,2145,
Glass,2,59349,
Climate,2,33041,
Insulator (electricity),1,27805,
Duration (music),1,2919,
Bosnian War,1,164187,
Nafl prayer,1,34059,
Castle of Good Hope,1,9764,
Western Cape,1,36117,
Farm,1,18035,
Mining industry of South Africa,1,18610,
Duration (music),1,2793,
Chungking Express,1,17093,
Hydraulics,1,11292,
Sound,2,16799,
Human Rights Day,1,13089,
Soil,2,198500,
Mind map,1,16122,
Water pollution,2,37675,
Consumer protection,1,17749,
List of South Africans,1,52232,
Khoikhoi,1,11765,
Bias,1,4933,
Acid,1,36266,
Sound,1,16536,
Ecosystem,1,52055,
Shake_ Rattle & Roll 2k5,1,4383,
Shake_ Rattle & Roll IV,1,4468,
Shake_ Rattle & Roll II,1,6644,
Shake_ Rattle & Roll III,1,6721,
Shake_ Rattle & Roll VI,1,3492,
Jessabelle,1,10668,
Maria Leonora Teresa,1,2709,
Shake_ Rattle & Roll XV,1,3736,
Electricity generation,1,32461,
Human Rights Day,1,13104,
Pitch (music),1,26199,
Longitude,2,24472,
Noise pollution,1,17858,
Engineering,1,49067,
Electrical network,1,8297,
Nerve,5,8751,
Outline of academic disciplines,1,58205,
Liquid fuel,1,13874,
Health,1,34083,
Bridge to Terabithia (novel),1,622,
South African cuisine,1,19141,
San people,2,64217,
San religion,1,17092,
Design,1,29402,
Peachtree Center,1,8470,
Central College of Bangalore,2,1883,
List of busiest airports in India,1,10963,
Lists of network protocols,1,1689,
Devendra Fadnavis,1,7542,
W3Schools,1,2414,
Fire safety,3,15489,
Base (chemistry),1,11751,
Associative property,1,16200,
Alessandro Volta,1,14745,
Porirua,1,16585,
Charles-Augustin de Coulomb,1,10884,
Germany national football team,1,104780,
Fan-out,1,7628,
Gas,2,38911,
Alcohol and sex,1,13670,
Environmental effects of cocoa production,1,14500,
Chagas disease,1,55964,
Continuation War,1,105039,
Manchester Cenotaph,2,3297,
High Speed 2 Phase Two,1,15450,
Longitude,1,24462,
North Germanic languages,1,39456,
Children's Day,2,62042,
The Westminster Schools,1,25940,
Liquid fuel,1,13919,
Nest,1,22111,
Oophagy,1,3095,
Polistes gallicus,1,20548,
Polistes metricus,1,40343,
Polistes carolina,2,21332,
Polistes erythrocephalus,4,21716,
