article_15,avg_size,edits
138 Tolosa,3652,1,
1745 in literature,5840,1,
1766 in literature,5118,1,
1786 in literature,5427,1,
1796 Heavy Cavalry Sword,11589,1,
1821 in literature,5740,1,
1846 in Wales,158734,1,
1849 in literature,8017,1,
1853 in literature,6108,1,
1890 in literature,9297,1,
1892,26673,1,
1906 San Francisco earthquake,56216,3,
1948 Donora smog,12215,1,
1979 general election,601,1,
1979 in literature,11669,1,
1989–90 UNLV Runnin' Rebels basketball team,4001,1,
1990 FIVB Volleyball Men's World Championship squads,38962,1,
1990,103213,1,
1992 Los Angeles riots,91498,1,
1992–93 New Jersey Nets season,6238,1,
1993–94 New Jersey Nets season,5484,1,
1994–95 New Jersey Nets season,4646,1,
1995–96 Manchester City F.C. season,18251,1,
1996–97 Golden State Warriors season,4987,1,
1996–97 Manchester City F.C. season,16650,1,
1997–98 Manchester City F.C. season,24348,1,
1998–99 New Jersey Nets season,4441,1,
1998–99 Portsmouth F.C. season,15689,1,
1999 AFL season,48080,1,
1999–2000 Portsmouth F.C. season,16095,1,
2 ft 6 in gauge railroads in the United States,4434,3,
2 ft gauge railroads in the United States,10168,3,
2000–01 Plymouth Argyle F.C. season,40324,1,
2001–02 Plymouth Argyle F.C. season,44224,1,
2002–03 Plymouth Argyle F.C. season,38805,1,
2003–04 Plymouth Argyle F.C. season,40605,1,
2006 New Jersey state government shutdown,25736,1,
2006–07 Torquay United F.C. season,19243,1,
2009 Fort Hood shooting,155668,1,
2009 Pacific hurricane season,75928,1,
2009–10 FK Rudar Pljevlja season,29267,1,
2014–15 Big 12 Conference men's basketball season,33199,1,
2014–15 National First Division,3584,2,
2015 Address Hotel fire,288,4,
2015 Australian Open,60220,1,
2015 BFD Energy Challenger – Doubles,6353,1,
2015 Dutch National Track Championships,4328,3,
2015 in South Africa,25405,1,
2015 Rugby World Cup Pool A,57232,1,
2015–16 Real Madrid C.F. season,81062,1,
2015–16 UK and Ireland windstorm season,31740,1,
2016 Address Hotel fire,66,1,
2016 Alpine Skiing World Cup,64090,5,
2016,5261,1,
2182 kHz,6446,1,
3 ft gauge railroads in the United States,37155,4,
32Red,3641,2,
555 timer IC,21118,5,
56 Nights,3877,1,
600-meter amateur radio band,15452,1,
666,17,1,
9 (number),29965,1,
947 (radio station),7816,1,
9mm Winchester Magnum,2291,1,
A Bigger Splash (film),10172,1,
A Christmas Carol (2004 film),10032,1,
A Christmas Carol (2009 film),23371,1,
A Fairly Odd Movie: Grow Up, Timmy Turner!,11972,1,
A Fairly Odd Summer,6074,1,
A for Andromeda,28211,1,
A Game of Thrones:Second Edition (card game),2378,1,
A Long Time Comin',4101,1,
A Man Called Horse (film),7088,1,
A Royal Night Out,6027,1,
A Vision of Judgment,5262,1,
A Wizard of Mars,14355,1,
A Wrinkle in Time,49289,1,
A. David Andrews,7093,1,
A. David Thackeray,3583,1,
A. E. van Vogt,37356,1,
A. Langley Searles,3054,1,
A.I. Artificial Intelligence,42353,1,
Aaj Mood Ishqholic Hai,3244,1,
ABC Music,8139,1,
Abdul Rahman Shalabi,26360,2,
Abdus Salam,88624,1,
Absorption spectroscopy,20535,1,
Abu Ishaq Al Heweny,1492,1,
ACAMPs,12853,1,
Accelerometer,33780,1,
Accenture,24182,1,
Accession of Turkey to the European Union,115132,1,
Accipitridae,45372,1,
Aces High (anthology),2791,1,
Achonry,2650,1,
Acid,36484,1,
Acid,36486,4,
Adam de Colone,5276,1,
Adana Archaeology Museum,4485,1,
Adani Group,15496,2,
Addo Elephant National Park,7579,1,
Address bar,6211,2,
Adelperga,4594,2,
Adiabatic process,34456,1,
Adrián Fernández,51097,1,
Advantageous,10883,1,
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,6728,1,
Adverse Childhood Experiences Study,37791,1,
Advertising,89263,2,
AES instruction set,12780,3,
AFC Asian Cup,19141,1,
AFF Championship,15026,1,
Africa Business Report,2755,1,
Africa Cup of Nations,41272,1,
African National Congress Women's League,2306,1,
Afrikaner (disambiguation),443,1,
Afro-American religion,5524,1,
Agar.io,12351,1,
Agar.io,13188,1,
Agents of S.H.I.E.L.D. (season 3),74870,1,
Agents of S.H.I.E.L.D.,131816,1,
Agriculture in Estonia,5329,1,
Agriculture in South Africa,12976,2,
Agriculture in South Africa,13002,1,
Agustín Lara,8139,1,
Ahir clans,17024,1,
Ahmed Nihad,6394,1,
Ahron Young,5251,1,
AIDS orphan,3334,1,
Air traffic control,54661,1,
Al Baik,5161,1,
Al Wadud,1839,1,
AL-Bairaq,17575,1,
Al-Raqqah,32053,3,
Alan Ayckbourn,51282,1,
Albany BWP Highlanders,10824,1,
Albert Bridge, London,30361,1,
Alberton, Gauteng,6779,2,
Alcohol abuse,46549,5,
Alcohol abuse,46634,1,
Alcohol and Native Americans,21946,4,
Alcohol dependence,9050,1,
Alcohol-related brain damage,8451,2,
Alcoholism,108406,1,
Alcoholism,108599,2,
Alden, New York,11509,1,
Aleksandria,442,1,
Aletta Ocean,3220,1,
Alex Kelly (rapist),10429,2,
Alexandra Sicotte-Levesque,4513,2,
Alfalfa,59173,2,
Alfred Baphethuxolo Nzo,7175,2,
Alhassan Dantata,14721,1,
Alice Pung,5268,1,
Alicia Silverstone,42173,1,
Alien language,16648,1,
Aliko Dangote,16117,1,
All Because of You,1226,1,
All-women shortlists,19487,2,
Allan Boesak,16175,1,
Allan Octavian Hume,93110,1,
Allen Eagle Escadrille,4245,3,
Allium,34630,2,
Alma Mater Society of Queen's University,10715,3,
Almond,52532,2,
Aloe comosa,6392,1,
Aloe cooperi,1058,5,
Aloe cooperi,2382,1,
Aloe vera,30710,5,
Aloe vera,30941,1,
Aloe vera,31104,1,
Aloe,19019,6,
Aloe,19085,1,
Aloe,19087,1,
Alpha Group,49445,1,
Alpha Kappa Alpha,74838,1,
Altec Lansing,13224,1,
Alumina Limited,2904,1,
Amaranth,34066,1,
Amazon.com,155312,1,
Ameesha Patel,43694,1,
American Airlines,117173,1,
American Drum Manufacturing Company,1832,1,
American lobster,40929,1,
American Society for Psychical Research,14906,1,
Americana (revue),3803,2,
Americana (Revue),47,1,
Americas,107211,1,
Amherst Peak,1361,1,
AMIA bombing,41000,1,
Amorphophallus titanum,16356,1,
Amphetamine,184836,1,
Ampleforth College,24672,1,
Amy (2015 film),38595,1,
Amy Poehler,48604,1,
Amália Rodrigues,20052,1,
An Alpine Symphony,35604,1,
Anachronism,18446,1,
Analogy,40694,1,
Ancient grains,1110,4,
Anders Rapp,2466,1,
Andhra University,19853,1,
Andrena agilissima,13107,1,
Andrew Marr's History of Modern Britain,15017,1,
Andrew,24415,1,
Andrussow process,2856,2,
Angela Merkel,101620,1,
Anglican Church of Southern Africa,27416,1,
Anglo-Saxon paganism,73769,10,
Anglo-Zulu War,58721,1,
Angular momentum coupling,15885,1,
Anheuser-Busch InBev,22365,1,
Anheuser-Busch,41189,1,
Animal husbandry,17886,2,
Animal-powered transport,3045,1,
Animal-powered transport,3124,1,
Anita Allen (judge),2938,2,
Anki (Finnish company),2683,1,
Anne Maxwell,214,1,
Anno Domini,36387,1,
Ant-Man (Scott Lang),31250,1,
Anthony Fokker,23786,1,
Anti-art,43620,1,
Anti-spam techniques,53528,1,
Anticyclonic tornado,4825,1,
Anvil firing,6739,1,
Anya Taylor-Joy,3256,1,
AOC1,39,1,
Aola Star,3242,1,
Apartheid,151559,1,
Apartheid,151574,1,
Apartheid,151575,1,
Apartheid,151576,1,
Apartheid,151582,1,
Apartheid,151587,1,
Apartheid,152023,1,
Apeiron (cosmology),22272,1,
Apiaceae,17265,1,
Aplysia morio,5130,1,
Apostle (Christian),39124,2,
Apostolic Vicariate of Kimberley in Orange,6997,2,
Appius Claudius Pulcher (consul suffectus),1476,1,
Applications of artificial intelligence,17951,1,
AR-15,59443,1,
Arabian (disambiguation),1105,1,
Arad, Romania,29826,1,
Aranese dialect,21210,1,
Arashi no Yoru ni,17646,1,
Aravah (Sukkot),3476,1,
ARC fusion reactor,5423,3,
Archery,24,1,
Are You with Me (Lost Frequencies song),13424,1,
Arecibo message,14306,1,
Argument (linguistics),15783,1,
Aristotelian ethics,31795,1,
Arizona State University,121532,1,
Armanti Edwards,32208,1,
Army (Ellie Goulding song),1832,3,
Arnold Vosloo,14510,1,
Arplast Helice,1014,1,
Arsenic poisoning,38241,1,
Arthur B. Robinson,20037,1,
Arthur Laffer,13340,1,
Article 42A of the Constitution of Ireland,88,1,
Aryan paragraph,4362,1,
Aryan paragraph,4362,1,
Ash Baron-Cohen,4098,1,
Ashley Prange,5249,1,
Ashwell,621,1,
Asian cuisine,9874,1,
Aspect of music,16852,1,
Aspect of music,19311,3,
Assassination of John F. Kennedy in popular culture,20331,1,
Assassination of John F. Kennedy,93133,1,
Assassination of Louis I, Duke of Orléans,4907,1,
Assyrian Neo-Aramaic,48600,1,
Asynchronous serial communication,6514,2,
Atheism,152844,1,
Atoll,19346,1,
Atom,111129,2,
Atomic bombings of Hiroshima and Nagasaki,165383,1,
Attack on Titan (film),27765,1,
Atychiphobia,10947,1,
Augustus,137139,1,
Australia 108,24555,1,
Australian federal election, 1998,16353,1,
Australian sea lion,22156,1,
Auto-Saharan Company,11203,1,
Automatic rifle,22655,1,
Autopia,18516,1,
Autumn Jackson,15779,3,
Averroes,40065,4,
Avshalom pollak,45,1,
Avshalom Pollak,7105,2,
Axedale,2944,1,
Aztec mythology,13903,1,
B-tree,41198,1,
Babuyan Islands,4267,1,
Back to the Night,13275,1,
Backstory,3444,1,
Backup,35617,6,
Bajaj Chetak,2842,2,
Ball differential,5223,1,
Ballet dancer,10852,1,
Bamboo,65717,1,
Bangladeshi cuisine,26893,1,
Baragwanath,1942,1,
Barkhan District,5356,1,
Barley water,2050,1,
Barpeta Satra,8262,1,
Bart Starr,25528,1,
Bartolomeo Platina,17561,1,
Base (chemistry),19696,2,
Base (chemistry),19729,2,
Base (chemistry),19760,1,
Base (chemistry),19764,2,
Basic Military Training Centre,3412,2,
Basilica of Our Lady of the Assumption,20404,3,
Battle of Harpers Ferry,24105,1,
Baudelaire family,17130,1,
BBC Three (former),33162,1,
Bedrock,3177,3,
Beef Stroganoff,8044,2,
Beer jam,6946,2,
Beijing Shougang,486,1,
Bell's palsy,30541,1,
Ben Hardy (actor),5158,1,
Bengal florican,13369,1,
Bent-over row,6077,1,
Benzaldehyde,11680,3,
Benzyl bromide,2726,1,
Bernat,1508,1,
Berry,43306,1,
Bessarabian Soviet Socialist Republic,2787,1,
Betfair,27560,1,
Betty's Bay,2551,1,
Bharathi Kannamma (TV series),3326,1,
Bias,66151,1,
Bicentennial Minutes,6893,2,
Bicycle,68224,1,
Bicycle,68642,1,
Big Chocolate,6216,1,
Big Data Scoring,7377,2,
Big Timber Creek,18859,1,
Big Tom,10544,1,
Bill Cosby sexual assault allegations,170113,7,
Bill Cosby,83803,1,
Bill Murray,54475,1,
Billionaire,7438,1,
Billy Glaze,7469,1,
Billy Mays,23098,1,
Binding off,4673,1,
Biogas,47561,2,
Biology and sexual orientation,75826,1,
Biome,20537,4,
Biome,20561,2,
Bird flight,33996,1,
Bird nest,59741,1,
Birmingham Central Library,27278,1,
Black and Tans,19610,1,
Black Beauty (1987 film),18987,4,
Black Beauty (1994 film),10825,1,
Black Dyke Halt railway station,3040,1,
Black Mountain (range),11515,4,
Black River (New York),10635,1,
Black September Organization,17092,1,
Blackwell's Island (film),2734,1,
Blind Love (2015 film),3385,2,
Blister,11445,1,
Boating,23312,1,
Bobby Petrino,29668,1,
Bobenthaler Knopf,2613,1,
Bobotie,6707,4,
Body mass index,41780,2,
Body mass index,43139,2,
Boekenhouthoek,1738,1,
Boer Republics,16016,1,
Boer,43414,1,
Boerewors,5285,1,
Boerewors,5285,1,
Boethius,49607,1,
Bogaerts International School,1967,1,
Boiling,10349,1,
Boiling,10986,1,
Boiling,11060,1,
Bokkoms,12788,1,
Bon Voyage! (1962 film),8181,2,
Bonaparte's gull,19297,5,
Bonawentura Niemojowski,6875,1,
Bonfire Night,7687,1,
Bookcase,15087,1,
Borehole,5377,1,
Borehole,5377,2,
Borehole,5757,1,
Boreland,879,1,
Boston Spa,12194,1,
Botla Vanaparthy,3020,1,
Bound and unbound morphemes,3967,2,
Bourgeoisie,35486,1,
Bow and arrow,19013,1,
Bowling (cricket),21161,1,
Boy Better Know,8846,2,
Boycott,20428,2,
Brachyiulus apfelbecki,846,1,
Brachyiulus bagnalli,863,1,
Brachyiulus jawlowskii,728,1,
Brachyiulus klisurensis,723,1,
Brachyiulus lusitanus,852,1,
Brachyiulus stuxbergi,943,2,
Brachyiulus varibolinus,745,1,
Brahma Upanishad,9381,1,
Brandenburg Concertos,24432,1,
Brandon Barker,4186,1,
Breaking Bad,115802,1,
Brendan Fraser,22156,1,
Breve,8384,1,
Brewery,23318,1,
Brewing,78585,1,
Brian Glover,10608,1,
Bridal Mask,16313,1,
Bright Bricks,2286,2,
British Hong Kong,26951,1,
British literature,287283,3,
British Rail Class 37,54870,1,
British Royal Family,17639,1,
British School Manila,5084,3,
Broadstone,434,1,
Brock Osweiler,7337,1,
Brokeback Mountain,70379,1,
Brotherly Love (2015 film),5003,1,
BRP Felix Apolinario (PG-395),6818,1,
Bruce Jenner's World Class Decathlon,1339,1,
Brun–Titchmarsh theorem,2550,1,
Bryan Fischer,37304,1,
BryanStars,8089,1,
BSP (file format),7990,2,
Btechguru,7861,1,
Bubble gum,4907,1,
Buckfast Abbey,25739,1,
Budva,29215,1,
Buenaventura, Valle del Cauca,18309,1,
Buenos Aires Central Business District,19603,1,
Building automation,29393,1,
Bujumbura,14665,1,
Bukavu,15622,1,
Bukhara,30642,1,
Bulgarian Black Sea Coast,5939,1,
Bulldog,22139,1,
Bullying,59857,1,
Buraq,12623,1,
Burbank, California,154276,3,
Burr Oak, Ohio,2848,1,
Bus (computing),24131,1,
Byron Peak,2540,1,
C syntax,70634,1,
Cabane de Saleina,764,1,
Cabri Geometry,2762,1,
Call of Duty: Black Ops,89548,1,
Callorhinchidae,11149,1,
Camiguin,29781,1,
Camp Gilbert H. Johnson,6242,1,
Canadair,13487,1,
Canadian English,102649,2,
Canadian Pacific Railway,116981,1,
Canberra Rugby League,9643,1,
Candice Warner,5312,1,
Candomblé,23377,1,
Canon de 138 mm Modèle 1910 naval gun,4387,1,
Cap,3140,1,
Cape Coloureds,13168,1,
Cape Fold Belt,34393,1,
Cape Peninsula,28758,2,
Cape Town,90875,3,
Capital District (Venezuela),3801,1,
Capitalism,188640,1,
Capitol Hill (TV series),5815,1,
Capsicum,32962,1,
Captain America: The Winter Soldier,152139,1,
Captain Phasma,15593,1,
Captaincy General of Santo Domingo,15780,1,
Caput,1881,1,
Car (disambiguation),5582,1,
Carbon nanotube field-effect transistor,28870,1,
Carbon tax,138054,1,
Carl Caldenius,2731,1,
Carmacks, Yukon,9454,1,
Carrageenan,31722,3,
Carson Palmer,62553,2,
Carton,6828,2,
Cashmere Cat,13862,1,
Casing (sausage),7689,1,
Castellammarese War,15161,1,
Castlereagh (borough),8258,1,
Cat,137343,1,
Catahoula Cur,17228,1,
Cecilia,5046,1,
Cedar Falls, Iowa,23685,1,
Cell (biology),46549,1,
Celâl Şengör,22468,1,
Central Asian Internal Drainage Basin,2873,1,
Central processing unit,64123,1,
Ceramic,17491,1,
Ceramic,18832,1,
Ceratostigma willmottianum,1366,1,
Cerro Matoso mine,1916,1,
Certificate of deposit,16746,1,
Certificate of Financial Responsibility,1649,1,
CFOP Method,5541,1,
CFRC-FM,9593,3,
Chai,1512,1,
Chaldean Neo-Aramaic,12361,1,
Champagne glass,9332,4,
Characters of StarCraft,160596,2,
Charles Barkley,80952,1,
Charles Wesley,23069,1,
Charley Foy,22928,1,
Charlie Ross (singer),1836,2,
Cheaper by the Dozen,3855,1,
Cheese bread,655,1,
Chemical substance,21072,1,
Chennai,187317,1,
Chess,108833,1,
Chevrolet Sales India Private Limited,7575,1,
Chi Li,3008,1,
Chia,1550,1,
Chibok schoolgirls kidnapping,51429,1,
Children's Day,63721,5,
Children's Day,64879,2,
Children's Day,65108,1,
Children's Day,65136,2,
Children's Day,65588,2,
Children's Day,65679,1,
Children's programming on ABC Television,14227,1,
China (disambiguation),3530,4,
Chinese Communist Revolution,9706,4,
Chinese South Africans,24519,6,
Chinklacamoose,2033,3,
Chinnodu,2457,1,
Chipotle Mexican Grill,118435,1,
Chives,16577,2,
Chocolate cake,4370,2,
Choctaw freedmen,2759,2,
Chris Baldwin (director),4304,1,
Chris Grabenstein,5474,1,
Chris Hani Baragwanath Hospital,4540,3,
Chris Hani,14791,2,
Chris Haywood,5467,1,
Chris Murphy (Connecticut politician),38069,2,
Chris Sanders (director),11994,1,
Christina Aguilera (album),75187,3,
Christmas music,74342,1,
Christmas traditions,179755,2,
Chromaticity,5201,1,
Chronchitis,5079,1,
Chronophotography,9608,1,
Chrysler (division),9239,1,
Chrysler,71843,1,
Chua Lam,6026,1,
Chuck Norris (politician),3053,4,
Chulalongkorn,33919,3,
Church bell,27560,1,
Church Knowle,3692,1,
Church of Saint Francis of Assisi (Alcamo),7021,1,
Church of Scientology,112479,4,
Church of the Annunciation (Alcamo),8887,1,
Church of the Czech Brethren,545,1,
Church Universal and Triumphant,24743,1,
CIE 1931 color space,34399,1,
CinePaint,6809,1,
Circle dance,28245,1,
Circle K,15455,1,
Circuit diagram,10298,1,
Circuit diagram,10353,1,
Circuit diagram,10383,1,
Circuit diagram,10392,1,
Citadel Hill (Fort George),24940,1,
Citrus production,18645,1,
City,48611,1,
Civil Works Administration,5602,1,
Clair Omar Musser,9898,1,
Clara Blandick,15002,1,
Clarence B. Robinson,1000,1,
Clark electrode,4716,1,
Claudette Colvin,18156,1,
Clay,12222,1,
Clay,12233,1,
Clay,12299,3,
Clay,14,1,
Clean Water Act,56521,2,
Clearvision,4519,1,
Cleavage (breasts),42649,1,
Clifton Hall Tunnel,2415,1,
Climate of Italy,24354,1,
Climate,36745,1,
Climate,36747,1,
Climate,36747,1,
Climate,36786,1,
Climate,36790,1,
Climate,37276,1,
Clive Swift,7295,1,
Clivia miniata,3091,1,
Clock of the Long Now,16825,2,
Clock tower,9319,1,
Clorox,26689,10,
Clovelly Lifeboat Station,5178,8,
Clovis, New Mexico,26303,1,
Coal in South Africa,13211,1,
Coal in South Africa,13451,2,
Coal mining in the United Kingdom,16601,1,
Coal mining in the United Kingdom,17425,1,
Coal seam fire,33550,1,
Coal,94806,1,
Coal,95742,1,
Coal,95983,1,
Coal,96808,2,
Cochituate, Massachusetts,7416,1,
Coconut,79026,1,
Codex Theodosianus,14185,1,
Colbert, Oklahoma,8824,1,
Colin McCool with the Australian cricket team in England in 1948,40580,1,
Collagen,60519,1,
Colleen Camp,12031,2,
College of Arms,110926,1,
College of Technology, Pantnagar,19602,3,
Cologne Cathedral,27461,3,
Colonial Conquest,5406,2,
Color rendering index,42727,1,
Color,40175,1,
Colorado Springs Planned Parenthood shooting,32977,2,
Colosseum,56950,4,
Columbus, Ohio (Downtown),37,1,
Comedy Central,39707,1,
Comic Sans,20694,1,
Commission nationale consultative des droits de l'homme,1833,1,
Commissioner Street (Johannesburg),11427,1,
Common Era,70533,1,
Communal shower,4575,1,
Comparison of audio player software,48945,1,
Comparison of free web hosting services,6124,1,
Comparison of user interface markup languages,8831,2,
Compressed air,8025,1,
Computer security,92709,1,
CONCACAF Gold Cup,19295,1,
Concorde,159557,1,
Concordia Lutheran Church (Frohna, Missouri),4726,1,
Concussion (2015 film),13922,1,
Conn O'Neill, 1st Earl of Tyrone,8788,1,
Conn-Selmer,7143,1,
Connective tissue,10508,1,
Consolidated and Further Continuing Appropriations Act, 2013,13508,1,
Consolidated Appropriations Act, 2014,19208,1,
Consolidated Appropriations Act, 2016,3684,4,
Conspiracy Theory with Jesse Ventura,31733,1,
Conspiracy theory,64578,1,
Constitution of Sweden,15527,1,
Constitutional amendment,35082,1,
Control variable,2280,1,
Control variable,3396,1,
Control variable,3422,1,
Control variable,3423,1,
Controlled Substances Act,57918,1,
Convenience food,24353,1,
Convenience food,24357,1,
Convex hull,17344,1,
Coogi,6413,1,
Cook stove,27492,1,
Cooking Mama 2: Dinner with Friends,7212,1,
Cooking Mama,12018,1,
Cooking,38389,2,
Cooking,38653,2,
Cooking,38862,1,
Cooking,38909,2,
Coolidge v. New Hampshire,4903,1,
Copa América,39349,1,
Cope,20042,1,
Corinto, Nicaragua,9426,1,
Cork–Galway hurling rivalry,19041,1,
Corn (disambiguation),763,3,
Corporal punishment in the home,74478,1,
Corvus (genus),44958,1,
Cosmic Scrat-tastrophe,2545,1,
Council of State (Ireland),42403,2,
Counterterrorism Center,12489,1,
Countryside and Rights of Way Act 2000,4768,1,
County (United States),52549,1,
County Antrim,28784,1,
County Armagh,27607,2,
Cowboy church,5429,1,
Coyote Ugly Saloon,4549,1,
Cradle of Humankind,11686,1,
Cradle of Humankind,11781,1,
Craig Joubert,29534,1,
Creative Partnerships,2643,1,
Cricket,99151,1,
Crocidura allex,67,1,
Crocs,33622,2,
Cromwellian conquest of Ireland,45921,2,
Crystal Palace F.C.,85584,1,
Crystal Pepsi,11517,1,
Cuban dissident movement,37293,1,
Cuban Missile Crisis,124071,1,
Cuban Revolutionary Armed Forces,34163,1,
Cubes (OLAP server),7600,1,
Cumberland, Rhode Island,18107,3,
Cumberland,25595,1,
