article                                    ,editor                       ,gender ,editcount,registration        ,emailable,rigths
!Kung_people                               ,Gorobay                      ,male   ,63765    ,2011-09-20T15:56:32Z,no       ,45    
Acid                                       ,KylieTastic                  ,unknown,85976    ,2006-11-18T15:15:09Z,undefined,49    
Alcoholism                                 ,Trappist the monk            ,unknown,153146   ,2009-08-09T16:35:26Z,no       ,106   
Alcoholism                                 ,Tassedethe                   ,unknown,628901   ,2008-05-13T16:17:01Z,undefined,106   
Base_(chemistry)                           ,Gilliam                      ,male   ,293990   ,2005-10-17T04:51:12Z,undefined,106   
Alcoholism                                 ,BattyBot                     ,unknown,851094   ,2011-12-30T00:06:00Z,undefined,53    
Alcoholism                                 ,Gob Lofa                     ,unknown,17774    ,2011-04-13T19:55:35Z,undefined,46    
Acid                                       ,Denisarona                   ,unknown,58570    ,2007-07-02T14:38:58Z,no       ,48    
Base_(chemistry)                           ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Alcoholism                                 ,Doc James                    ,male   ,155552   ,2007-03-12T03:48:20Z,undefined,106   
Alcoholism                                 ,Layzeeboi                    ,unknown,589      ,2012-02-26T21:01:41Z,undefined,45    
Base_(chemistry)                           ,Manul                        ,male   ,7321     ,2013-07-14T00:13:24Z,undefined,48    
Automobile                                 ,Armbrust                     ,male   ,256736   ,2008-12-03T23:15:06Z,undefined,49    
Animal_husbandry_in_South_Africa           ,Lfstevens                    ,male   ,36626    ,2006-06-26T13:15:10Z,undefined,45    
Animal_husbandry                           ,PhilKnight                   ,male   ,90070    ,2006-07-17T20:50:03Z,undefined,114   
Aloe                                       ,Peter coxhead                ,male   ,57968    ,2006-09-04T15:13:10Z,undefined,51    
Automobile                                 ,Number 57                    ,unknown,113942   ,2005-07-10T13:34:58Z,undefined,106   
Aloe_vera                                  ,Peter coxhead                ,male   ,57968    ,2006-09-04T15:13:10Z,undefined,51    
Animal_husbandry                           ,I dream of horses            ,female ,194653   ,2009-05-13T20:36:29Z,undefined,49    
Aloe                                       ,Stemonitis                   ,unknown,178364   ,2004-12-23T13:49:21Z,undefined,106   
Animal_husbandry_in_South_Africa           ,AnomieBOT                    ,unknown,2121221  ,2008-08-07T17:09:33Z,undefined,53    
Animal_husbandry_in_South_Africa           ,TruthbringerToronto          ,unknown,6566     ,2006-05-07T20:34:14Z,undefined,48    
Aloe                                       ,Benny White                  ,male   ,1372     ,2009-02-09T16:04:33Z,undefined,45    
Animal_husbandry_in_South_Africa           ,Dthomsen8                    ,male   ,280607   ,2008-01-24T19:36:16Z,undefined,50    
Animal_husbandry                           ,Rsrikanth05                  ,male   ,66496    ,2005-06-24T11:26:39Z,undefined,49    
Acid                                       ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Bias                                       ,BG19bot                      ,unknown,718831   ,2011-05-03T06:25:50Z,undefined,53    
Animal_husbandry                           ,DRAGON BOOSTER               ,male   ,33690    ,2009-11-26T16:27:50Z,undefined,48    
Aloe                                       ,JustAGal                     ,unknown,172780   ,2006-05-24T21:24:07Z,no       ,49    
Aloe_vera                                  ,DocWatson42                  ,unknown,75553    ,2004-01-16T00:29:51Z,undefined,47    
Animal_husbandry_in_South_Africa           ,Timtrent                     ,male   ,67342    ,2006-03-29T21:40:32Z,undefined,48    
Animal_husbandry                           ,TVAni                        ,unknown,1        ,2014-11-02T04:13:42Z,no       ,31    
Aloe                                       ,Abu Shawka                   ,unknown,8162     ,2010-04-13T12:25:51Z,no       ,47    
Aloe_vera                                  ,Anjalipatwal                 ,unknown,396      ,2014-09-27T10:31:05Z,undefined,45    
Animal_husbandry                           ,PCHS-NJROTC                  ,unknown,13992    ,2007-12-15T00:56:41Z,undefined,48    
Alcohol_abuse                              ,Primefac                     ,unknown,29955    ,2010-01-23T16:40:24Z,no       ,47    
Alcohol_abuse                              ,Doc James                    ,male   ,155552   ,2007-03-12T03:48:20Z,undefined,106   
Alcohol_abuse                              ,Trappist the monk            ,unknown,153146   ,2009-08-09T16:35:26Z,no       ,106   
Bias                                       ,Platycerium bifurcatum       ,unknown,1        ,2014-11-23T20:04:06Z,no       ,31    
Alcohol_abuse                              ,Mengyu11                     ,unknown,94       ,2014-09-15T19:20:23Z,undefined,45    
Alcohol_abuse                              ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Alcohol_abuse                              ,FrescoBot                    ,unknown,675226   ,2009-02-19T07:08:26Z,undefined,53    
Aloe_vera                                  ,Jonkerz                      ,unknown,51689    ,2009-08-28T02:39:09Z,undefined,46    
Bias                                       ,JerryMuzsik                  ,unknown,64       ,2014-12-11T03:58:08Z,undefined,45    
Aloe_vera                                  ,Deadbeef                     ,male   ,9065     ,2006-07-02T05:07:23Z,undefined,48    
Bicycle                                    ,FrescoBot                    ,unknown,675226   ,2009-02-19T07:08:26Z,undefined,53    
Africa_Day                                 ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Bicycle                                    ,Dennis Bratland              ,male   ,44841    ,2004-12-15T20:59:58Z,undefined,45    
Bicycle                                    ,FredrickS                    ,unknown,1218     ,2006-02-01T03:49:46Z,no       ,45    
Bicycle                                    ,Filedelinkerbot              ,unknown,77025    ,2014-01-21T13:56:14Z,undefined,54    
Bicycle                                    ,Rajeshchhabra070             ,unknown,14       ,2014-11-11T10:13:21Z,no       ,45    
Bicycle                                    ,AndrewDressel                ,male   ,15006    ,2006-05-14T20:49:07Z,undefined,47    
Apartheid                                  ,SporkBot                     ,unknown,788164   ,2010-05-20T01:48:34Z,undefined,53    
Africa_Day                                 ,Usernamehahaha               ,unknown,3        ,2014-11-11T09:27:43Z,no       ,31    
Agriculture_in_South_Africa                ,Dodger67                     ,male   ,55850    ,2007-06-15T00:34:50Z,undefined,48    
Bicycle                                    ,ProtoplasmaKid               ,unknown,338      ,2011-05-18T03:39:24Z,undefined,45    
Africa_Day                                 ,Alifazal                     ,male   ,31835    ,2005-12-12T09:26:22Z,undefined,46    
Agriculture_in_South_Africa                ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Cell_(biology)                             ,Dexbot                       ,unknown,105517   ,2012-05-02T13:43:01Z,undefined,53    
Alcohol_dependence                         ,Rjwilmsi                     ,unknown,785996   ,2005-03-04T11:57:51Z,no       ,48    
Dependent_and_independent_variables        ,Redrose64                    ,unknown,141293   ,2009-05-05T12:46:21Z,undefined,106   
Cell_(biology)                             ,Slakr                        ,unknown,32294    ,2006-01-28T08:20:24Z,undefined,107   
Bird_nest                                  ,YiFeiBot                     ,unknown,24870    ,2013-05-28T10:58:22Z,no       ,53    
Bird_nest                                  ,Cydebot                      ,unknown,5095391  ,2006-04-07T01:24:50Z,undefined,108   
Apartheid                                  ,Str1977                      ,unknown,41837    ,2005-04-21T15:13:37Z,undefined,47    
Bullying                                   ,Stamptrader                  ,male   ,15947    ,2013-08-29T13:50:53Z,undefined,45    
Dependent_and_independent_variables        ,Mange01                      ,male   ,8504     ,2006-10-02T13:50:34Z,undefined,47    
Cell_(biology)                             ,Deuterostome                 ,male   ,2089     ,2011-10-07T20:11:11Z,undefined,45    
Bicycle                                    ,Dexbot                       ,unknown,105517   ,2012-05-02T13:43:01Z,undefined,53    
Cell_(biology)                             ,Royroydeb                    ,male   ,15701    ,2012-11-02T08:21:36Z,undefined,48    
Cell_(biology)                             ,FrescoBot                    ,unknown,675226   ,2009-02-19T07:08:26Z,undefined,53    
Alcohol_dependence                         ,OlEnglish                    ,male   ,68949    ,2008-05-26T02:19:19Z,undefined,106   
Cell_(biology)                             ,Ttlaz123                     ,male   ,150      ,2013-09-18T22:37:29Z,undefined,45    
Bullying                                   ,Orenburg1                    ,unknown,23490    ,2009-08-03T18:09:37Z,undefined,45    
Cell_(biology)                             ,Arvind asia                  ,unknown,211      ,2014-09-20T05:08:07Z,no       ,45    
Bicycle                                    ,Marcus Cyron                 ,unknown,9929     ,2005-06-22T20:42:06Z,undefined,45    
Apartheid                                  ,Altamel                      ,unknown,6351     ,2006-06-25T21:10:52Z,undefined,45    
Africa_Day                                 ,Frosty                       ,male   ,39350    ,2012-07-29T06:42:57Z,undefined,48    
Alcohol_dependence                         ,Irek Minnullin               ,unknown,329      ,2014-06-22T18:29:28Z,undefined,45    
Bird_nest                                  ,DexDor                       ,male   ,43448    ,2009-11-15T21:22:44Z,no       ,46    
Bird_nest                                  ,Bumm13                       ,unknown,33432    ,2004-04-30T08:10:29Z,undefined,106   
Bullying                                   ,Ragesoss                     ,male   ,20747    ,2005-07-04T22:20:45Z,undefined,106   
Alcohol_dependence                         ,Seppi333                     ,male   ,15520    ,2013-05-13T20:42:43Z,undefined,45    
Cell_(biology)                             ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Agriculture_in_South_Africa                ,Edward                       ,male   ,81579    ,2004-01-02T17:48:04Z,undefined,108   
