article(entr),page,user,portal,template,category,total
!Kung people,37,95,0,1,0,133
African music,266,13,6,1,1,287
Acid,488,4,0,1,4,497
Africa Day,141,4,0,2,0,147
Animal husbandry in South Africa,2,3,0,0,0,5
Aloe vera,122,51,0,0,0,173
Animal-powered transport,179,12,4,2,1,198
Alcohol dependence,172,69,0,2,2,245
AIDS orphan,191,17,1,1,1,211
Bill of Rights (South Africa),18,0,0,0,0,18
Alcoholism,497,1,0,0,0,498
Alcohol abuse,367,31,6,2,1,407
Base (chemistry),462,17,2,1,3,485
Boiling,353,41,5,4,0,403
Bias,380,41,0,1,1,423
Apartheid,492,3,0,0,0,495
Bicycle,466,14,0,1,2,483
Borehole,279,22,6,1,2,310
Atom,494,4,0,0,0,498
Children%27s Act (South Africa),1,0,0,0,0,1
Automobile,493,3,0,0,0,496
Agriculture in South Africa,159,14,0,2,0,175
Child abuse,491,1,0,0,1,493
Castle of Good Hope,97,6,4,2,0,109
Cell (biology),495,3,0,0,0,498
Bullying,482,2,1,1,0,486
Ceramic,496,2,0,0,1,499
Animal husbandry,474,10,3,0,0,487
Bird nest,489,2,2,1,0,494
Biome,430,7,3,1,16,457
Circuit diagram,114,39,4,0,1,158
Aloe,303,36,6,25,1,371
Control variable,12,5,0,0,0,17
Convenience food,133,10,2,2,1,148
Clay,498,1,0,0,0,499
Coal,500,0,0,0,0,500
Climate,500,0,0,0,0,500
Discrimination,487,4,0,0,0,491
Decanting,6,1,0,0,0,7
Domestic violence in South Africa,69,8,0,1,0,78
Cradle of Humankind,96,14,1,2,0,113
Dependent and independent variables,179,79,2,3,0,263
Domestic violence,489,4,0,0,0,493
Coal in South Africa,88,10,3,2,0,103
Cooking,423,59,1,0,2,485
Design,464,21,1,0,4,490
Duration (music),81,16,0,1,0,98
Energy in South Africa,93,9,0,2,2,106
Frances Baard,10,2,1,0,0,13
Food groups,14,8,2,0,0,24
Electrical conductor,362,17,16,2,1,398
Freedom Day (South Africa),32,4,1,1,0,38
Food pyramid (nutrition),15,6,0,0,0,21
Electricity generation,476,5,6,0,0,487
Health care in South Africa,93,5,0,2,0,100
Home safety,1,2,0,0,0,3
Gender stereotypes,46,11,4,1,0,62
Hand washing,214,39,3,3,0,259
Gangster,393,41,2,0,0,436
Hottentot Venus,9,3,0,0,0,12
Electrical network,350,50,4,3,1,408
Liquid fuel,61,3,4,0,0,68
Khoikhoi mythology,85,2,2,1,0,90
HIV/AIDS,488,1,2,1,1,493
Food,498,1,0,0,0,499
National anthem of South Africa,106,6,0,2,0,114
National symbols of South Africa,99,9,0,2,0,110
Mapungubwe National Park,31,3,0,1,0,35
Insulator (electricity),261,86,4,3,0,354
Human swimming,494,2,3,0,1,500
List of South Africans,117,14,0,1,0,132
Fire safety,316,25,0,1,0,342
Petrol-paraffin engine,11,1,0,0,0,12
Road map,28,5,2,1,1,37
Fiber,471,6,4,0,0,481
Mpumalanga,474,4,1,10,3,492
Noise pollution,378,13,8,1,1,401
Health,458,14,3,0,5,480
Reconciliation Day,1,0,0,0,0,1
Khoikhoi,298,30,8,5,1,342
Right to food,115,15,2,2,0,134
Glass,492,5,0,0,0,497
Human nutrition,191,43,5,2,0,241
Rail transport in South Africa,441,8,0,1,1,451
Heritage Day (South Africa),27,3,1,1,0,32
Rail transport,499,0,0,0,0,499
Herero and Namaqua Genocide,220,21,8,8,0,257
