id	article	page_in	user_in	portal_in	template_in	category_in	total_in
1	Acid	1979	291	4	54	39	2367
2	Africa_Day	191	6	0	2	0	199
3	Agriculture_in_South_Africa	195	14	0	2	0	211
4	AIDS_orphan	212	21	1	2	1	237
5	Alcohol_abuse	548	95	2	3	5	653
6	Alcohol_dependence	212	70	1	2	0	285
7	Alcoholism	3781	393	4	14	85	4277
8	Aloe	497	46	1	4	10	558
9	Aloe_vera	514	61	0	1	0	576
10	Animal_husbandry	1250	127	1	4	14	1396
11	Animal_husbandry_in_South_Africa	8	3	0	0	0	11
12	Apartheid	5174	281	12	24	96	5587
13	Atom	2525	689	5	6	104	3329
14	Base_(chemistry)	942	175	4	53	12	1186
15	Bias	1507	279	2	10	5	1803
16	Bicycle	3633	343	9	23	54	4062
17	Biome	1710	128	51	13	28	1930
18	Bird_nest	889	33	0	6	5	933
19	Boiling	506	61	0	4	8	579
20	Borehole	351	26	2	1	6	386
21	Bullying	1916	228	4	9	14	2171
22	Car	1982	310	100	23	24	2439
23	Castle_of_Good_Hope	156	7	0	2	3	168
24	Cell_(biology)	3582	537	19	25	165	4328
25	Ceramic	2031	156	6	7	24	2224
26	Chapter_Two_of_the_Constitution_of_South_Africa	173	7	0	4	0	184
27	Child_abuse	2599	284	3	16	22	2924
28	Children's_Act,_2005	37	0	0	0	0	37
29	Children's_Day	982	32	1	4	63	1082
30	Circuit_diagram	169	59	1	0	5	234
31	Clay	3369	214	3	4	48	3638
32	Climate	3126	409	18	11	154	3718
33	Coal	7744	473	38	30	213	8498
34	Coal_in_South_Africa	113	10	0	2	3	128
35	Control_variable	174	10	0	0	0	184
36	Convenience_food	226	12	1	4	2	245
37	Cooking	2136	1372	9	10	53	3580
38	Cradle_of_Humankind	530	26	0	4	8	568
39	Day_of_Reconciliation	72	6	0	1	0	79
40	Decantation	121	29	0	0	2	152
41	Dependent_and_independent_variables	358	120	0	3	4	485
42	Design	3324	580	23	13	55	3995
43	Discrimination	5197	349	34	11	36	5627
44	Outline of domestic violence	224	25	0	4	5	258
45	Domestic_violence	3053	277	3	23	57	3413
46	Domestic_violence_in_South_Africa	92	7	0	1	0	100
47	Drakensberg	494	28	2	2	3	529
48	Duration_(music)	331	35	0	3	11	380
49	Economy_of_South_Africa	569	30	2	8	8	617
50	Ecosystem	3796	455	13	17	203	4484
51	Electrical_conductor	646	141	1	4	18	810
52	Electrical_network	488	157	1	3	9	658
53	Electricity_generation	1515	150	15	22	61	1763
54	Energy_in_South_Africa	207	11	2	3	0	223
