id	article	page_out	user_out	portal_out	template_out	category_out	total_out
1	Acid	351	0	7	1	0	359
2	Africa_Day	117	0	8	1	0	126
3	Agriculture_in_South_Africa	164	0	10	2	0	176
4	AIDS_orphan	158	0	8	1	0	167
5	Alcohol_abuse	336	0	14	3	0	353
6	Alcohol_dependence	251	0	4	4	0	259
7	Alcoholism	880	0	24	5	0	909
8	Aloe	240	0	10	2	0	252
9	Aloe_vera	221	0	18	2	1	242
10	Animal_husbandry	623	0	18	3	1	645
11	Animal_husbandry_in_South_Africa	34	0	11	3	0	48
12	Apartheid	1607	0	165	11	10	1793
13	Atom	951	0	11	3	3	968
14	Base_(chemistry)	189	0	8	1	0	198
15	Bias	797	0	12	4	2	815
16	Bicycle	685	0	25	3	2	715
17	Biome	296	0	10	1	5	312
18	Bird_nest	545	0	7	1	1	554
19	Boiling	142	0	9	1	2	154
20	Borehole	132	0	6	1	0	139
21	Bullying	653	0	24	4	0	681
22	Car	1083	0	28	6	7	1124
23	Castle_of_Good_Hope	118	0	22	1	0	141
24	Cell_(biology)	600	0	8	2	0	610
25	Ceramic	413	0	14	0	0	427
26	Chapter_Two_of_the_Constitution_of_South_Africa	218	0	16	3	0	237
27	Child_abuse	658	0	42	3	3	706
28	Children's_Act,_2005	28	0	4	0	0	32
29	Children's_Day	541	0	62	2	0	605
30	Circuit_diagram	63	0	7	0	1	71
31	Clay	293	0	11	2	0	306
32	Climate	906	0	22	11	6	945
33	Coal	770	0	26	3	5	804
34	Coal_in_South_Africa	165	0	14	3	0	182
35	Control_variable	11	0	2	0	0	13
36	Convenience_food	253	0	1	3	2	259
37	Cooking	1176	0	20	4	5	1205
38	Cradle_of_Humankind	152	0	12	5	0	169
39	Day_of_Reconciliation	84	0	12	1	0	97
40	Decantation	25	0	6	1	0	32
41	Dependent_and_independent_variables	69	0	4	0	0	73
42	Design	522	0	12	1	3	538
43	Discrimination	985	0	38	4	5	1032
44	Outline of domestic violence	326	0	3	1	1	331
45	Domestic_violence	1339	0	13	10	0	1362
46	Domestic_violence_in_South_Africa	175	0	4	2	0	181
47	Drakensberg	293	0	32	2	0	327
48	Duration_(music)	360	0	5	7	1	373
49	Economy_of_South_Africa	519	0	22	4	3	548
50	Ecosystem	813	0	9	9	8	839
51	Electrical_conductor	164	0	3	1	0	168
52	Electrical_network	145	0	6	1	1	153
53	Electricity_generation	314	0	9	1	6	330
54	Energy_in_South_Africa	128	0	10	2	3	143
55	Fair_trade	730	0	33	6	8	777
56	Farm	262	0	18	1	2	283
57	Fiber	360	0	12	3	2	377
58	Fire_safety	273	0	15	2	0	290
59	Flag_of_South_Africa	233	0	15	3	3	254
60	Food	1761	0	21	9	14	1805
61	Food_group	70	0	4	0	0	74
62	Food_pyramid_(nutrition)	195	0	9	0	2	206
63	Food_security	772	0	49	5	6	832
64	Food_vs._fuel	369	0	30	1	2	402
65	Frances_Baard	51	0	13	0	0	64
66	Free_State_(province)	304	0	13	2	0	319
67	Freedom_Day_(South_Africa)	35	0	13	1	0	49
68	Gangster	349	0	12	1	2	364
69	Gas	395	0	7	2	0	404
70	Gauteng	418	0	14	2	1	435
71	Gender_role	763	0	41	6	7	817
72	Glass	1007	0	28	5	0	1040
73	Griqua_people	169	0	16	1	0	186
74	Hand_washing	376	0	16	2	0	394
