article(exit),page,user,portal,template,category,total
Africa Day,109,0,0,5,1,115
AIDS orphan,160,0,0,18,0,178
!Kung people,54,0,0,0,0,54
Agriculture in South Africa,140,0,0,4,0,144
African music,485,0,4,6,13,508
Acid,320,0,0,2,0,322
Animal husbandry,106,0,1,2,7,116
Alcohol dependence,291,0,0,51,1,343
Aloe vera,144,0,0,1,0,145
Alcohol abuse,379,0,0,49,1,429
Alcoholism,839,0,0,53,2,894
Apartheid,1454,0,9,18,16,1497
Base (chemistry),135,0,0,2,0,137
Aloe,173,0,0,1,0,174
Atom,895,0,3,6,1,905
Bicycle,540,0,2,6,1,549
Bill of Rights (South Africa),200,0,1,6,1,208
Animal husbandry in South Africa,26,0,0,5,0,31
Biome,219,0,5,2,0,226
Animal-powered transport,110,0,1,2,0,113
Automobile,1031,0,7,12,10,1060
Bias,131,0,1,4,0,136
Borehole,121,0,0,2,0,123
Boiling,119,0,0,2,0,121
Cell (biology),596,0,0,41,0,637
Bullying,578,0,0,8,0,586
Castle of Good Hope,59,0,0,0,0,59
Ceramic,145,0,0,0,1,146
Child abuse,609,0,3,10,0,622
Children's Act (South Africa),24,0,0,0,0,24
Bird nest,420,0,1,2,1,424
Circuit diagram,52,0,1,0,0,53
Clay,206,0,0,2,0,208
Coal in South Africa,148,0,0,3,3,154
Climate,815,0,6,16,10,847
Children's Day,433,0,0,2,0,435
Control variable,16,0,0,0,0,16
Coal,693,0,5,6,4,708
Convenience food,156,0,2,2,0,160
Cradle of Humankind,77,0,0,2,0,79
Cooking,912,0,3,6,2,923
Decanting,14,0,0,2,0,16
Dependent and independent variables,50,0,0,0,0,50
Design,413,0,3,2,0,418
Domestic violence in South Africa,39,0,0,2,0,41
Drakensberg,243,0,0,4,0,247
Duration (music),330,0,1,7,1,339
Discrimination,837,0,5,8,3,853
Economy of South Africa,499,0,3,8,3,513
Electrical conductor,162,0,0,2,0,164
Electrical network,140,0,1,2,0,143
Farm,206,0,2,2,7,217
Fair trade,661,0,5,12,11,689
Ecosystem,764,0,8,12,9,793
Energy in South Africa,80,0,3,1,1,85
Electricity generation,335,0,6,2,4,347
Fire safety,226,0,0,4,4,234
Fiber,357,0,2,6,2,367
Food groups,67,0,0,0,1,68
Flag of South Africa,164,0,2,4,0,170
Food,1317,0,12,10,10,1349
Free State (province),261,0,0,4,0,265
Food pyramid (nutrition),148,0,2,0,0,150
Food security,498,0,4,4,5,511
Freedom Day (South Africa),22,0,0,2,0,24
Gangster,334,0,2,3,0,339
Frances Baard,46,0,0,0,0,46
Food vs. fuel,358,0,2,2,3,365
Gauteng,372,0,1,4,0,377
Glass,730,0,0,9,1,740
Griqua people,139,0,0,2,0,141
Hand washing,354,0,0,6,2,362
Health care in South Africa,280,0,1,6,3,290
Health,234,0,1,0,0,235
Herero and Namaqua Genocide,323,0,3,6,1,333
History of South Africa,912,0,2,10,5,929
Home safety,11,0,0,0,0,11
History of writing,901,0,0,10,4,915
HIV,824,0,2,57,0,883
Human Rights Day,84,0,0,0,1,85
Hottentot Venus,131,0,2,0,1,134
Human nutrition,875,0,2,8,2,887
Human swimming,271,0,1,2,1,275
Hydraulics,131,0,0,2,0,133
Insulator (electricity),238,0,1,2,0,241
Khoikhoi,70,0,1,0,0,71
Khoikhoi mythology,194,0,0,6,2,202
Later Stone Age,330,0,0,2,1,333
Latitude,283,0,0,2,0,285
Gana and Gwi people,12,0,0,3,0,15
Heritage Day (South Africa),34,0,0,2,0,36
Gender stereotypes,487,0,5,6,3,501
