Source,Target
Convenience food,Food packaging
Convenience food,Meal; Ready-to-Eat
Convenience food,Snack
Convenience food,Snacking
Convenience food,Ramen
Convenience food,Snack food
Convenience food,Food
Convenience food,Food preparation
Convenience food,Food processing
Convenience food,Shelf life
Convenience food,Restaurant
Convenience food,TV dinner
Convenience food,Shelf-stable food
Convenience food,Snack food
Convenience food,Bread
Convenience food,Cheese
Convenience food,Salting (food)
Convenience food,Food preparation
Convenience food,Food technology
Convenience food,Frozen food
Convenience food,Restaurant
Convenience food,Bakery
Convenience food,Creamery
Convenience food,Butcher
Convenience food,Aztec
Convenience food,Mexico
Convenience food,Cornmeal
Convenience food,Canning
Convenience food,World War I
Convenience food,Tinsmith
Convenience food,Meatpacking
Convenience food,Refrigerator car
Convenience food,World War II
Convenience food,Post%E2%80%93World War II economic expansion
Convenience food,Fish sticks
Convenience food,Peach
Convenience food,Cheeseburger
Convenience food,Candy
Convenience food,Beverages
Convenience food,Soft drinks
Convenience food,Juices
Convenience food,Milk
Convenience food,Fast food
Convenience food,Nut (fruit)
Convenience food,Fruits
Convenience food,Vegetables
Convenience food,Dried fruit
Convenience food,Cold cut
Convenience food,Processed cheese
Convenience food,Canning
Convenience food,Soup
Convenience food,Pasta
Convenience food,Frozen pizza
Convenience food,Potato chip
Convenience food,Pretzel
Convenience food,Cookie
Convenience food,Portion control (dieting)
Convenience food,Packaging
Convenience food,Gristmill
Convenience food,Flour
Convenience food,Baking
Convenience food,Cake mix
Convenience food,Macaroni and cheese
Convenience food,Chocolate brownie
Convenience food,Gravy
Convenience food,Onigiri
Convenience food,Kamakura; Kanagawa
Convenience food,Japan
Convenience food,Australia
Convenience food,Japan
Convenience food,Onigiri
Convenience food,Tofu
Convenience food,Instant soup
Convenience food,Ramen
Convenience food,Tuna
Convenience food,Solomon Islands
Convenience food,Western Africa
Convenience food,Cassava
Convenience food,Great Britain
Convenience food,Plastics
Convenience food,Solid waste
Convenience food,Landfills
Convenience food,Obesity
Convenience food,Food preservative
Convenience food,Food additive
Convenience food,Salt
Convenience food,Hypertension
Convenience food,Dietary Reference Intake
Convenience food,Palatability
Convenience food,First Lady of the United States
Convenience food,Michelle Obama
Convenience food,Let%27s Move!
Convenience food,White House
Convenience food,Food and Drug Administration
Convenience food,Warmed over flavor
Convenience food,Portal:Food
Convenience food,Portal:Drink
Convenience food,Comfort food
Convenience food,Food desert
Convenience food,Food packaging
Convenience food,Food preservation
Convenience food,Food processing
Convenience food,Junk food
Convenience food,List of foods
Convenience food,Snack food
Convenience food,Fast food
Convenience food,Junk food
Convenience food,List of street food
Convenience food,Snack food
Convenience food,Take-out
Convenience food,List of fast food restaurant chains
Convenience food,Food booth
Convenience food,Food cart
Convenience food,Food court
Convenience food,Food truck
Convenience food,Bacon
Convenience food,Breakfast sandwich
Convenience food,Breakfast sausage
Convenience food,Buffalo wings
Convenience food,Cheeseburger
Convenience food,Chicken fingers
Convenience food,Chicken nuggets
Convenience food,Cookie
Convenience food,French fries
Convenience food,French toast
Convenience food,Fried chicken
Convenience food,Grilled cheese
Convenience food,Gyro (food)
Convenience food,Hamburger
Convenience food,Hot dog
Convenience food,Hot pretzel
Convenience food,Ice cream
Convenience food,Kebab
Convenience food,Mac %26 cheese
Convenience food,Onion rings
Convenience food,Pancakes
Convenience food,Pasta
Convenience food,Peanut butter and jelly sandwich
Convenience food,Pizza
Convenience food,Salad
Convenience food,Sausage
Convenience food,Spaghetti
Convenience food,Taco
Convenience food,Waffles
Convenience food,Criticism of fast food
Convenience food,Jean Anderson (cookbook author)
Convenience food,International Standard Book Number
Convenience food,Special:BookSources/0-688-11619-1
Convenience food,International Standard Book Number
Convenience food,Special:BookSources/9780865477568
Convenience food,International Standard Book Number
Convenience food,Special:BookSources/0-14-303491-X
Convenience food,Reuters
Convenience food,CBS News
Convenience food,Special:BookSources/0849389801
Convenience food,Special:BookSources/1136545654
!Kung people,!Kung language
!Kung people,San people
!Kung people,Kalahari Desert
!Kung people,Namibia
!Kung people,Botswana
!Kung people,Angola
!Kung people,%C7%83Kung language
!Kung people,Click consonant
!Kung people,Alveolar click
!Kung people,Band society
!Kung people,Hunter-gatherer
!Kung people,Arrow poison
!Kung people,Arrow
!Kung people,Spear
!Kung people,Kalahari Desert
!Kung people,Animism
!Kung people,Animatism
!Kung people,Taboo
!Kung people,Shamanism
