article,images,issues,notes,references,seeAlso,total
Child abuseChild abuse,0,0,0,0,0,0
Children's Act (South Africa),1,0,0,0,0,1
Control variable,1,1,0,1,0,3
Reconciliation Day,1,0,0,2,0,3
Africa Day,2,0,0,3,0,5
Decanting,5,0,0,0,0,5
Gana and Gwi people,1,3,0,0,2,6
Duration (music),4,0,0,2,1,7
Frances Baard,0,0,0,7,0,7
Home safety,0,1,0,4,2,7
Liquid fuel,3,1,0,3,0,7
Water privatization in South Africa,0,0,0,6,1,7
AIDS orphan,2,0,0,5,1,8
Bill of Rights (South Africa),4,0,0,4,0,8
Heritage Day (South Africa),3,0,0,5,0,8
Mapungubwe Museum,7,0,0,1,0,8
Pneumatics,2,0,1,1,4,8
Animal husbandry in South Africa,3,2,0,4,0,9
Electrical conductor,6,1,0,2,0,9
Mandela Day,3,0,0,6,0,9
Later Stone Age,4,0,0,7,0,11
National Women's Day,4,0,0,4,3,11
San languages,1,0,5,5,0,11
Cradle of Humankind,5,0,0,7,0,12
Freedom Day (South Africa),3,0,0,2,7,12
National anthem of South Africa,1,0,0,6,5,12
San healing practices,0,1,0,10,1,12
Borehole,4,0,0,5,4,13
People Against Gangsterism and Drugs,5,0,0,8,0,13
Politics of South Africa,9,1,0,3,0,13
Walter Sisulu,3,0,0,10,0,13
Food groups,4,0,0,10,1,15
Sieving,8,1,0,6,0,15
Transport in South Africa,9,0,0,6,0,15
!Kung people,0,1,0,15,0,16
Settling,6,0,0,5,5,16
Acid,13,1,0,3,0,17
Bias,3,4,0,10,0,17
Fiber,7,1,0,9,0,17
Mapungubwe National Park,7,0,0,9,1,17
Boiling,5,1,0,8,4,18
Petrol-paraffin engine,9,1,0,8,0,18
Tap (valve),15,1,0,2,0,18
Animal-powered transport,3,0,0,0,16,19
Base (chemistry),1,1,0,12,5,19
Clay,12,0,0,7,0,19
Mpumalanga,9,0,0,9,1,19
Music of South Africa,2,2,0,12,4,20
Road map,12,0,0,7,1,20
Dependent and independent variables,3,1,0,16,1,21
Circuit diagram,12,1,0,9,0,22
Free State (province),17,0,0,4,1,22
Griqua people,11,0,0,8,3,22
Khoikhoi,12,1,0,9,0,22
Animal husbandry,4,1,0,4,14,23
Energy in South Africa,5,0,0,19,0,24
South African cuisine,23,1,0,0,0,24
Wax,17,0,0,6,1,24
Water filter,5,1,0,10,9,25
Wildlife conservation,5,0,0,16,4,25
Wildlife management,5,0,0,20,0,25
Biome,13,2,0,11,0,26
National symbols of South Africa,12,0,0,9,5,26
Map,21,0,0,6,0,27
Ceramic,12,0,0,11,5,28
Khoikhoi mythology,2,0,0,27,0,29
Rock (geology),18,0,0,11,0,29
San religion,2,0,0,27,0,29
San rock art,2,0,9,9,9,29
Agriculture in South Africa,11,0,0,16,3,30
Castle of Good Hope,16,0,1,10,3,30
Domestic violence in South Africa,8,0,0,22,0,30
Fire safety,6,4,0,8,12,30
Nest,16,0,0,11,3,30
Scale (map),22,2,0,6,0,30
Alcohol dependence,2,0,12,12,5,31
Human Rights Day,7,0,0,19,5,31
Oliver Tambo,4,1,13,13,0,31
Flag of South Africa,22,0,0,10,0,32
Hydraulics,8,0,9,9,7,33
African music,19,0,0,15,0,34
Coal in South Africa,8,0,0,25,2,35
Rail transport in South Africa,6,0,0,14,15,35
Electrical network,5,1,0,0,31,37
Mining industry of South Africa,8,1,0,27,1,37
Sand,21,7,0,10,0,38
Longitude,10,0,0,11,18,39
Drakensberg,19,0,0,19,2,40
Human swimming,17,0,0,23,0,40
Noise pollution,10,0,0,25,6,41
Insulator (electricity),24,0,9,9,0,42
Convenience food,10,0,0,34,0,44
Two foot gauge railways in South Africa,4,0,0,40,0,44
Youth culture,4,1,0,30,10,45
Pitch (music),5,1,0,23,17,46
Sound,13,0,0,8,25,46
Electricity generation,24,1,0,22,0,47
Design,11,1,0,36,1,49
Steve Biko,4,0,0,42,4,50
Farm,23,1,0,27,0,51
History of writing,12,0,2,37,0,51
Standard Model,11,1,0,39,0,51
Winnie Madikizela-Mandela,5,2,0,43,1,51
Mapungubwe,19,0,11,11,11,52
Reproduction,7,0,20,20,7,54
Cell (biology),26,0,0,29,0,55
Water well,38,0,0,12,6,56
Cooking,19,1,0,37,0,57
Health,12,1,0,43,1,57
Western Cape,27,2,0,28,0,57
Food pyramid (nutrition),16,0,0,41,3,60
Latitude,24,2,0,16,18,60
Paper,10,0,0,26,26,62
Health care in South Africa,5,0,26,26,8,65
Aloe,44,1,0,18,3,66
Wood,39,1,0,26,0,66
Textile,28,0,0,23,18,69
Vibration,25,1,0,9,34,69
Gangster,19,1,0,53,0,73
List of South Africans,66,1,0,2,6,75
Outline of domestic violence,2,0,0,65,9,76
Alcohol abuse,9,0,0,66,2,77
Aloe vera,11,0,0,63,4,78
Pollution,24,0,0,54,1,79
Hottentot Venus,20,1,0,59,0,80
Water pollution,38,0,0,42,0,80
Right to food,13,0,0,69,0,82
