article, issues
Agriculture in South Africa, 0
Africa Day, 0
African music, 0
Acid, 1
Convenience food, 0
!Kung people, 1
AIDS orphan, 0
Alcohol dependence, 0
Alcohol abuse, 0
Aloe vera, 0
Alcoholism, 0
Aloe, 1
Animal husbandry, 1
Animal husbandry in South Africa, 2
Animal-powered transport, 0
Apartheid, 0
Atom, 0
Bias, 4
Automobile, 1
Base (chemistry), 1
Bicycle, 0
Bill of Rights (South Africa), 0
Biome, 2
Borehole, 0
Boiling, 1
Bird nest, 0
Bullying, 2
Castle of Good Hope, 0
Cell (biology), 0
Ceramic, 0
Child abuse, 0
Circuit diagram, 1
Clay, 0
Children's Act (South Africa), 0
Child abuseChild abuse, 0
Climate, 0
Children's Day, 0
Control variable, 1
Coal in South Africa, 0
Cooking, 1
Cradle of Humankind, 0
Coal, 0
Decanting, 0
Dependent and independent variables, 1
Design, 1
Domestic violence in South Africa, 0
Discrimination, 4
Drakensberg, 0
Domestic violence, 1
Duration (music), 0
Economy of South Africa, 1
Electrical network, 1
Electrical conductor, 1
Ecosystem, 0
Energy in South Africa, 0
Electricity generation, 1
Fire safety, 4
Fiber, 1
Farm, 1
Fair trade, 2
Flag of South Africa, 0
Food, 0
Food groups, 0
Food pyramid (nutrition), 0
Food security, 1
Frances Baard, 0
Food vs. fuel, 0
Free State (province), 0
Freedom Day (South Africa), 0
Gana and Gwi people, 3
Gauteng, 0
Gangster, 1
Gender stereotypes, 4
Glass, 1
Griqua people, 0
Hand washing, 0
Health, 1
Health care in South Africa, 0
Herero and Namaqua Genocide, 1
Heritage Day (South Africa), 0
History of South Africa, 8
History of writing, 0
Home safety, 1
HIV, 0
Hottentot Venus, 1
Human Rights Day, 0
Hydraulics, 0
HIV/AIDS, 0
Human nutrition, 2
Insulator (electricity), 0
Human swimming, 0
Khoikhoi, 1
Later Stone Age, 0
Khoikhoi mythology, 0
Latitude, 2
Liquid fuel, 1
List of South Africans, 1
Longitude, 0
Mandela Day, 0
Map, 0
Malaria, 0
Mapungubwe, 0
Mahatma Gandhi, 1
Mapungubwe Museum, 0
Mapungubwe National Park, 0
Mining industry of South Africa, 1
National anthem of South Africa, 0
Mpumalanga, 0
Music of South Africa, 2
National symbols of South Africa, 0
Nest, 0
Oliver Tambo, 1
National Women's Day, 0
Noise pollution, 0
Nelson Mandela, 0
Outer space, 0
Petrol-paraffin engine, 1
Outline of domestic violence, 0
People Against Gangsterism and Drugs, 0
Paper, 0
Pitch (music), 1
Pneumatics, 0
Politics of South Africa, 1
Rail transport in South Africa, 0
Pollution, 0
Reconciliation Day, 0
Rail transport, 0
Reproduction, 0
Right to food, 0
Road map, 0
Rock (geology), 0
San healing practices, 1
Republic of South Africa, 1
San languages, 0
San religion, 0
San rock art, 0
San people, 0
Scientific classification (disambiguation), 0
Sand, 7
Scale (map), 2
Settling, 0
Sieving, 1
Scientific method, 2
Sound, 0
Soil, 0
Sexism, 1
South African cuisine, 1
Standard Model, 1
Stereotype, 1
Structure (disambiguation), 0
Steve Biko, 0
South African locomotive history, 0
Tap (valve)#Water taps, 1
Textile, 0
Transport in South Africa, 0
Trade, 0
Two foot gauge railways in South Africa, 0
Transport, 0
Vibration, 1
Volume (disambiguation), 0
Water privatization in South Africa, 0
Water filter, 1
Walter Sisulu, 0
Water pollution, 0
Water supply and sanitation in South Africa, 0
Wax, 0
Water well, 0
Western Cape, 2
Wildlife conservation, 0
Wildlife management, 0
Wetlands, 0
Winnie Madikizela-Mandela, 2
Youth culture, 1
Wool, 0
Wood, 1
Fire safety, 4
Coal, 0
