source	target	weight
Apartheid	Black Consciousness Movement	18
Apartheid	List of South Africans	17
Apartheid	South African Police	17
Apartheid	African National Congress	17
Apartheid	Azanian People's Organisation	16
Apartheid	History of South Africa	16
Apartheid	Demographics of South Africa	15
Apartheid	Politics of South Africa	15
Apartheid	New National Party (South Africa)	15
Apartheid	Economy of South Africa	15
Apartheid	South Africa	15
Apartheid	Freedom Front Plus	15
Apartheid	United Democratic Movement	15
Apartheid	Geography of South Africa	15
Apartheid	Outline of South Africa	15
Apartheid	African Christian Democratic Party	15
Apartheid	Public holidays in South Africa	15
Apartheid	Independent Democrats	15
Apartheid	South African Army	15
Apartheid	United Christian Democratic Party	15
Apartheid	Constitution of South Africa	15
Apartheid	Inkatha Freedom Party	15
Apartheid	Scouts South Africa	14
Apartheid	Elections in South Africa	14
Apartheid	South Africa and weapons of mass destruction	14
Apartheid	Economic history of South Africa	14
Apartheid	History of the Cape Colony before 1806	14
Apartheid	South African Standard Time	14
Apartheid	Languages of South Africa	14
Apartheid	President of South Africa	14
Apartheid	South African Air Force	14
Apartheid	Protected areas of South Africa	14
Apartheid	South African English	14
Apartheid	Provinces of South Africa	14
Apartheid	HIV/AIDS in South Africa	14
Apartheid	Culture of South Africa	14
Apartheid	Islam in South Africa	14
Apartheid	Military history of South Africa	14
Apartheid	South African Police Service	13
Apartheid	South African Defence Force	13
Apartheid	List of years in South Africa	13
Apartheid	Wikipedia:WikiProject South Africa/Wikipedia Primary School/Articles list	13
Apartheid	South African Military Health Service	13
Apartheid	Minister of Defence and Military Veterans	13
Apartheid	Telephone numbers in South Africa	13
Apartheid	Minister of State Security (South Africa)	13
Apartheid	South African art	13
Apartheid	National Intelligence Agency (South Africa)	13
Apartheid	South African History Project	13
Apartheid	Immigration to South Africa	13
Apartheid	South African Navy	13
Apartheid	Education in South Africa	13
Apartheid	Foreign relations of South Africa	13
Apartheid	Parliament of South Africa	13
Apartheid	Template:South Africa topics	13
Apartheid	Poetry Africa	13
Apartheid	List of South African artists	13
Apartheid	Healthcare in South Africa	13
Apartheid	South African Commando System	13
Apartheid	Internet in South Africa	13
Apartheid	List of South African poets	13
Apartheid	Cinema of South Africa	13
Apartheid	South African literature	13
Apartheid	History of South Africa (1994–present)	13
Apartheid	South African National Defence Force	13
Apartheid	List of companies of South Africa	13
Apartheid	List of South African television series	13
Apartheid	List of diplomatic missions of South Africa	13
Apartheid	South African Secret Service	13
Apartheid	Simonstown Agreement	13
Apartheid	Telecommunications in South Africa	13
Apartheid	List of political parties in South Africa	13
Apartheid	Television in South Africa	13
Apartheid	List of postal codes in South Africa	13
Apartheid	Transport in South Africa	13
Apartheid	List of rivers of South Africa	13
Apartheid	Department of Defence (South Africa)	13
Apartheid	South African Ambassador to the United States	13
Apartheid	Women in South Africa	13
Apartheid	Military Skills Development System	13
Apartheid	Music of South Africa	13
Apartheid	Wikipedia:WikiProject South Africa/Wikipedia Primary School/Popular pages	12
Apartheid	South African cuisine	12
Apartheid	List of battles in South Africa	12
Apartheid	Human rights in South Africa	12
Apartheid	Foreign trade of South Africa	10
Apartheid	National Forensic DNA Database of South Africa	9
Apartheid	Chris Mann (poet)	9
Food	Biodiversity	9
Discrimination	Triple oppression	9
Apartheid	Biometrics use by the South African government	9
Apartheid	International rankings of South Africa	9
Apartheid	User:Iopensa/To do	9
Apartheid	List of administrators of former South African provinces	8
Discrimination	Police brutality	8
Soil	Biosphere	8
Apartheid	Intersex rights in South Africa	8
Discrimination	Purge	8
Apartheid	Cape Flats English	8
Soil	Aquifer	8
Apartheid	Feminism in South Africa	8
Discrimination	Persecution	8
Apartheid	Wikipedia:WikiProject South Africa/Cleanup listing	8
Discrimination	Prejudice	8
Soil	Water	8
Apartheid	Homelessness in South Africa	8
Apartheid	Disinvestment from South Africa	8
Food	Biosphere	8
Apartheid	List of South African Commando Units	8
Soil	Biodiversity	8
Discrimination	Hate crime	8
Apartheid	Air Force Mobile Deployment Wing SAAF	8
Discrimination	Oppression	8
Discrimination	Gay bashing	8
Food	Energy	7
Food	Water	7
Food	Land use	7
Apartheid	Azanian People's Liberation Army	7
Soil	Forest	7
Apartheid	Umkhonto we Sizwe	7
Food	Fresh water	7
Apartheid	Wikipedia:Version 1.0 Editorial Team/PSP SA articles by quality log	7
Food	Resource depletion	7
Apartheid	Wikipedia:WikiProject South Africa/Popular pages	7
Soil	Drinking water	7
Apartheid	Afrikaners	7
Soil	Life	7
Apartheid	Wikipedia:WikiProject South Africa/Wikipedia Primary School/Assessment	7
Food	Environmental law	7
Discrimination	Dehumanization	7
Food	Irrigation	7
Discrimination	Men's rights movement	7
Food	Life	7
Discrimination	Misogyny	7
Food	Wastewater	7
Apartheid	National Party (South Africa)	7
Food	Water quality	7
Discrimination	Rankism	7
Soil	Energy	7
Discrimination	Suffrage	7
Soil	Fresh water	7
Discrimination	Universal suffrage	7
Food	Emissions trading	7
Wood	Renewable resource	7
Soil	Peat	6
Apartheid	History of the African National Congress	6
Food	Ozone depletion	6
Discrimination	Antisemitism	6
Discrimination	Abuse	6
Discrimination	Bumiputera (Malaysia)	6
Discrimination	Anti-LGBT rhetoric	6
Discrimination	Caste	6
Apartheid	Religion in South Africa	6
Apartheid	Afrikaner Broederbond	6
Soil	Emissions trading	6
Discrimination	Desegregation	6
Soil	Land use	6
Discrimination	Ethnic cleansing	6
Wood	Biodiversity	6
Discrimination	Feminism	6
Food	Mineral	6
Discrimination	Hate speech	6
Apartheid	Wikipedia talk:WikiProject South Africa/Archive 4	6
Discrimination	Heterosexism	6
Apartheid	Wikipedia:WikiProject South Africa/Wikipedia Primary School	6
Discrimination	Lynching	6
Apartheid	South African Council of Churches	6
Apartheid	Black Economic Empowerment	6
Soil	Flood	6
Discrimination	Misandry	6
Soil	Ice	6
Apartheid	End Conscription Campaign	6
Soil	Mining	6
Apartheid	F. W. de Klerk	6
Apartheid	Conservative Party (South Africa)	6
Discrimination	Racial segregation	6
Wood	Energy	6
Discrimination	Racism	6
Apartheid	Freedom Charter	6
Apartheid	Soweto uprising	6
Food	Non-renewable resource	6
Discrimination	Redlining	6
Food	Renewable resource	6
Discrimination	Religious intolerance	6
Food	Soil	6
Wood	Life	6
Apartheid	Jeugkrag	6
Apartheid	Sport in South Africa	6
Food	Wildlife	6
Apartheid	Black Sash	6
Soil	Atmosphere of Earth	6
Discrimination	White supremacy	6
Soil	Ecological economics	6
Discrimination	Women's rights	6
Apartheid	District Six	6
Discrimination	Xenophobia	6
Soil	Food	6
Food	Ecological economics	6
Discrimination	Affirmative action	6
Apartheid	Boeremag	6
Soil	Irrigation	6
Apartheid	Third Force (South Africa)	6
Discrimination	Anti-Arabism	6
Apartheid	Afrikaner Weerstandsbeweging	6
Soil	Non-renewable resource	6
Food	Flood	6
Soil	Resource depletion	6
Food	Forest	6
Soil	Wildlife	6
Apartheid	Tricameral Parliament	6
Wood	Biosphere	6
Food	Indoor air quality	6
Wood	Hydropower	6
Apartheid	Inequality in post-apartheid South Africa	6
Apartheid	United Democratic Front (South Africa)	6
Discrimination	Sexism	6
Food	Atmosphere of Earth	6
Discrimination	Disability rights movement	5
Discrimination	McCarthyism	5
Wood	Arable land	5
Apartheid	Thabo Mbeki	5
Apartheid	Ethnic groups in South Africa	5
Apartheid	South African apartheid referendum, 1992	5
Soil	Nuclear power plant	5
Apartheid	Corruption in South Africa	5
Wood	Hydrosphere	5
Discrimination	Multiculturalism	5
Sexism	Oppression	5
Discrimination	Nepotism	5
Discrimination	Class discrimination	5
Discrimination	New Black Panther Party	5
Discrimination	Fat acceptance movement	5
Discrimination	Nonperson	5
Soil	Solar energy	5
Apartheid	Hendrik Verwoerd	5
Wood	Emissions trading	5
Apartheid	Academic boycott of South Africa	5
Wood	Natural resource	5
Discrimination	Pogrom	5
Sexism	Hate crime	5
Apartheid	Negotiations to end apartheid in South Africa	5
Sexism	Purge	5
Discrimination	Political correctness	5
Soil	Bioprospecting	5
Apartheid	Nelson Mandela	5
Discrimination	Cultural assimilation	5
Apartheid	Herstigte Nasionale Party	5
Soil	Hydrosphere	5
Discrimination	Racial quota	5
Soil	Natural resource	5
Apartheid	Truth and Reconciliation Commission (South Africa)	5
Soil	Renewable resource	5
Apartheid	South African Bureau of State Security	5
Discrimination	Glass ceiling	5
Apartheid	Media of South Africa	5
Apartheid	Flag of South Africa	5
Discrimination	Red Scare	5
Wood	Forest	5
Apartheid	Rivonia Trial	5
Discrimination	Islamophobia	5
Discrimination	Religious discrimination	5
Wood	Nuclear power plant	5
Apartheid	Michael Lapsley	5
Sexism	Feminism	5
Discrimination	Religious persecution	5
Sexism	Misandry	5
Discrimination	Reverse discrimination	5
Sexism	Police brutality	5
Discrimination	Sex segregation	5
Sexism	Women's rights	5
Discrimination	Sex-selective abortion	5
Apartheid	Sophiatown	5
Apartheid	Saint James Church massacre	5
Soil	Desalination	5
Discrimination	Sinophobia	5
Discrimination	Cronyism	5
Discrimination	Slavery	5
Apartheid	Internal resistance to apartheid	5
Discrimination	Speciesism	5
Soil	Groundwater	5
Apartheid	Vlakplaas	5
Discrimination	Empowerment	5
Discrimination	Supremacism	5
Apartheid	Defiance Campaign	5
Discrimination	Toleration	5
Wood	Sunlight	5
Discrimination	Transphobia	5
Wood	Wastewater	5
Apartheid	1956 Treason Trial	5
Soil	Seed bank	5
Apartheid	Kaffir (racial term)	5
Soil	Sunlight	5
Discrimination	Violence against LGBT people	5
Soil	Wood	5
Apartheid	Kairos Document	5
Discrimination	Hate group	5
Apartheid	Wikipedia:WikiProject Africa/Popular pages	5
Wood	Drinking water	5
Apartheid	Cape Town peace march	5
Wood	Flood	5
Food	Aquifer	5
Wood	Geothermal energy	5
Food	Arable land	5
Wood	Irrigation	5
Wood	Resource depletion	5
Wood	Mining	5
Wood	Seed bank	5
Wood	Non-renewable resource	5
Wood	Soil	5
Wood	Property law	5
Wood	Stormwater	5
Sexism	Discrimination	5
Food	Conservation biology	5
Sexism	Gay bashing	5
Food	Desalination	5
Sexism	Men's rights movement	5
Food	Drinking water	5
Sexism	Misogyny	5
Apartheid	Bantustan	5
Sexism	Persecution	5
Apartheid	South African general election, 1994	5
Sexism	Prejudice	5
Apartheid	Apartheid legislation	5
Sexism	Triple oppression	5
Apartheid	African National Congress Women's League	5
Soil	Agriculture	5
Apartheid	Great Depression in South Africa	5
Soil	Arable land	5
Apartheid	Church Street bombing	5
Apartheid	Coat of arms of South Africa	5
Food	Fossil fuel	5
Apartheid	Congress of South African Trade Unions	5
Clay	Aquifer	5
Discrimination	Chinese Exclusion Act	5
Food	Geothermal energy	5
Discrimination	Compulsory sterilization	5
Food	Glossary of ecology	5
Soil	Environmental law	5
Food	Groundwater	5
Apartheid	Daniel François Malan	5
Food	Habitat conservation	5
Soil	Fossil fuel	5
Food	Hydropower	5
Soil	Geothermal energy	5
Food	Hydrosphere	5
Soil	Hydropower	5
Food	Ice	5
Discrimination	Discrimination based on skin color	5
Clay	Gravel	5
Apartheid	State Security Council	5
Clay	Landslide	5
Soil	Mineral	5
Clay	Overburden pressure	5
Soil	Natural capital	5
Clay	Wastewater	5
Soil	Nature reserve	5
Apartheid	Bisho massacre	5
Soil	Nuclear power	5
Food	Mining	5
Soil	Ozone depletion	5
Food	Natural capital	5
Soil	Property law	5
Food	Natural resource	5
Wood	Wildlife	5
Food	Nature reserve	5
Soil	Shade (shadow)	5
Apartheid	Sharpeville massacre	5
Soil	Stormwater	5
Food	Nuclear power	5
Soil	Wastewater	5
Food	Nuclear power plant	5
Apartheid	Helen Suzman	5
Food	Overconsumption	5
Wood	Aquifer	5
Discrimination	Androcentrism	5
Wood	Atmosphere of Earth	5
Food	Peak oil	5
Wood	Bioprospecting	5
Food	Property law	5
Wood	Desalination	5
Discrimination	Anglophobia	5
Wood	Ecological economics	5
Discrimination	Anthropocentrism	5
Discrimination	Heteronormativity	5
Food	Seed bank	5
Wood	Food	5
Food	Shade (shadow)	5
Wood	Fossil fuel	5
Apartheid	Shell House massacre	5
Apartheid	List of South African writers	5
Food	Solar energy	5
Wood	Ice	5
Food	Stormwater	5
Wood	Land use	5
Food	Sunlight	5
Wood	Mineral	5
Food	Tidal power	5
Wood	Natural capital	5
Apartheid	Radio Freedom	5
Wood	Nature reserve	5
Apartheid	Eschel Rhoodie	5
Wood	Nuclear power	5
Food	Water pollution	5
Wood	Ozone depletion	5
Discrimination	Biphobia	5
Apartheid	Delmas Treason Trial	5
Discrimination	Black supremacy	5
Food	Wood	5
Wood	Shade (shadow)	5
Apartheid	P. W. Botha	5
Wood	Solar energy	5
Food	Bioprospecting	5
Apartheid	Allan Boesak	5
Apartheid	Civil Cooperation Bureau	5
Wood	Water	5
Discrimination	Genocide	5
Discrimination	Gerrymandering	5
Discrimination	Neo-Nazism	5
Food	Soil conservation	4
Soil	Water pollution	4
Sexism	Political correctness	4
Apartheid	South African Nuclear Energy Corporation	4
Food	Biofuel	4
Apartheid	Alexander Sinton Secondary School	4
Sexism	Black supremacy	4
Apartheid	South African Republic	4
Soil	Bush tucker	4
Apartheid	South African Youth Revolutionary Council	4
Wood	Water quality	4
Apartheid	Soweto	4
Food	Intensive farming	4
Apartheid	Andries Treurnicht	4
Gauteng	Afrikaans	4
Apartheid	Storming of Kempton Park World Trade Centre	4
Sexism	Gerrymandering	4
Apartheid	Swellendam	4
Sexism	Speciesism	4
Apartheid	Template talk:Apartheid	4
Soil	Land degradation	4
Apartheid	Template:Apartheid	4
Wood	Game (hunting)	4
Apartheid	Template:Culture of South Africa	4
Fiber	Rubber stamp	4
Apartheid	Eugene de Kock	4
Food	Eutrophication	4
Apartheid	Eugène Terre'Blanche	4
Alcoholism	Substance-related disorder	4
Apartheid	Tourism in South Africa	4
Apartheid	Clive Derby-Lewis	4
Apartheid	Township (South Africa)	4
Sexism	Affirmative action	4
Apartheid	Transkei	4
Sexism	Dehumanization	4
Apartheid	Trevor Huddleston	4
Sexism	McCarthyism	4
Apartheid	Anti-Apartheid Movement	4
Sexism	Religious intolerance	4
Apartheid	User:John Carter/Africa articles	4
Sexism	White supremacy	4
Apartheid	User:TUF-KAT/Topics by country	4
Soil	Game (hunting)	4
Apartheid	User:Vivaporius/Books/Republic of South Africa	4
Soil	Seismic hazard	4
Apartheid	Wikipedia:WikiProject South Africa/A few topics	4
Apartheid	Ronnie Kasrils	4
Apartheid	Wikipedia:WikiProject South Africa/Wikipedia Primary School/Articles for review - Feb 2015	4
Apartheid	Discrimination	4
Apartheid	Genootskap van Regte Afrikaners	4
Fiber	Knitting	4
Apartheid	William Modisane	4
Fiber	Twaron	4
Apartheid	Witwatersrand Gold Rush	4
Food	Bushmeat	4
Apartheid	Wouter Basson	4
Food	Food processing	4
Apartheid	Yusuf Dadoo	4
Food	Malthusian catastrophe	4
Bias	Affirmative action	4
Food	Population density	4
Bias	Androcentrism	4
Apartheid	National Conference of the African National Congress	4
Bias	Anglophobia	4
Food	Wikipedia:WikiProject South Africa/Wikipedia Primary School/Popular pages	4
Bias	Anthropocentrism	4
Khoikhoi	History of South Africa	4
Bias	Anti-Arabism	4
Sexism	Anti-Arabism	4
Bias	Anti-LGBT rhetoric	4
Sexism	Class discrimination	4
Bias	Antisemitism	4
Sexism	Empowerment	4
Bias	Biphobia	4
Sexism	Heteronormativity	4
Bias	Black supremacy	4
Sexism	New Black Panther Party	4
Bias	Bumiputera (Malaysia)	4
Sexism	Rankism	4
Bias	Caste	4
Sexism	Sex-selective abortion	4
Bias	Chinese Exclusion Act	4
Sexism	Transphobia	4
Bias	Class discrimination	4
Apartheid	Congress Alliance	4
Bias	Compulsory sterilization	4
Soil	Earthquake	4
Bias	Cronyism	4
Soil	Hydrometer	4
Bias	Cultural assimilation	4
Apartheid	Craig Williamson	4
Bias	Desegregation	4
Soil	Soil erosion	4
Bias	Disability rights movement	4
Apartheid	Robben Island	4
Bias	Discrimination	4
Apartheid	Separate Representation of Voters Act, 1951	4
Bias	Discrimination based on skin color	4
Wood	Indoor air quality	4
Bias	Empowerment	4
Wood	Tidal power	4
Bias	Ethnic cleansing	4
Fiber	Felt	4
Bias	Fat acceptance movement	4
Fiber	Quipu	4
Bias	Feminism	4
Fiber	Tapestry	4
Bias	Gay bashing	4
Food	Agriculture	4
Bias	Gender studies	4
Apartheid	List of power stations in South Africa	4
Bias	Genocide	4
Food	Earth	4
Bias	Gerrymandering	4
Alcoholism	Substance abuse	4
Bias	Glass ceiling	4
Food	Holocene extinction	4
Bias	Hate crime	4
Food	Land degradation	4
Bias	Hate group	4
Apartheid	Chinese South Africans	4
Bias	Hate speech	4
Alcoholism	Abuse	4
Bias	Heteronormativity	4
Food	Renewable energy	4
Bias	Heterosexism	4
Apartheid	Natalia Republic	4
Bias	Islamophobia	4
Apartheid	National Executive Committee of the African National Congress	4
Bias	Lynching	4
Food	Water resources law	4
Bias	McCarthyism	4
Apartheid	National Treasury (South Africa)	4
Bias	Men's rights movement	4
Gauteng	List of etymologies of country subdivision names	4
Bias	Misandry	4
Mpumalanga	KwaZulu-Natal	4
Bias	Misogyny	4
Sexism	Anglophobia	4
Bias	Multiculturalism	4
Sexism	Antisemitism	4
Bias	Neo-Nazism	4
Sexism	Caste	4
Bias	Nepotism	4
Sexism	Cronyism	4
Bias	New Black Panther Party	4
Sexism	Disability rights movement	4
Bias	Nonperson	4
Sexism	Fat acceptance movement	4
Bias	Oppression	4
Sexism	Hate group	4
Bias	Persecution	4
Sexism	Islamophobia	4
Bias	Pogrom	4
Sexism	Neo-Nazism	4
Bias	Police brutality	4
Apartheid	Coloureds	4
Bias	Political correctness	4
Sexism	Racial segregation	4
Bias	Prejudice	4
Sexism	Redlining	4
Bias	Purge	4
Sexism	Reverse discrimination	4
Bias	Racial quota	4
Sexism	Sinophobia	4
Bias	Racial segregation	4
Sexism	Supremacism	4
Bias	Racism	4
Sexism	Universal suffrage	4
Bias	Red Scare	4
Sexism	Xenophobia	4
Bias	Redlining	4
Apartheid	Pass laws	4
Bias	Religious discrimination	4
Soil	Cone penetration test	4
Bias	Religious intolerance	4
Soil	Famine	4
Bias	Religious persecution	4
Soil	Glossary of ecology	4
Bias	Reverse discrimination	4
Apartheid	Constand Viljoen	4
Bias	Sex segregation	4
Soil	Overburden pressure	4
Bias	Sex-selective abortion	4
Soil	Reclaimed water	4
Bias	Sexism	4
Soil	Slurry wall	4
Bias	Sinophobia	4
Soil	Tidal power	4
Bias	Slavery	4
Soil	Well drilling	4
Bias	Speciesism	4
Apartheid	Robert McBride (police officer)	4
Bias	Suffrage	4
Wood	Bush tucker	4
Bias	Supremacism	4
Wood	Fishery	4
Bias	Toleration	4
Wood	Groundwater	4
Bias	Transphobia	4
Apartheid	Desmond Tutu	4
Bias	Triple oppression	4
Apartheid	Discrimination based on skin color	4
Bias	Universal suffrage	4
Apartheid	Eastern Cape	4
Bias	Violence against LGBT people	4
Fiber	Dye	4
Bias	White supremacy	4
Fiber	Glass fiber	4
Bias	Women's rights	4
Fiber	Quilting	4
Bias	Xenophobia	4
Fiber	Rayon	4
Borehole	Adobe	4
