id	label
Acid	Acid
Africa Day	Africa Day
Agriculture in South Africa	Agriculture in South Africa
AIDS orphan	AIDS orphan
Alcohol abuse	Alcohol abuse
Alcohol dependence	Alcohol dependence
Alcoholism	Alcoholism
Aloe	Aloe
Aloe vera	Aloe vera
Animal husbandry	Animal husbandry
Animal husbandry in South Africa	Animal husbandry in South Africa
Apartheid	Apartheid
Atom	Atom
Base (chemistry)	Base (chemistry)
Bias	Bias
Bicycle	Bicycle
Biome	Biome
Bird nest	Bird nest
Boiling	Boiling
Borehole	Borehole
Bullying	Bullying
Car	Car
Castle of Good Hope	Castle of Good Hope
Cell (biology)	Cell (biology)
Ceramic	Ceramic
Chapter Two of the Constitution of South Africa	Chapter Two of the Constitution of South Africa
Child abuse	Child abuse
Children's Act, 2005	Children's Act, 2005
Children's Day	Children's Day
Circuit diagram	Circuit diagram
Clay	Clay
Climate	Climate
Coal	Coal
Coal in South Africa	Coal in South Africa
Control variable	Control variable
Convenience food	Convenience food
Cooking	Cooking
Cradle of Humankind	Cradle of Humankind
Day of Reconciliation	Day of Reconciliation
Decantation	Decantation
Dependent and independent variables	Dependent and independent variables
Design	Design
Discrimination	Discrimination
Domestic violence	Domestic violence
Domestic violence in South Africa	Domestic violence in South Africa
Drakensberg	Drakensberg
Duration (music)	Duration (music)
Economy of South Africa	Economy of South Africa
Ecosystem	Ecosystem
Electrical conductor	Electrical conductor
Electrical network	Electrical network
Electricity generation	Electricity generation
Energy in South Africa	Energy in South Africa
Fair trade	Fair trade
Farm	Farm
Fiber	Fiber
Fire safety	Fire safety
Flag of South Africa	Flag of South Africa
Food	Food
Food group	Food group
Food pyramid (nutrition)	Food pyramid (nutrition)
Food security	Food security
Food vs. fuel	Food vs. fuel
Frances Baard	Frances Baard
Free State (province)	Free State (province)
Freedom Day (South Africa)	Freedom Day (South Africa)
Gangster	Gangster
Gas	Gas
Gauteng	Gauteng
Gender role	Gender role
Glass	Glass
Griqua people	Griqua people
Hand washing	Hand washing
Health	Health
Healthcare in South Africa	Healthcare in South Africa
Herero and Namaqua genocide	Herero and Namaqua genocide
Heritage Day (South Africa)	Heritage Day (South Africa)
History of South Africa	History of South Africa
History of writing	History of writing
HIV	HIV
HIV/AIDS	HIV/AIDS
Home safety	Home safety
Human nutrition	Human nutrition
Human Rights Day	Human Rights Day
Human swimming	Human swimming
Hydraulics	Hydraulics
Insulator (electricity)	Insulator (electricity)
Kaditshwene	Kaditshwene
Khoikhoi	Khoikhoi
Khoisan languages	Khoisan languages
Kingdom of Mapungubwe	Kingdom of Mapungubwe
Later Stone Age	Later Stone Age
Latitude	Latitude
Liquid fuel	Liquid fuel
List of South Africans	List of South Africans
Longitude	Longitude
Mahatma Gandhi	Mahatma Gandhi
Makhonjwa Mountains	Makhonjwa Mountains
Malaria	Malaria
Mandela Day	Mandela Day
Map	Map
Mapungubwe Collection	Mapungubwe Collection
Mapungubwe National Park	Mapungubwe National Park
Mind map	Mind map
Mining industry of South Africa	Mining industry of South Africa
Mpumalanga	Mpumalanga
Music of Africa	Music of Africa
Music of South Africa	Music of South Africa
National anthem of South Africa	National anthem of South Africa
National symbols of South Africa	National symbols of South Africa
National Women's Day	National Women's Day
Nelson Mandela	Nelson Mandela
Nest	Nest
Noise pollution	Noise pollution
Oliver Tambo	Oliver Tambo
Outer space	Outer space
Outline of animal-powered transport	Outline of animal-powered transport
Outline of domestic violence	Outline of domestic violence
Paper	Paper
People Against Gangsterism and Drugs	People Against Gangsterism and Drugs
Petrol-paraffin engine	Petrol-paraffin engine
Pitch (music)	Pitch (music)
Pneumatics	Pneumatics
Politics of South Africa	Politics of South Africa
Pollution	Pollution
Rail transport	Rail transport
Rail transport in South Africa	Rail transport in South Africa
Reproduction	Reproduction
Right to food	Right to food
Road map	Road map
Rock (geology)	Rock (geology)
San healing practices	San healing practices
San people	San people
San religion	San religion
San rock art	San rock art
Sand	Sand
Sarah Baartman	Sarah Baartman
Scale (map)	Scale (map)
Scientific method	Scientific method
Settling	Settling
Sexism	Sexism
Sieve	Sieve
Soil	Soil
Sound	Sound
South Africa	South Africa
South African cuisine	South African cuisine
South African locomotive history	South African locomotive history
Standard Model	Standard Model
Stereotype	Stereotype
Steve Biko	Steve Biko
Tap (valve)	Tap (valve)
Textile	Textile
Trade	Trade
Transport	Transport
Transport in South Africa	Transport in South Africa
Two-foot-gauge railways in South Africa	Two-foot-gauge railways in South Africa
Vibration	Vibration
Walter Sisulu	Walter Sisulu
Water filter	Water filter
Water pollution	Water pollution
Water privatisation in South Africa	Water privatisation in South Africa
Water supply and sanitation in South Africa	Water supply and sanitation in South Africa
Water well	Water well
Wax	Wax
Western Cape	Western Cape
Wetland	Wetland
Wildlife conservation	Wildlife conservation
Wildlife management	Wildlife management
Winnie Madikizela-Mandela	Winnie Madikizela-Mandela
Wood	Wood
Wool	Wool
Youth culture	Youth culture
!Kung people	!Kung people
