Source,Target
!Kung_people,!Kung_language
!Kung_people,!Kung_language
!Kung_people,Adansonia
!Kung_people,Afrikaner
!Kung_people,Altered_state_of_consciousness
!Kung_people,Alveolar_click
!Kung_people,Ambundu
!Kung_people,Angola
!Kung_people,Angola
!Kung_people,Angola
!Kung_people,Animatism
!Kung_people,Animism
!Kung_people,Arrow
!Kung_people,Arrow_poison
!Kung_people,Baka-Nswazwi
!Kung_people,Band_society
!Kung_people,Bantu_peoples
!Kung_people,Barokologadi_Ba_Ga_Maotwa
!Kung_people,Baster
!Kung_people,Batalaunda
!Kung_people,Bibliothèque_nationale_de_France
!Kung_people,Botswana
!Kung_people,Botswana
!Kung_people,Botswana
!Kung_people,Botswana
!Kung_people,British_diaspora_in_Africa
!Kung_people,Cape_Coloureds
!Kung_people,Capoid_race
!Kung_people,Childbirth
!Kung_people,Chokwe_people
!Kung_people,Click_consonant
!Kung_people,Coloured_people
!Kung_people,Damara_people
!Kung_people,Demographics_of_Namibia
!Kung_people,Ethnic_groups
!Kung_people,Ethnic_groups_in_Angola
!Kung_people,Ethnic_groups_in_Botswana
!Kung_people,Gana_and_Gwi_people
!Kung_people,German_Namibians
!Kung_people,Herero_people
!Kung_people,Herero_people
!Kung_people,Herero_people
!Kung_people,Herero_people
!Kung_people,Himba_people
!Kung_people,Himba_people
!Kung_people,History_of_the_Jews_in_Namibia
!Kung_people,Hunter-gatherer
!Kung_people,Infanticide
!Kung_people,International_Standard_Book_Number
!Kung_people,Juǀʼhoansi
!Kung_people,Juǀʼhoansi
!Kung_people,Juǀʼhoansi
!Kung_people,Kalahari_Desert
!Kung_people,Kalahari_Desert
!Kung_people,Kalanga_people
!Kung_people,Kavango_people
!Kung_people,Khoikhoi
!Kung_people,Khoisan_languages
!Kung_people,Kongo_people
!Kung_people,Kwanyama
!Kung_people,Kx'a_languages
!Kung_people,Laying_on_of_hands
!Kung_people,Library_of_Congress_Control_Number
!Kung_people,Lotus_birth
!Kung_people,Lovale_people
!Kung_people,Lozi_people
!Kung_people,Lozi_people
!Kung_people,Lunda_people
!Kung_people,Mangwato_tribe
!Kung_people,Marjorie_Shostak
!Kung_people,Mbadja
!Kung_people,Mbanderu_people
!Kung_people,Mbunda_people
!Kung_people,Millet
!Kung_people,Mucubal_people
!Kung_people,Nama_people
!Kung_people,Nama_people
!Kung_people,Namibia
!Kung_people,Namibia
!Kung_people,Namibia
!Kung_people,Namibia
!Kung_people,Ndonga
!Kung_people,Oorlam_people
!Kung_people,Ovambanderu
!Kung_people,Ovambo_people
!Kung_people,Ovambo_people
!Kung_people,Ovimbundu
!Kung_people,Phish
!Kung_people,Placenta
!Kung_people,Portuguese_Angolans
!Kung_people,Protagonist
!Kung_people,San_people
!Kung_people,San_people
!Kung_people,San_people
!Kung_people,Shamanism
!Kung_people,Sotho_people
!Kung_people,Spear
!Kung_people,Special:BookSources/0674004329
!Kung_people,Special:BookSources/0674004329
!Kung_people,Special:BookSources/0674004329
!Kung_people,Special:BookSources/1-4116-5532-X
!Kung_people,Spirit
!Kung_people,Subiya_people
!Kung_people,Système_universitaire_de_documentation
!Kung_people,Taboo
!Kung_people,Talaote_tribe
!Kung_people,Template:Ethnic_groups_in_Angola
!Kung_people,Template:Ethnic_groups_in_Botswana
!Kung_people,Template:Ethnic_groups_in_Namibia
!Kung_people,Template:POV#When_to_remove
!Kung_people,Template_talk:Ethnic_groups_in_Angola
!Kung_people,Template_talk:Ethnic_groups_in_Botswana
!Kung_people,Template_talk:Ethnic_groups_in_Namibia
!Kung_people,The_Gods_Must_Be_Crazy
!Kung_people,Tlôkwa_tribe
!Kung_people,Tswana_people
!Kung_people,Tswana_people
!Kung_people,Twa
!Kung_people,Twa
!Kung_people,Umbilical_cord
!Kung_people,Umbilical_cord
!Kung_people,Unassisted_childbirth
!Kung_people,White_Africans_of_European_ancestry
!Kung_people,White_Angolans
!Kung_people,White_Namibians
!Kung_people,White_people_in_Botswana
!Kung_people,Wikipedia:Citation_needed
!Kung_people,Wikipedia:Citation_needed
!Kung_people,Wikipedia:Citation_needed
!Kung_people,Wikipedia:Citation_needed
!Kung_people,Wikipedia:Citation_needed
!Kung_people,Wikipedia:Citation_needed
!Kung_people,Wikipedia:Neutral_point_of_view
!Kung_people,Wikipedia:NPOV_dispute
!Kung_people,Wildlife_reserve
!Kung_people,Xindonga
!Kung_people,Yaka_people
!Kung_people,Yeyi_people
!Kung_people,Yombe_people
!Kung_people,Zemba
!Kung_people,Zemba
!Kung_people,ǃKung_language
Acid,Acetate
Acid,Acetic_acid
Acid,Acetic_acid
Acid,Acetic_acid
Acid,Acetic_acid
Acid,Acetic_acid
Acid,Acetylsalicylic_acid
Acid,Acid-base_extraction
Acid,Acid-base_reaction#Arrhenius_definition
Acid,Acid_(disambiguation)
Acid,Acid_catalysis
Acid,Acid_dissociation_constant
Acid,Acid_dissociation_constant
Acid,Acid_dissociation_constant#Monoprotic_acids
Acid,Acid_dissociation_constant#Polyprotic_acids
Acid,Acid_strength
Acid,Acid_strength
Acid,Acid_strength
Acid,Acidic_(band)
Acid,Acidity_(novelette)
Acid,Acidity_function
Acid,Acid–base_reaction
Acid,Acid–base_reaction
Acid,Acid–base_titration
Acid,Alkylation
Acid,Alpha_and_beta_carbon
Acid,Alpha_and_beta_carbon
Acid,Aluminium_trichloride
Acid,Amine
Acid,Amino_acid
Acid,Amino_acid
Acid,Ammonia
Acid,Ammonia
Acid,Ammonia
Acid,Ammonium_chloride
Acid,Ammonium_chloride
Acid,Ammonium_chloride
Acid,Ammonium_nitrate
Acid,Amphoterism
Acid,Anion
Acid,Aqueous_solution
Acid,Aqueous_solutions
Acid,Ascorbic_acid
Acid,Ascorbic_acid
Acid,Aspartic_acid
Acid,Aspirin
Acid,Aspirin
Acid,Atomic_nucleus
Acid,Base_(chemistry)
Acid,Base_(chemistry)
Acid,Base_(chemistry)
Acid,Base_(chemistry)
Acid,Base_(chemistry)#Strong_bases
Acid,Beaker_(glassware)
Acid,Benzene
Acid,Benzenesulfonic_acid
Acid,Benzoic_acid
Acid,Bicarbonate
Acid,Bicarbonate
Acid,Bisulfate
Acid,Bjerrum_plot
Acid,Boric_acid
Acid,Boric_acid
Acid,Boron_trifluoride
Acid,Boron_trifluoride
Acid,Brønsted_acid
Acid,Brønsted–Lowry_acid–base_theory
Acid,Brønsted–Lowry_acid–base_theory
Acid,Brønsted–Lowry_acid–base_theory
Acid,Brønsted–Lowry_acid–base_theory
Acid,Buffer_solution
Acid,Buffer_solution
Acid,Calcium
Acid,Car_battery
Acid,Car_battery
Acid,Carambola
Acid,Carbocation
Acid,Carbohydrate
Acid,Carbon_dioxide
Acid,Carbonate
Acid,Carbonic_acid
Acid,Carbonic_acid
Acid,Carbonyl
Acid,Carborane
Acid,Carboxyl
Acid,Carboxylic_acid
Acid,Carboxylic_acid
Acid,Carboxylic_acid
Acid,Carboxylic_acid
Acid,Carboxylic_acid
Acid,Catalyst
Acid,Cell_membrane
Acid,Cell_membrane
Acid,Cell_wall
Acid,Cellular_respiration
Acid,Chemical_equilibrium
Acid,Chemical_polarity
Acid,Chirality_(chemistry)
Acid,Chirality_(chemistry)#By_configuration:_D-_and_L-
Acid,Chloric_acid
Acid,Chloric_acid
Acid,Chloride
Acid,Chloroacetic_acid
Acid,Chlorous_acid
Acid,Chlorous_acid
Acid,Chromic_acid
Acid,Citrate
Acid,Citric_acid
Acid,Citric_acid
Acid,Citric_acid
Acid,Cola
Acid,Condensation_reaction
Acid,Conjugate_acid
Acid,Corrosive_substance
Acid,Covalent_bond
Acid,Cytosol
Acid,Dehydration_reaction
Acid,Deoxyribonucleic_acid
Acid,Deprotonation
Acid,Deprotonation
Acid,Dichloroacetic_acid
Acid,Digestive_enzyme
Acid,Digestive_enzymes
Acid,Dissociation_(chemistry)
Acid,Dissociation_constant
Acid,DNA
Acid,Electron_pair
Acid,Electrophile
Acid,Enzyme
Acid,Equilibrium_constant
Acid,Ester
Acid,Ester
Acid,Esterification
Acid,Fatty_acid
Acid,Fluoride
Acid,Fluoroacetic_acid
Acid,Fluoroantimonic_acid
Acid,Fluoroantimonic_acid
Acid,Fluoroboric_acid
Acid,Fluorosulfuric_acid
Acid,Formic_acid
Acid,Formic_acid
Acid,Formic_acid
Acid,Freeware
Acid,Gastric_acid
Acid,Gastric_acid
Acid,Gilbert_N._Lewis
Acid,Gluconic_acid
Acid,Glycine
Acid,Henderson–Hasselbalch_equation
Acid,Hexafluorophosphoric_acid
Acid,Hydrobromic_acid
Acid,Hydrobromic_acid
Acid,Hydrochloric_acid
Acid,Hydrochloric_acid
Acid,Hydrochloric_acid
Acid,Hydrochloric_acid
Acid,Hydrochloric_acid
Acid,Hydrochloric_acid
Acid,Hydrochloric_acid
Acid,Hydrochloric_acid
Acid,Hydrochloric_acid
Acid,Hydrochloric_acid
Acid,Hydrochloric_acid
Acid,Hydrofluoric_acid
Acid,Hydrogen_chloride
Acid,Hydrogen_chloride
Acid,Hydrogen_chloride
Acid,Hydrogen_fluoride
Acid,Hydrogen_ion
Acid,Hydroiodic_acid
Acid,Hydroiodic_acid
Acid,Hydron_(chemistry)
Acid,Hydron_(chemistry)
Acid,Hydronium
Acid,Hydronium
Acid,Hydronium_ions
Acid,Hydroxide
Acid,Hydroxyl
Acid,Hypochlorous_acid
Acid,Hypochlorous_acid
Acid,Ibuprofen
Acid,Inorganic
Acid,Integrated_Authority_File
Acid,International_Standard_Book_Number
Acid,Intracellular_pH
Acid,Ion
Acid,Ion
Acid,IUPAC
Acid,Johannes_Nicolaus_Brønsted
Acid,Lactic_acid
Acid,Latin
Acid,Lewis_acid
Acid,Lewis_acids_and_bases
Acid,Lewis_acids_and_bases
Acid,Lewis_acids_and_bases
Acid,Lewis_base
Acid,Lipophilicity
Acid,Litmus
Acid,Lone_pair
Acid,Lungs
Acid,Lysergic_acid_diethylamide
Acid,Magic_acid
Acid,Mammal
Acid,Methanesulfonic_acid
Acid,Micelle
Acid,Mineral_acid
Acid,Mineral_acid
Acid,Mole_(unit)
Acid,Mole_(unit)
Acid,Molecular_oxygen
Acid,Molecule
Acid,National_Diet_Library
Acid,Neutralization_(chemistry)
Acid,Nitric_acid
Acid,Nitric_acid
Acid,Nitric_acid
Acid,Nitric_acid
Acid,Non-nucleophilic_base
Acid,Nucleic_acid
Acid,Organic_acid
Acid,Organic_acid
Acid,Organic_acids
Acid,Organic_acids
Acid,Organic_base
Acid,Organic_compound
Acid,Oxalic_acid
Acid,Oxalic_acid
Acid,Oxidizing_agent
Acid,P-Toluenesulfonic_acid
Acid,Penicillin
Acid,Pepsin
Acid,Pepsinogen
Acid,Peptidoglycan
Acid,Perchloric_acid
Acid,Perchloric_acid
Acid,Perchloric_acid
Acid,Perchloric_acid
Acid,PH
Acid,PH
Acid,PH
Acid,PH_indicator
Acid,Phosphate
Acid,Phosphate
Acid,Phosphate
Acid,Phospholipid_bilayer
Acid,Phospholipids
Acid,Phosphoric_acid
Acid,Phosphoric_acid
Acid,Phosphoric_acid
Acid,Phosphoric_acid
Acid,Phyllanthus_emblica
Acid,Pickling_(metal)
Acid,Polysaccharide
Acid,Polystyrene
Acid,Polystyrene
Acid,Polystyrene_sulfonic_acid
Acid,Potential_energy
Acid,Protein
Acid,Protein
Acid,Proton
Acid,Proton
Acid,Proton
Acid,Proton_affinity
Acid,Protonation
Acid,Rhubarb
Acid,Ribonucleic_acid
Acid,RNA
Acid,Salt_(chemistry)
Acid,Salt_(chemistry)
Acid,Self-ionization_of_water
Acid,Sodium_chloride
Acid,Sodium_fluoride
Acid,Sodium_hydroxide
Acid,Sodium_hydroxide
Acid,Solution
Acid,Solution
Acid,Special:BookSources/0618511776
Acid,Special:BookSources/0618511776
Acid,Special:BookSources/0759347271
Acid,Special:BookSources/978-0-471-19350-0
Acid,Special:BookSources/9781305079113
Acid,Stomach
Acid,Strong_acid
Acid,Strong_acid
Acid,Sulfate
Acid,Sulfonic_acid
Acid,Sulfuric_acid
Acid,Sulfuric_acid
Acid,Sulfuric_acid
Acid,Sulfuric_acid
Acid,Sulfuric_acid
Acid,Sulfuric_acid
Acid,Superacid
Acid,Superacid
Acid,Superbase
Acid,Svante_Arrhenius
Acid,Tartaric_acid
Acid,Tartaric_acid
Acid,Tartaric_acid
Acid,Template:Acids_and_bases
Acid,Template_talk:Acids_and_bases
Acid,Tetrafluoroborate
Acid,Thomas_Martin_Lowry
Acid,Titration
Acid,Titration
Acid,Toluenesulfonic_acid
Acid,Trichloroacetic_acid
Acid,Trifluoroacetic_acid
Acid,Trifluoromethanesulfonic_acid
Acid,Valence_electron
Acid,Ventilation_(physiology)
Acid,Vinylogous
Acid,Weak_acid
Acid,Weak_acid
Acid,Weak_base
Acid,Wet_cell_battery
Acid,Wikipedia:Citing_sources
Acid,Wikipedia:Citing_sources#Inline_citations
Acid,Wikipedia:When_to_cite
Acid,Wikipedia:WikiProject_Fact_and_Reference_Check
Acid,Zinc
Acid,Zinc
Acid,Zwitterion
Africa_Day,Addis_Ababa
Africa_Day,African_Capacity_for_Immediate_Response_to_Crises
Africa_Day,African_Central_Bank
Africa_Day,African_Charter_on_Human_and_Peoples'_Rights
Africa_Day,African_Commission_on_Human_and_Peoples'_Rights
Africa_Day,African_Court_of_Justice
Africa_Day,African_Court_on_Human_and_Peoples'_Rights
Africa_Day,African_Development_Bank
Africa_Day,African_Economic_Community
Africa_Day,African_Economic_Community
Africa_Day,African_Free_Trade_Zone
Africa_Day,African_Investment_Bank
Africa_Day,African_Monetary_Fund
Africa_Day,African_Monetary_Union
Africa_Day,African_Peer_Review_Mechanism
Africa_Day,African_Standby_Force
Africa_Day,African_Union
Africa_Day,African_Union
Africa_Day,African_Union_Commission
Africa_Day,African_Union_Mission_in_Burundi
Africa_Day,African_Union_Mission_in_Sudan
Africa_Day,African_Union_Mission_to_Somalia
Africa_Day,Afro_(currency)
Africa_Day,Ascension_of_Jesus
Africa_Day,Assembly_of_the_African_Union
Africa_Day,AU_Conference_Center_and_Office_Complex
Africa_Day,Boxing_Day
Africa_Day,Bureau_of_the_Pan-African_Parliament
Africa_Day,Casablanca_Group
Africa_Day,Cassinga_Day
Africa_Day,Category:African_Union
Africa_Day,Central_banks_and_currencies_of_Africa
Africa_Day,Chairperson_of_the_African_Union
Africa_Day,Chairperson_of_the_African_Union_Commission
Africa_Day,Chairperson_of_the_Organisation_of_African_Unity
Africa_Day,Christmas
Africa_Day,Constitutive_Act_of_the_African_Union
Africa_Day,Countries_bordering_the_African_Union
Africa_Day,Cross-Cutting_Programs_Committee
Africa_Day,Deputy_Chairperson_of_the_African_Union_Commission
Africa_Day,Easter_Monday
Africa_Day,Economic__Social_and_Cultural_Council
Africa_Day,Economic_Affairs_Committee_(African_Union)
Africa_Day,Economy_of_the_African_Union
Africa_Day,Emblem_of_the_African_Union
Africa_Day,Enlargement_of_the_African_Union
Africa_Day,Ethiopia
Africa_Day,Executive_Council_of_the_African_Union
Africa_Day,Extreme_points_of_the_African_Union
Africa_Day,Financial_Institutions_of_the_African_Union
Africa_Day,Flag_of_the_African_Union
Africa_Day,Foreign_relations_of_the_African_Union
Africa_Day,Gallagher_Convention_Centre
Africa_Day,Geography_of_the_African_Union
Africa_Day,Good_Friday
Africa_Day,Heroes'_Day_(Namibia)
Africa_Day,History_of_Namibia
Africa_Day,History_of_the_African_Union
Africa_Day,Human_Resources__Science__and_Technology_Committee
Africa_Day,Human_Rights_Day
Africa_Day,Infrastructure_and_Energy_Committee
Africa_Day,Languages_of_the_African_Union
Africa_Day,Lesotho
Africa_Day,Let_Us_All_Unite_and_Celebrate_Together
Africa_Day,Life_in_the_African_Union
Africa_Day,Mali
Africa_Day,Member_states_of_the_African_Union
Africa_Day,MISCA
Africa_Day,Monrovia_Group
Africa_Day,Nairobi
Africa_Day,Namibia
