Id,label
Actuarial Society of South Africa HIV AIDS models,Actuarial Society of South Africa HIV AIDS models
Africa Day,Africa Day
African Leaders Malaria Alliance,African Leaders Malaria Alliance
African music,African music
Agriculture in South Africa,Agriculture in South Africa
AIDS orphan,AIDS orphan
Alcohol abuse,Alcohol abuse
Alcohol dependence,Alcohol dependence
Alcoholism,Alcoholism
Aloe vera,Aloe vera
Aloe,Aloe
Animal husbandry in South Africa,Animal husbandry in South Africa
Animal husbandry,Animal husbandry
Animal powered transport,Animal powered transport
Apartheid,Apartheid
Automobile,Automobile
Bias,Bias
Bicycle,Bicycle
Bird nest,Bird nest
Boiling,Boiling
Borehole,Borehole
Bullying,Bullying
Castle of Good Hope,Castle of Good Hope
Ceramic,Ceramic
Chapter Two of the Constitution of South Africa,Chapter Two of the Constitution of South Africa
Child abuse,Child abuse
Children 27s Act (South Africa) ,Children 27s Act (South Africa) 
Children 27s Day,Children 27s Day
Circuit diagram,Circuit diagram
Clay,Clay
Coal in South Africa,Coal in South Africa
Coal,Coal
Cooking,Cooking
Cradle of Humankind,Cradle of Humankind
Decanting,Decanting
Discrimination,Discrimination
Domestic violence in South Africa,Domestic violence in South Africa
Domestic violence,Domestic violence
Drakensberg,Drakensberg
Duration (music) ,Duration (music) 
Economy of South Africa,Economy of South Africa
Electrical conductor,Electrical conductor
Electrical network,Electrical network
Electricity generation,Electricity generation
Energy in South Africa,Energy in South Africa
Fabric,Fabric
Fair trade,Fair trade
Farm,Farm
Fiber,Fiber
Fire safety,Fire safety
Food groups,Food groups
Food security,Food security
Food vs fuel,Food vs fuel
Food,Food
Frances Baard,Frances Baard
Free State (province) ,Free State (province) 
Freedom Day (South Africa) ,Freedom Day (South Africa) 
Gana and Gwi people,Gana and Gwi people
Gangster,Gangster
Gauteng,Gauteng
Gender stereotypes,Gender stereotypes
Glass,Glass
Griqua people,Griqua people
Hand washing,Hand washing
Health care in South Africa,Health care in South Africa
Herero and Namaqua Genocide,Herero and Namaqua Genocide
Heritage Day (South Africa) ,Heritage Day South Africa)
History of South Africa,History of South Africa
HIV AIDS denialism,HIV AIDS denialism
HIV AIDS in South Africa,HIV AIDS in South Africa
HIV AIDS,HIV AIDS
HIV,HIV
Home safety,Home safety
Hottentot Venus,Hottentot Venus
Human nutrition,Human nutrition
Human Rights Day,Human Rights Day
Insulator (electricity) ,Insulator (electricity)
Khoikhoi mythology,Khoikhoi mythology
Khoikhoi,Khoikhoi
Kung people,Kung people
Later Stone Age,Later Stone Age
Liquid fuel,Liquid fuel
List of abandoned railway lines in South Africa,List of abandoned railway lines in South Africa
List of African cuisines,List of African cuisines
List of heritage sites in North West,List of heritage sites in North West
List of restaurants in South Africa,List of restaurants in South Africa
List of South African locomotive classes,List of South African locomotive classes
List of wineries in South Africa,List of wineries in South Africa
Mahatma Gandhi,Mahatma Gandhi
Malaria,Malaria
Mandela Day,Mandela Day
Mapungubwe Museum,Mapungubwe Museum
Mapungubwe National Park,Mapungubwe National Park
Mapungubwe,Mapungubwe
Mining industry of South Africa,Mining industry of South Africa
Mpumalanga,Mpumalanga
Music of South Africa,Music of South Africa
National Women 27s Day,National Women 27s Day
Nelson Mandela,Nelson Mandela
Nest building in primates,Nest building in primates
Nest,Nest
Noise pollution,Noise pollution
Oliver Tambo,Oliver Tambo
Outline of domestic violence,Outline of domestic violence
Outline of food preparation,Outline of food preparation
Outline of South Africa,Outline of South Africa
Paper,Paper
People Against Gangsterism and Drugs,People Against Gangsterism and Drugs
Petrol paraffin engine,Petrol paraffin engine
Pitch (music) ,Pitch (music) 
Politics of South Africa,Politics of South Africa
Portal South Africa,Portal South Africa
Processed food,Processed food
Rail transport in South Africa,Rail transport in South Africa
Rail transport,Rail transport
Reconciliation Day,Reconciliation Day
Republic of South Africa,Republic of South Africa
Right to food by country,Right to food by country
Right to food,Right to food
San healing practices,San healing practices
San languages,San languages
San people,San people
San religion,San religion
San rock art,San rock art
Sand,Sand
Sentraal Suid Ko C3 B6perasie,Sentraal Suid Ko C3 B6perasie
Settling,Settling
Sexism,Sexism
Sieving,Sieving
Sound,Sound
South African AIDS Vaccine Initiative,South African AIDS Vaccine Initiative
South African cuisine,South African cuisine
South African locomotive history,South African locomotive history
South African Malaria Initiative,South African Malaria Initiative
Stereotype,Stereotype
Steve Biko,Steve Biko
Tap (valve) ,Tap (valve) 
Traditional knowledge,Traditional knowledge
Transport in South Africa,Transport in South Africa
Transport,Transport
Transvaal Agricultural Union,Transvaal Agricultural Union
Two foot gauge railways in South Africa,Two foot gauge railways in South Africa
Vibration,Vibration
Walter Sisulu,Walter Sisulu
Water Board (South Africa) ,Water Board (South Africa) 
Water filter,Water filter
Water pollution,Water pollution
Water privatization in South Africa,Water privatization in South Africa
Water supply and sanitation in South Africa,Water supply and sanitation in South Africa
Water well,Water well
Wax,Wax
WESSA,WESSA
Western Cape,Western Cape
Wetlands,Wetlands
Wildlife conservation,Wildlife conservation
Wildlife management,Wildlife management
Winnie Madikizela Mandela,Winnie Madikizela Mandela
Wood,Wood
Wool,Wool
Youth culture,Youth culture
