Old,New
African music,Music_of_Africa
Automobile,Car
Bill_of_Rights_(South_Africa),Chapter_Two_of_the_Constitution_of_South_Africa
Decanting,Decantation
Hottentot Venus,Saartjie_Baartman
Khoikhoi_mythology,null
Mapungubwe,Kingdom_of_Mapungubwe
null,Gas
null,Gender_role
null,Kaditshwene
null,Makhonjwa_Mountains
null,Mind_map
null,Processed_food
Reconciliation_Day,Day_of_Reconciliation
Republic_of_South_Africa,South_Africa
San_languages,Khoisan_languages
Sieving,Sieve
2_ft_gauge_railways_in_South_Africa,Two-foot-gauge_railways_in_South_Africa
Animal-powered_transport,Outline_of_animal-powered_transport
Gender_stereotypes,null
Processed_food,Convenience_food
Mapungubwe_Museum,Mapungubwe_Collection
Gana_and_Gwi_people,San_people
