source	target
!Kung_people	Anthropology
!Kung_people	Ashanti to Zulu
!Kung_people	Cultural anthropology
!Kung_people	Eskimo kinship
!Kung_people	Extended female sexuality
!Kung_people	Firewalking
!Kung_people	Friends of Peoples Close to Nature
!Kung_people	Haplogroup A (Y-DNA)
!Kung_people	Haplogroup A-L1085
!Kung_people	HLA-A68
!Kung_people	Infanticide
!Kung_people	John Zerzan
!Kung_people	List of Botswana-related topics
!Kung_people	List of matrilineal or matrilocal societies
!Kung_people	List of titles
!Kung_people	Lorna Marshall
!Kung_people	Lyall Watson
!Kung_people	Mongongo
!Kung_people	Nutritional anthropology
!Kung_people	Original affluent society
!Kung_people	Paleolithic
!Kung_people	Paleolithic diet
!Kung_people	Peter Ladefoged
!Kung_people	San people
!Kung_people	Standard cross-cultural sample
!Kung_people	Talk:14th Army involvement in Transnistria
!Kung_people	Talk:Laying on of hands
!Kung_people	Talk:Mark Shuttleworth
!Kung_people	Talk:Questlove
!Kung_people	Talk:Racism/Archive 8
!Kung_people	Talk:Run Run Shaw
!Kung_people	Talk:Russell Simmons
!Kung_people	Talk:San people/Archive 1
!Kung_people	Template:Patriarchy (ethnography)
!Kung_people	Traditional African medicine
!Kung_people	User talk:Yackthompson
!Kung_people	User:ClueBot III/Indices/File talk:Battle of Aleppo map.svg
!Kung_people	User:ClueBot III/Indices/File talk:Edith Brown Clement.jpg
!Kung_people	User:ClueBot III/Indices/File talk:H1N1 map.svg
!Kung_people	User:ClueBot III/Indices/File talk:Syrian Civil War.svg
!Kung_people	User:ClueBot III/Indices/File talk:The 2011 Libyan rebellion.png
!Kung_people	User:ClueBot III/Indices/Module talk:Citation/CS1
!Kung_people	User:ClueBot III/Indices/Module talk:Convert
!Kung_people	User:ClueBot III/Indices/Talk:14th Army involvement in Transnistria
!Kung_people	User:ClueBot III/Indices/Talk:Ben Fitzgerald
!Kung_people	User:ClueBot III/Indices/Talk:Black Panther Party
!Kung_people	User:ClueBot III/Indices/Talk:Circumstellar habitable zone
!Kung_people	User:ClueBot III/Indices/Talk:Current cast of Neighbours
!Kung_people	User:ClueBot III/Indices/Talk:David G. Hartwell
!Kung_people	User:ClueBot III/Indices/Talk:Declan Napier
!Kung_people	User:ClueBot III/Indices/Talk:Karl Kennedy
!Kung_people	User:ClueBot III/Indices/Talk:Kathryn Cramer
!Kung_people	User:ClueBot III/Indices/Talk:Libby Kennedy
!Kung_people	User:ClueBot III/Indices/Talk:List of Neighbours characters
!Kung_people	User:ClueBot III/Indices/Talk:Louisa Johnson (singer)
!Kung_people	User:ClueBot III/Indices/Talk:Lyn Scully
!Kung_people	User:ClueBot III/Indices/Talk:Mark Shuttleworth
!Kung_people	User:ClueBot III/Indices/Talk:Phobos Surveyor
!Kung_people	User:ClueBot III/Indices/Talk:Rebecca Robinson (Neighbours)
!Kung_people	User:ClueBot III/Indices/Talk:Ringo Brown
!Kung_people	User:ClueBot III/Indices/Talk:Run Run Shaw
!Kung_people	User:ClueBot III/Indices/Talk:Russell Simmons
!Kung_people	User:ClueBot III/Indices/Talk:Samsung Group
!Kung_people	User:ClueBot III/Indices/Talk:Stephanie Scully
!Kung_people	User:ClueBot III/Indices/Talk:Susan Kennedy
!Kung_people	User:ClueBot III/Indices/Talk:The Bill
!Kung_people	User:ClueBot III/Indices/Talk:Toadfish Rebecchi
!Kung_people	User:ClueBot III/Indices/Talk:Yo Gabba Gabba!
!Kung_people	User:ClueBot III/Indices/Template talk:.NET Framework version history
!Kung_people	User:ClueBot III/Indices/Template talk:.NET Framework version history/Archives/
!Kung_people	User:ClueBot III/Indices/Template talk:PD-CAGov
!Kung_people	User:ClueBot III/Indices/User talk:112.198.83.60
!Kung_people	User:ClueBot III/Indices/User talk:13jospin
!Kung_people	User:ClueBot III/Indices/User talk:164.58.69.2
!Kung_people	User:ClueBot III/Indices/User talk:Abdullah Al Wasif
