article,timestamp,size,user
2 ft gauge railways in South Africa,2014-01-26,19597,Jonesey95
2 ft gauge railways in South Africa,2014-02-05,19591,Aaron-Tripel
2 ft gauge railways in South Africa,2014-02-12,19645,Jackdude101
2 ft gauge railways in South Africa,2014-02-13,19604,Jackdude101
2 ft gauge railways in South Africa,2014-02-13,19609,Jackdude101
2 ft gauge railways in South Africa,2014-02-16,19614,Aaron-Tripel
2 ft gauge railways in South Africa,2014-02-21,19614,Aaron-Tripel
2 ft gauge railways in South Africa,2014-02-21,19616,Jackdude101
2 ft gauge railways in South Africa,2014-03-23,19581,Aaron-Tripel
2 ft gauge railways in South Africa,2014-04-12,20315,Aaron-Tripel
2 ft gauge railways in South Africa,2014-04-12,20815,Aaron-Tripel
2 ft gauge railways in South Africa,2014-05-31,20815,Tabletop
2 ft gauge railways in South Africa,2014-05-31,20830,Tabletop
2 ft gauge railways in South Africa,2014-05-31,20853,Tabletop
2 ft gauge railways in South Africa,2014-06-07,20880,Tabletop
2 ft gauge railways in South Africa,2014-06-17,20880,Aaron-Tripel
2 ft gauge railways in South Africa,2014-10-09,20919,113.21.37.15
2 ft gauge railways in South Africa,2014-11-02,21284,Bahnfrend
2 ft gauge railways in South Africa,2015-04-24,21323,Dl2000
2 ft gauge railways in South Africa,2015-05-04,21323,110.147.180.157
2 ft gauge railways in South Africa,2015-05-04,21330,110.147.180.157
2 ft gauge railways in South Africa,2015-05-04,21449,110.147.180.157
2 ft gauge railways in South Africa,2015-05-04,21548,110.147.180.157
2 ft gauge railways in South Africa,2015-09-21,21549,Dewritech
2 ft gauge railways in South Africa,2015-10-11,21560,121.217.29.120
Africa Day,2014-02-02,2228,Alifazal
Africa Day,2014-05-25,2214,Enock4seth
Africa Day,2014-06-30,2087,112.207.82.129
Africa Day,2014-11-28,2214,Frosty
Africa Day,2014-11-28,2298,Usernamehahaha
Africa Day,2015-01-14,2097,CommonsDelinker
Africa Day,2015-02-06,2126,Asarelah
Africa Day,2015-05-01,2130,Asarelah
Africa Day,2015-05-25,2139,41.13.120.166
Africa Day,2015-05-25,2139,Zimzum42
Africa Day,2015-05-25,2139,Zimzum42
Africa Day,2015-05-27,2171,Rberchie
Africa Day,2015-05-29,2171,Onel5969
Africa Day,2015-05-29,2182,105.237.238.80
Africa Day,2015-10-03,2137,Blainster
Africa Day,2015-10-20,2203,Anthere
Africa Day,2015-11-01,2235,Earflaps
Africa Day,2015-11-01,2269,Earflaps
Africa Day,2015-11-01,2302,Earflaps
Africa Day,2015-11-01,2336,Earflaps
Africa Day,2015-11-01,2371,Earflaps
Africa Day,2015-12-22,2359,GoodDay
Africa Day,2015-12-22,2369,GoodDay
Agriculture in South Africa,2014-03-28,12550,183.90.92.120
Agriculture in South Africa,2014-03-28,12576,216.126.81.48
Agriculture in South Africa,2014-03-29,12549,Dodger67
Agriculture in South Africa,2014-07-08,12708,BooysenN
Agriculture in South Africa,2014-07-08,12710,BooysenN
Agriculture in South Africa,2014-07-08,12740,76.184.245.146
Agriculture in South Africa,2014-09-19,12728,Edward
Agriculture in South Africa,2014-11-19,12728,Skamecrazy123
Agriculture in South Africa,2014-11-19,12768,73.166.155.214
Agriculture in South Africa,2014-11-19,12769,73.166.155.214
Agriculture in South Africa,2015-04-15,12767,111.95.118.208
Agriculture in South Africa,2015-05-06,12837,Knyzna1
Agriculture in South Africa,2015-05-24,12910,76.188.206.204
Agriculture in South Africa,2015-05-25,12798,George8211
Agriculture in South Africa,2015-05-25,12802,George8211
Agriculture in South Africa,2015-07-19,12855,Dbachmann
Agriculture in South Africa,2015-10-09,12979,Anthere
Agriculture in South Africa,2015-10-16,12979,Dodger67
Agriculture in South Africa,2015-10-16,13002,159.191.188.254
Agriculture in South Africa,2015-12-02,12975,Toler1305
Agriculture in South Africa,2015-12-02,12977,Toler1305
AIDS orphan,2015-03-02,3334,105.237.173.61
AIDS orphan,2015-03-11,2768,Onel5969
AIDS orphan,2015-03-31,2602,Chakalacka
AIDS orphan,2015-06-15,2602,Bilorv
AIDS orphan,2015-06-27,2606,Bender235
AIDS orphan,2015-10-20,2672,Anthere
Alcohol dependence,2014-01-03,8412,MusikAnimal
Alcohol dependence,2014-01-03,8658,Cathcharities
Alcohol dependence,2014-02-26,8801,Zad68
Alcohol dependence,2014-04-02,9314,Liptonax
Alcohol dependence,2014-06-26,9319,David Hedlund
Alcohol dependence,2014-06-27,9321,Irek Minnullin
Alcohol dependence,2014-06-27,9435,Irek Minnullin
Alcohol dependence,2014-06-27,9435,Irek Minnullin
Alcohol dependence,2014-06-27,9436,Irek Minnullin
Alcohol dependence,2014-06-27,9618,Irek Minnullin
Alcohol dependence,2014-06-27,9619,Irek Minnullin
Alcohol dependence,2014-06-27,9624,Irek Minnullin
Alcohol dependence,2014-06-27,9648,Irek Minnullin
Alcohol dependence,2014-06-27,9649,Irek Minnullin
Alcohol dependence,2014-06-27,9744,Irek Minnullin
Alcohol dependence,2014-06-30,9620,Vegaswikian
Alcohol dependence,2014-07-01,9322,Fedor Babkin
Alcohol dependence,2014-07-06,9567,Irek Minnullin
Alcohol dependence,2014-07-06,9567,Irek Minnullin
Alcohol dependence,2014-07-06,9568,Irek Minnullin
Alcohol dependence,2014-07-06,9568,Irek Minnullin
Alcohol dependence,2014-09-13,9569,82.22.47.103
Alcohol dependence,2014-09-18,9593,OlEnglish
Alcohol dependence,2014-09-18,9624,OlEnglish
Alcohol dependence,2014-11-01,9771,Seppi333
Alcohol dependence,2014-11-16,9776,Rjwilmsi
Alcohol dependence,2015-02-10,9775,Bhny
Alcohol dependence,2015-02-28,9713,Doc James
Alcohol dependence,2015-02-28,9716,Doc James
