article,unique_editors_2014,edits_2014,avg_size_2014,community,review,new_articles,unique_editors_2015,edits_2015,avg_size_2015,i_row_editors_2014,i_row_edits_2014,i_row_editors_2015,i_row_edits_2015
Processed food,0,0,0,false,false,true,0,0,0,5,5,1,1
Gender stereotypes,1,2,35,false,false,false,0,0,0,2,2,2,2
Animal husbandry in South Africa,5,10,2981,false,false,false,0,0,0,5,10,3,3
Mapungubwe Museum,0,0,0,true,true,false,1,1,2591,3,3,1,1
Children's Act_2005,2,3,3577,false,false,false,1,1,3628,3,2,3,2
People Against Gangsterism and Drugs,1,6,7053,false,false,false,1,2,8187,4,1,2,1
Chapter Two of the Constitution of South Africa,7,10,28465,false,false,false,3,3,28555,2,39,6,1
Animal-powered transport,2,3,3036,false,false,false,3,4,3058,2,1,3,1
Frances Baard,1,1,9119,true,false,false,4,4,9043,1,1,1,2
Right to food,6,7,51735,false,false,false,4,4,50590,16,2,4,3
Duration (music),6,8,2828,false,false,false,4,4,2872,11,2,5,4
San healing practices,2,4,12480,true,true,false,5,6,10242,4,1,1,1
Borehole,6,8,5351,false,false,false,5,6,5452,7,1,6,2
National symbols of South Africa,8,10,5762,false,false,false,5,6,5584,28,89,10,3
Mandela Day,9,10,3248,false,false,false,5,6,3748,17,115,12,4
Liquid fuel,10,10,13878,false,false,false,5,6,13891,8,134,13,5
AIDS orphan,0,0,0,false,false,false,6,6,2764,1,1,1,6
Makhonjwa Mountains,1,2,4236,false,false,true,6,6,4349,3,3,2,7
2 ft gauge railways in South Africa,5,10,20717,false,false,false,4,7,21440,4,9,3,1
Petrol-paraffin engine,3,10,6001,false,false,false,4,8,7061,3,5,2,1
Outline of domestic violence,8,10,40337,false,false,false,4,8,40447,30,90,7,2
Gana and Gwi people,2,6,1410,false,false,false,5,8,1521,5,2,2,3
Later Stone Age,1,10,7928,false,false,false,7,8,7670,5,1,1,4
Transport in South Africa,10,10,8455,true,false,false,8,8,8567,18,144,39,5
Griqua people,4,6,11472,false,false,false,7,9,11696,2,3,2,1
Rail transport in South Africa,8,9,13432,false,false,false,7,9,13594,33,1,16,2
Road map,7,7,8026,false,false,false,8,9,8062,21,3,12,3
South African locomotive history,4,10,269344,false,false,false,2,10,88023,4,8,1,1
Kaditshwene,0,0,0,false,false,true,3,10,3959,2,2,1,2
Mapungubwe National Park,0,0,0,false,false,false,3,10,13760,4,4,2,3
Water privatisation in South Africa,4,5,7567,false,true,false,3,10,7903,1,1,4,4
San rock art,5,7,6713,true,true,false,3,10,7261,3,1,5,5
Child abuse,7,10,103452,false,false,false,3,10,124328,3,40,7,6
Reproduction,7,10,21968,false,false,false,3,10,24160,20,57,8,7
Healthcare in South Africa,9,10,22291,false,false,false,3,10,12296,13,111,9,8
History of South Africa,9,10,82811,false,false,false,3,10,135083,14,112,10,9
Energy in South Africa,8,10,13715,false,false,false,4,10,16081,16,77,6,10
Home safety,4,4,6121,false,false,false,5,10,6936,5,3,3,11
Fiber,5,10,11206,false,false,false,5,10,12290,8,13,4,12
Africa Day,6,6,2209,false,false,false,5,10,2275,2,6,5,13
Aloe,6,10,17832,false,false,false,5,10,19002,5,22,7,14
HIV,7,10,82752,false,false,false,5,10,91248,14,51,8,15
Cell (biology),8,10,44438,false,false,false,5,10,45853,10,71,9,16
Car,9,10,55801,false,false,false,5,10,62299,3,101,11,17
Sound,10,10,16569,false,false,false,5,10,28775,16,142,14,18
Nelson Mandela,5,10,175788,true,true,false,6,10,175720,12,17,3,19
Acid,6,10,32621,false,false,false,6,10,36502,1,19,4,20
Kingdom of Mapungubwe,6,10,18228,false,false,false,6,10,14136,15,30,5,21
Saartjie Baartman,6,10,56297,false,false,false,6,10,52338,17,31,6,22
Sexism,6,10,137112,true,false,false,6,10,167142,19,33,7,23
