article,page_in,user_in,portal_in,template_in,category_in,total_in,community,review,new_article,page_out,user_out,portal_out,template_out,category_out,total_out,page_in_2015,user_in_2015,portal_in_2015,template_in_2015,category_in_2015,total_in_2015,page_out_2015,user_out_2015,portal_out_2015,template_out_2015,category_out_2015,total_out_2015
!Kung people,136,10,0,4,1,151,false,false,false,219,0,0,7,0,226,37,95,0,1,0,133,54,0,0,0,0,54
2 ft gauge railways in South Africa,7,0,0,0,0,7,false,false,false,370,0,2,0,0,372,39,0,0,0,0,39,148,0,2,0,0,150
Acid,474,4,0,1,4,483,false,false,false,388,0,0,2,0,390,488,4,0,1,4,497,320,0,0,2,0,322
Africa Day,159,4,0,2,0,165,false,false,false,125,0,0,5,1,131,141,4,0,2,0,147,109,0,0,5,1,115
Agriculture in South Africa,183,14,0,2,0,199,true,true,false,252,0,0,4,0,256,159,14,0,2,0,175,140,0,0,4,0,144
AIDS orphan,199,19,1,1,1,221,false,false,false,169,0,0,2,0,171,191,17,1,1,1,211,160,0,0,18,0,178
Alcohol abuse,439,31,5,2,1,478,false,false,false,666,0,0,5,0,671,367,31,6,2,1,407,379,0,0,49,1,429
Alcohol dependence,189,68,0,2,2,261,false,false,false,294,0,0,7,1,302,172,69,0,2,2,245,291,0,0,51,1,343
Alcoholism,490,1,0,0,0,491,false,false,false,1639,0,0,9,2,1650,497,1,0,0,0,498,839,0,0,53,2,894
Aloe,436,36,8,10,1,491,false,false,false,310,0,0,1,0,311,303,36,6,25,1,371,173,0,0,1,0,174
Aloe vera,364,56,0,0,0,420,false,false,false,445,0,1,1,0,447,122,51,0,0,0,173,144,0,0,1,0,145
Animal husbandry,471,9,3,0,0,483,false,false,false,284,0,1,2,7,294,474,10,3,0,0,487,106,0,1,2,7,116
Animal husbandry in South Africa,4,3,0,0,0,7,false,false,false,59,0,0,5,0,64,2,3,0,0,0,5,26,0,0,5,0,31
Animal-powered transport,193,14,4,2,1,214,false,false,false,133,0,1,2,0,136,179,12,4,2,1,198,110,0,1,2,0,113
Apartheid,483,3,0,0,0,486,true,true,false,2179,0,9,21,126,2335,492,3,0,0,0,495,1454,0,9,18,16,1497
Atom,476,5,0,0,0,481,false,false,false,1529,0,3,6,1,1539,494,4,0,0,0,498,895,0,3,6,1,905
Base (chemistry),468,17,2,1,3,491,false,false,false,287,0,0,2,0,289,462,17,2,1,3,485,135,0,0,2,0,137
Bias,399,26,1,1,1,428,false,false,false,1206,0,2,7,3,1218,380,41,0,1,1,423,131,0,1,4,0,136
Bicycle,465,13,3,0,2,483,true,true,false,1126,0,2,6,1,1135,466,14,0,1,2,483,540,0,2,6,1,549
Biome,458,7,4,1,16,486,false,false,false,299,0,5,2,0,306,430,7,3,1,16,457,219,0,5,2,0,226
Bird nest,492,1,1,1,0,495,false,false,false,984,0,1,2,1,988,489,2,2,1,0,494,420,0,1,2,1,424
