article,date,pageview
!!!test1,2014-01-1,3200
!!!test1,2014-03-1,3400
!!!test1,2014-06-1,3000
!!!test1,2014-09-1,7700
!!!test1,2014-12-31,13000
Nelson Mandela,2014-01-01,20841
Nelson Mandela,2014-01-02,24870
Nelson Mandela,2014-01-03,23189
Nelson Mandela,2014-01-04,22065
Nelson Mandela,2014-01-05,4097
Nelson Mandela,2014-01-06,0
Nelson Mandela,2014-01-07,31117
Nelson Mandela,2014-01-08,31048
Nelson Mandela,2014-01-09,30870
Nelson Mandela,2014-01-10,25875
Nelson Mandela,2014-01-11,17986
Nelson Mandela,2014-01-12,22368
Nelson Mandela,2014-01-13,29526
Nelson Mandela,2014-01-14,26738
Nelson Mandela,2014-01-15,26123
Nelson Mandela,2014-01-16,26626
Nelson Mandela,2014-01-17,21905
Nelson Mandela,2014-01-18,14553
Nelson Mandela,2014-01-19,18612
Nelson Mandela,2014-01-20,23371
Nelson Mandela,2014-01-21,23930
Nelson Mandela,2014-01-22,22940
Nelson Mandela,2014-01-23,22452
Nelson Mandela,2014-01-24,17749
Nelson Mandela,2014-01-25,12306
Nelson Mandela,2014-01-26,16193
Nelson Mandela,2014-01-27,20421
Nelson Mandela,2014-01-28,24587
Nelson Mandela,2014-01-29,21216
Nelson Mandela,2014-01-30,19919
Nelson Mandela,2014-01-31,15296
Nelson Mandela,2014-02-01,11725
Nelson Mandela,2014-02-02,15156
Nelson Mandela,2014-02-03,22720
Nelson Mandela,2014-02-04,24066
Nelson Mandela,2014-02-05,22196
Nelson Mandela,2014-02-06,20554
Nelson Mandela,2014-02-07,17588
Nelson Mandela,2014-02-08,11534
Nelson Mandela,2014-02-09,15214
Nelson Mandela,2014-02-10,20591
Nelson Mandela,2014-02-11,27230
Nelson Mandela,2014-02-12,20433
Nelson Mandela,2014-02-13,17563
Nelson Mandela,2014-02-14,13163
Nelson Mandela,2014-02-15,10248
Nelson Mandela,2014-02-16,12484
Nelson Mandela,2014-02-17,15450
Nelson Mandela,2014-02-18,17617
Nelson Mandela,2014-02-19,17798
Nelson Mandela,2014-02-20,17924
Nelson Mandela,2014-02-21,14198
Nelson Mandela,2014-02-22,11810
Nelson Mandela,2014-02-23,14763
Nelson Mandela,2014-02-24,20076
Nelson Mandela,2014-02-25,19649
Nelson Mandela,2014-02-26,18172
Nelson Mandela,2014-02-27,17451
Nelson Mandela,2014-02-28,13912
Nelson Mandela,2014-03-01,9374
Nelson Mandela,2014-03-02,12469
Nelson Mandela,2014-03-03,19595
Nelson Mandela,2014-03-04,15699
Nelson Mandela,2014-03-05,15327
Nelson Mandela,2014-03-06,15187
Nelson Mandela,2014-03-07,12357
Nelson Mandela,2014-03-08,8685
Nelson Mandela,2014-03-09,10639
Nelson Mandela,2014-03-10,14304
Nelson Mandela,2014-03-11,14441
Nelson Mandela,2014-03-12,13406
Nelson Mandela,2014-03-13,12604
Nelson Mandela,2014-03-14,10513
Nelson Mandela,2014-03-15,7533
Nelson Mandela,2014-03-16,9614
Nelson Mandela,2014-03-17,13826
Nelson Mandela,2014-03-18,12904
Nelson Mandela,2014-03-19,14739
Nelson Mandela,2014-03-20,13516
Nelson Mandela,2014-03-21,11220
Nelson Mandela,2014-03-22,9154
Nelson Mandela,2014-03-23,13508
Nelson Mandela,2014-03-24,16067
Nelson Mandela,2014-03-25,15192
Nelson Mandela,2014-03-26,14036
Nelson Mandela,2014-03-27,12858
Nelson Mandela,2014-03-28,10203
Nelson Mandela,2014-03-29,7777
Nelson Mandela,2014-03-30,10892
Nelson Mandela,2014-03-31,12622
Nelson Mandela,2014-04-01,12201
