id,article,images,notes,references,seeAlso,total,issues,RW_by_community,RW_by_expert_pdf,RW_by_expert_pdf_wiki,New_article_suggested_by_expert,AFC,Featured_on_WP_SA_portal,Rewrite_based_on_expert_review,WP_Assessment,Bold_reassesment,Africa_Destubathon,Edit_a_thon
21,!Kung people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6,Africa Day,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,1,1
29,Agriculture in South Africa,5,0,19,3,27,0,1,0,1,0,0,0,0,0,0,0,0
11,AIDS orphan,1,0,5,2,8,0,0,0,0,0,0,0,0,1,0,0,0
51,Apartheid,14,0,209,29,252,0,1,1,0,0,0,0,0,0,0,0,0
19,Bias,3,0,148,1,152,0,0,0,0,0,0,0,0,1,1,0,0
50,Bicycle,30,0,130,1,161,0,1,1,0,0,0,0,0,0,0,0,0
3,Children's Act_2005,0,0,5,0,5,0,0,0,0,0,0,0,0,1,0,1,0
46,Children's Day,16,0,63,4,83,2,0,0,0,0,0,0,0,0,0,0,1
23,Clay,6,0,10,0,16,0,0,0,0,0,0,0,0,1,0,0,0
35,Convenience food,5,0,39,2,46,0,0,0,0,0,0,0,0,0,1,0,0
17,Cradle of Humankind,2,0,16,0,18,0,0,0,0,0,0,0,0,1,0,0,0
4,Day of Reconciliation,0,0,20,1,21,0,0,0,0,0,0,0,0,0,0,1,1
34,Drakensberg,9,0,21,2,32,0,0,0,0,0,0,0,0,0,0,0,1
26,Fire safety,2,0,7,12,21,4,0,0,0,0,0,0,0,0,0,0,1
33,Flag of South Africa,9,0,11,5,25,0,0,0,1,1,0,1,1,0,0,0,0
39,Food pyramid (nutrition),7,0,44,2,53,0,1,1,0,0,0,0,0,1,0,0,1
8,Frances Baard,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1
42,Gangster,9,0,53,1,63,1,0,0,0,0,0,0,0,1,0,0,0
52,Gender role,18,0,213,2,233,5,1,1,0,0,0,0,0,0,1,0,0
47,Hand washing,9,0,60,11,80,0,1,1,0,0,0,0,0,0,0,0,1
40,Healthcare in South Africa,1,13,13,11,38,0,1,1,0,0,0,0,0,0,0,0,0
48,Herero and Namaqua Genocide,10,0,95,3,108,0,0,0,1,0,0,0,1,0,0,0,1
10,Heritage Day (South Africa),0,0,6,0,6,0,1,1,0,0,0,0,0,0,1,0,1
49,HIV,12,0,144,2,158,0,0,0,1,0,0,0,0,0,0,0,0
7,Home safety,0,0,5,2,7,3,0,0,0,0,0,0,0,1,0,0,0
32,Human Rights Day,3,0,27,2,32,0,1,1,0,0,0,0,0,0,0,0,0
1,Kaditshwene,1,0,7,0,8,0,0,0,0,0,1,0,0,1,0,0,0
24,Khoikhoi,5,0,9,1,15,1,1,1,0,0,0,0,0,0,0,0,0
14,Khoisan languages,0,5,5,0,10,0,0,0,0,0,0,0,0,0,0,0,1
2,Makhonjwa Mountains,0,0,7,0,7,0,0,0,0,0,1,0,0,0,0,0,0
13,Mandela Day,1,0,6,20,27,0,0,0,0,0,0,0,0,0,0,0,1
27,Map,10,0,6,1,17,0,0,0,0,0,0,0,0,0,1,0,0
12,Mapungubwe Collection,2,0,3,1,6,0,1,1,0,1,0,0,1,0,1,0,0
15,National Women's Day,0,0,7,3,10,0,1,1,0,0,0,0,0,0,0,1,1
53,Nelson Mandela,24,0,481,0,505,0,1,1,0,0,0,0,0,0,0,0,0
30,Nest,8,0,15,4,27,0,0,0,0,0,0,0,0,0,1,0,0
31,Oliver Tambo,1,13,13,1,28,0,1,1,0,0,0,0,0,0,0,0,1
43,Outline of domestic violence,1,0,65,9,75,0,0,0,0,0,0,0,0,0,1,0,0
22,Petrol-paraffin engine,4,0,5,0,9,1,0,0,0,0,0,0,0,1,0,0,0
16,San healing practices,0,0,10,1,11,1,1,1,0,0,0,0,0,1,0,0,1
5,San people,8,0,66,4,78,0,0,0,0,0,0,0,0,0,0,1,0
28,San religion,0,0,28,0,28,0,0,0,0,0,0,0,0,0,0,0,1
20,Sieve,3,0,6,1,10,1,0,0,0,0,0,0,0,1,0,0,0
37,Steve Biko,2,0,49,4,55,2,0,0,0,0,0,1,0,0,0,0,1
41,Vibration,8,0,6,37,51,1,0,0,0,0,0,0,0,1,1,0,0
18,Walter Sisulu,1,0,10,1,12,0,1,1,0,0,0,0,0,0,0,0,1
44,Water pollution,18,0,40,3,61,0,1,0,1,0,0,0,0,0,0,0,0
9,Water privatization in South Africa,0,0,6,2,8,0,1,0,1,0,0,0,0,0,0,0,0
45,Water supply and sanitation in South Africa,5,0,68,5,78,0,1,0,1,0,0,1,0,0,0,0,0
38,Western Cape,11,0,28,0,39,2,1,0,1,0,0,0,0,0,0,0,0
25,Wildlife management,1,0,20,2,23,0,0,0,0,0,0,0,0,1,0,0,0
36,Winnie Madikizela-Mandela,1,0,44,2,47,1,0,0,0,0,0,0,0,0,0,0,1
