article,user,timestamp,size
!Kung_people,Gorobay,2014-08-14,44
!Kung_people,N-true,2007-01-29,27
Acid,12.164.240.19,2006-02-22,12803
Acid,12.246.119.53,2002-10-24,1614
Acid,12.75.24.128,2006-02-27,14064
Acid,128.160.51.27,2005-06-07,13577
Acid,129.118.120.58,2005-10-16,13880
Acid,130.184.211.173,2005-10-02,13992
Acid,130.184.211.184,2005-12-07,14547
Acid,130.184.211.184,2005-12-07,14547
Acid,130.184.211.77,2005-10-11,14003
Acid,130.225.220.220,2004-04-29,4581
Acid,131.109.46.3,2006-04-04,14508
Acid,132.170.185.81,2005-07-05,13612
Acid,134.71.155.148,2005-10-18,14021
Acid,138.180.190.66,2006-02-13,14912
Acid,138.38.32.85,2006-04-19,14387
Acid,139.142.50.213,2005-01-26,8774
Acid,139.142.50.213,2005-01-26,8778
Acid,143.107.55.161,2006-04-29,14689
Acid,144.134.205.66,2005-10-09,14022
Acid,145.64.134.244,2005-10-21,14053
Acid,150.101.65.133,2006-05-02,14689
Acid,150.101.65.133,2006-05-02,14794
Acid,150.237.47.4,2006-06-06,14655
Acid,154.20.188.74,2006-01-20,14754
Acid,155.69.5.234,2005-10-12,14020
Acid,155.69.5.234,2005-10-12,14022
Acid,159.178.78.37,2006-02-14,14875
Acid,164.107.57.93,2005-10-25,14053
Acid,165.139.22.67,2003-08-27,0
Acid,165.139.22.67,2004-02-20,42
Acid,165.139.22.67,2004-02-20,59
Acid,165.21.154.12,2003-06-01,3188
Acid,165.247.46.36,2006-01-04,14641
Acid,166.102.136.111,2005-09-28,13975
Acid,168.190.200.33,2006-01-05,14655
Acid,168.190.200.33,2006-01-05,14718
Acid,168.9.42.206,2006-05-01,14689
Acid,168.9.42.206,2006-05-01,14690
Acid,170.140.85.129,2006-02-27,14061
Acid,170.140.85.129,2006-02-27,14064
Acid,170.140.85.129,2006-02-27,14065
Acid,170.140.85.129,2006-02-27,14070
Acid,192.206.11.122,2004-10-19,5126
Acid,193.2.69.128,2005-01-20,8780
Acid,195.229.241.169,2005-05-12,13174
Acid,195.229.241.169,2005-05-12,13178
Acid,195.93.21.7,2005-02-09,8780
Acid,196.192.97.220,2006-04-24,14539
Acid,202.74.211.98,2006-05-03,14690
Acid,203.120.68.68,2005-10-11,14021
Acid,203.124.2.11,2005-05-21,1110
Acid,203.124.2.11,2005-05-21,3024
Acid,203.124.2.14,2005-05-21,1111
Acid,203.124.2.14,2005-05-21,1111
Acid,203.124.2.14,2005-05-21,6544
Acid,203.124.2.14,2005-05-21,7976
Acid,203.124.2.20,2006-02-09,12347
Acid,203.124.2.20,2006-02-09,13183
Acid,203.124.2.20,2006-02-09,13659
Acid,203.124.2.20,2006-02-09,13970
Acid,203.124.2.8,2005-05-20,7977
Acid,203.46.185.166,2005-04-25,13106
Acid,203.59.50.188,2005-11-15,14483
Acid,203.87.109.74,2006-05-26,14735
Acid,204.108.96.19,2006-05-05,14607
Acid,204.128.70.65,2006-03-23,14485
Acid,205.214.48.30,2006-03-06,14081
Acid,207.136.207.38,2006-04-04,14486
Acid,207.136.207.38,2006-04-04,14489
Acid,207.136.207.38,2006-04-04,14489
Acid,207.136.207.38,2006-04-04,3832
Acid,207.14.47.152,2006-06-17,14626
Acid,207.200.116.73,2006-02-13,14845
Acid,209.50.153.236,2006-02-02,14920
Acid,209.80.137.250,2006-05-31,11036
Acid,209.80.137.250,2006-05-31,14833
Acid,209.80.137.250,2006-05-31,14854
Acid,209.80.137.250,2006-05-31,14928
Acid,209.80.137.250,2006-05-31,14949
Acid,209.90.162.45,2005-05-12,13187
Acid,210.213.156.25,2005-09-30,14017
Acid,210.6.255.241,2006-05-26,14654
Acid,211.28.41.140,2006-05-11,14601
Acid,213.167.146.235,2002-10-20,1599
Acid,213.51.209.230,2004-10-28,6115
Acid,213.51.209.230,2005-01-15,8765
Acid,213.78.90.189,2006-04-24,14513
Acid,216.171.246.30,2006-05-25,14687
Acid,216.20.1.214,2005-02-09,25
Acid,216.20.1.214,2005-12-07,14554
Acid,216.20.1.214,2005-12-07,14556
Acid,216.20.1.214,2005-12-07,7522
Acid,216.20.1.215,2005-12-07,14529
Acid,216.20.1.215,2005-12-07,14529
Acid,216.55.193.44,2006-01-15,14828
Acid,216.55.193.44,2006-01-15,14899
Acid,216.81.142.105,2006-02-24,13955
Acid,217.205.198.154,2006-05-12,12974
Acid,217.205.198.154,2006-05-12,14790
Acid,217.35.151.xxx,2001-11-23,1283
Acid,217.91.6.235,2005-09-22,13947
Acid,217.99.164.2,2003-06-16,3258
Acid,219.66.230.69,2004-07-27,4221
Acid,219.66.230.69,2004-07-27,4224
Acid,24.10.167.19,2006-04-16,14467
Acid,24.130.204.222,2005-11-12,14322
Acid,24.130.204.222,2005-11-12,14348
Acid,24.130.204.222,2005-11-12,14356
Acid,24.147.11.214,2005-10-07,14022
Acid,24.147.147.36,2005-05-12,13177
Acid,24.23.58.165,2006-02-18,14909
Acid,24.239.67.94,2005-10-13,14021
Acid,24.239.67.94,2005-10-13,14049
Acid,24.239.67.94,2005-10-13,14080
Acid,24.251.70.60,2006-06-05,14655
Acid,24.251.70.60,2006-06-05,14659
Acid,24.3.131.37,2006-06-08,14665
Acid,24.5.175.64,2005-03-23,12885
Acid,24.60.190.114,2005-09-17,13892
Acid,24.84.185.19,2004-06-13,4479
Acid,24.84.185.19,2004-06-13,4486
Acid,24.84.185.19,2004-06-13,4487
Acid,24.84.185.19,2004-06-13,4487
Acid,24.84.185.19,2004-06-13,4499
Acid,24.84.185.19,2004-06-13,4505
Acid,24.84.185.19,2004-06-13,4511
Acid,57.68.144.2,2002-06-07,920
Acid,60.226.71.207,2005-08-08,13545
Acid,60.230.194.207,2006-04-06,14463
Acid,61.2.130.148,2005-11-01,14065
Acid,63.138.11.3,2006-05-23,14650
Acid,64.136.131.36,2005-05-13,0
Acid,64.18.38.240,2006-03-21,14481
Acid,64.18.38.240,2006-03-21,14519
Acid,64.229.206.157,2005-05-28,13456
Acid,64.231.159.230,2004-07-05,4570
Acid,64.26.98.90,2002-04-06,693
Acid,64.26.98.xxx,2001-12-22,1350
Acid,64.26.98.xxx,2001-12-29,426
Acid,65.69.10.86,2004-01-30,0
Acid,66.154.220.25,2006-02-02,14928
Acid,66.156.135.xxx,2001-12-16,1293
Acid,66.156.135.xxx,2001-12-16,1330
Acid,66.189.5.227,2006-02-05,14804
Acid,66.231.38.91,2004-11-23,6260
Acid,66.25.242.96,2006-05-22,14643
Acid,66.26.227.192,2005-05-23,13421
Acid,66.26.227.192,2005-05-23,13454
Acid,66.26.227.192,2005-05-23,13455
Acid,66.82.9.71,2004-12-06,7452
Acid,66.82.9.92,2004-12-11,7455
Acid,66.82.9.92,2004-12-11,8153
Acid,67.77.118.236,2005-11-08,14214
Acid,67.82.124.89,2006-03-06,14473
Acid,67.82.124.89,2006-03-06,14491
Acid,67.82.124.89,2006-03-06,14491
Acid,68.10.131.130,2005-04-25,13018
Acid,68.164.86.203,2004-12-11,8115
Acid,68.164.86.203,2004-12-11,8271
Acid,68.164.86.203,2004-12-11,8294
Acid,68.214.216.172,2005-05-13,13409
Acid,68.239.163.166,2005-02-02,8780
Acid,68.39.174.150,2005-05-03,13139
Acid,68.39.174.150,2005-05-04,13139
Acid,68.40.197.177,2006-01-21,14757
Acid,68.50.169.35,2006-02-02,14800
Acid,68.50.169.35,2006-02-02,14800
Acid,68.56.241.89,2005-08-01,13519
Acid,69.106.44.129,2006-03-21,0
Acid,69.140.130.120,2005-07-22,13496
Acid,69.151.209.200,2004-12-07,7453
Acid,69.214.105.115,2005-10-22,14051
Acid,69.229.0.230,2006-01-10,14747
Acid,69.229.0.230,2006-01-10,14812
Acid,69.28.157.199,2005-11-15,14464
Acid,69.57.226.67,2005-10-25,14038
Acid,69.57.226.67,2005-10-25,14052
Acid,70.104.241.41,2006-02-03,192
Acid,70.144.129.5,2006-01-08,14711
Acid,70.97.65.140,2005-09-04,0
Acid,71.111.18.210,2006-04-04,14407
Acid,71.214.85.6,2005-11-28,14535
Acid,71.214.85.6,2005-11-28,14546
Acid,71.30.65.233,2006-01-12,14792
Acid,71.30.65.233,2006-01-12,14805
Acid,72.128.207.236,2006-02-27,14064
Acid,80.102.235.111,2004-07-29,4583
Acid,80.132.159.104,2002-12-12,1638
Acid,80.70.17.136,2005-05-25,13439
Acid,81.109.164.83,2006-04-24,14532
Acid,81.109.164.83,2006-04-24,14662
Acid,81.158.161.213,2006-05-07,14637
Acid,81.203.98.109,2003-08-02,3350
Acid,81.203.98.109,2003-08-02,3352
Acid,81.203.98.109,2003-08-02,3356
Acid,81.203.98.109,2003-08-02,3435
Acid,81.203.98.109,2003-08-02,3983
Acid,81.203.98.109,2003-08-02,3993
Acid,81.203.98.109,2003-08-02,3994
Acid,81.203.98.109,2003-08-02,4030
Acid,81.203.98.109,2003-08-02,4191
Acid,82.36.26.3,2005-01-07,8785
Acid,82.5.61.218,2006-02-10,14808
Acid,83.228.164.139,2005-07-25,13499
Acid,84.128.178.190,2004-11-01,6117
Acid,84.185.177.70,2006-03-27,14460
Acid,84.188.171.140,2005-11-19,14459
Acid,85.157.101.59,2006-03-05,14081
Acid,86.136.193.229,2006-02-17,14952
Acid,86.136.193.229,2006-02-17,14953
Acid,88.104.228.146,2005-11-22,13958
Acid,88.110.42.117,2006-04-20,14779
Acid,Adashiel,2005-12-07,14547
Acid,Adashiel,2005-12-07,14547
Acid,Adashiel,2005-12-07,14547
Acid,Ahoerstemeier,2003-08-27,4190
Acid,Ahoerstemeier,2004-02-20,4233
Acid,Ahoerstemeier,2004-02-20,4233
Acid,Ahoerstemeier,2005-10-12,14020
Acid,AJR,2006-02-22,13954
Acid,Andre Engels,2002-11-18,1625
Acid,Andres,2004-02-25,4244
Acid,Bdesham,2005-04-03,12921
Acid,Bensaccount,2004-03-11,4266
Acid,Bensaccount,2004-05-16,4251
Acid,Bensaccount,2004-05-17,4400
Acid,Bkell,2006-05-07,14600
Acid,Blackcats,2005-04-15,12986
Acid,Bluemask,2005-05-21,13422
Acid,Bmicomp,2005-11-08,14065
Acid,Boky,2006-03-14,14507
Acid,Bomac,2006-02-26,13979
Acid,Borisblue,2005-10-25,14053
Acid,Borisblue,2005-10-25,14053
Acid,Branddobbe,2004-06-29,4526
Acid,Brockert,2004-10-01,4724
Acid,Bryan Derksen,2002-10-13,1454
Acid,Bunchofgrapes,2006-02-27,13979
Acid,Cacycle,2005-04-15,13028
Acid,Cacycle,2005-10-25,14044
Acid,CambridgeBayWeather,2006-04-24,14513
Acid,CaptainVindaloo,2006-05-25,14650
Acid,Card~enwiki,2003-11-01,4214
Acid,Carnildo,2005-05-21,13409
Acid,Carnildo,2005-05-21,13409
Acid,Ceyockey,2005-09-04,13888
Acid,Ceyockey,2005-11-26,14534
Acid,Ceyockey,2006-05-12,14601
Acid,Chairboy,2005-09-04,13888
Acid,Chezzamate,2006-05-12,10981
Acid,Chezzamate,2006-05-12,14625
Acid,Chezzamate,2006-05-12,14630
Acid,Chezzamate,2006-05-12,14654
Acid,Chino,2004-11-04,6267
Acid,Chino,2004-11-30,7121
Acid,Chris the speller,2005-12-17,14564
Acid,Conversion script,2002-02-25,658
Acid,Curious George 57,2006-05-22,14615
Acid,Damian Yerrick,2001-11-23,1238
Acid,Darkfred,2006-04-07,14467
Acid,Ddroar,2001-10-31,1102
Acid,Derek Ross,2003-12-25,4233
Acid,Deville,2006-02-19,13699
Acid,DHN,2005-05-06,13177
Acid,DMacks,2006-03-06,14473
Acid,DMacks,2006-03-21,14436
Acid,DMacks,2006-04-04,14434
Acid,DMacks,2006-04-19,14387
Acid,DMacks,2006-05-26,14650
Acid,DMacks,2006-06-05,14654
Acid,DMacks,2006-06-06,14654
Acid,Dogcow,2006-04-20,14403
Acid,Donarreiskoffer,2003-12-10,4232
Acid,Donarreiskoffer,2004-04-30,4608
Acid,Donarreiskoffer,2004-11-26,6309
Acid,Donarreiskoffer,2004-11-26,7142
Acid,Dylananglada,2006-01-25,14783
Acid,EagleFalconn,2004-12-14,8100
Acid,EagleFalconn,2005-01-20,8780
Acid,EagleFalconn,2005-01-20,8925
Acid,EagleFalconn,2005-01-20,8926
Acid,EagleFalconn,2006-01-16,14735
Acid,Edwy,2006-01-21,14754
Acid,Eequor,2004-09-21,4655
Acid,Eequor,2004-09-21,4661
Acid,Eequor,2004-09-21,4662
Acid,Emote,2006-03-08,14469
Acid,Emperorbma,2004-08-12,4639
Acid,Everyking,2005-05-13,13409
Acid,Everyking,2005-05-20,13409
Acid,Everyking,2005-05-21,13409
Acid,Everyking,2005-05-21,13409
Acid,EvilZak,2005-05-23,13422
Acid,Fredrik,2004-11-21,6262
Acid,Fruge~enwiki,2002-12-20,1679
Acid,Fuzheado,2004-01-30,4233
Acid,Gaius Cornelius,2006-03-07,14469
Acid,Gentgeen,2004-05-31,4362
Acid,Gus Polly,2004-03-11,4268
Acid,Gwernol,2006-04-04,14434
Acid,H Padleckas,2005-03-21,12813
Acid,H Padleckas,2005-03-21,12815
Acid,H Padleckas,2005-04-04,12959
Acid,Hadal,2004-07-27,4570
Acid,Hadal,2005-05-21,13409
Acid,Haham hanuka,2005-02-11,8823
Acid,Hashbrowncipher,2006-03-03,14072
Acid,Haukurth,2005-11-14,14463
Acid,Heron,2003-06-01,3190
Acid,Heron,2003-08-02,4190
Acid,Hessef,2005-08-19,13617
Acid,Hfastedge,2004-04-26,4554
Acid,Ideyal,2003-06-10,3247
