article,edits,avg_size,community,review,new_art
Alexander Ross Clarke,20,99641,false,false,false
Bullying,19,182264,false,false,false
Nelson Mandela,12,527707,true,true,false
Ebola virus disease,11,292358,false,false,false
Buyisiwe Sondezi,10,9057,false,false,false
List of accolades received by Kahaani,10,21184,false,false,false
The Interview (2014 film),10,137144,false,false,false
Bias,9,29772,false,false,false
Farm,9,54485,false,false,false
History of South Africa,9,413062,false,false,false
Inana Nagaur,9,4761,false,false,false
Jessie Willcox Smith,9,31172,false,false,false
Kalangadoo_ South Australia,9,3097,false,false,false
Marek Obrtel,9,2773,false,false,false
Picea glauca,9,72015,false,false,false
Western Cape,9,216173,true,true,false
2014 Hong Kong protests,8,178923,false,false,false
Child abuse,8,310439,false,false,false
Compass,8,78781,false,false,false
Discrimination,8,317536,true,false,false
Ecosystem,8,260054,false,false,false
Food pyramid (nutrition),8,84598,false,false,false
Food security,8,580313,false,false,false
Gharwali Baharwali,8,6766,false,false,false
Glass,8,296582,false,false,false
Michael Reagan,8,23363,false,false,false
MTV's Hottest MCs in the Game,8,9163,false,false,false
Music of South Africa,8,440768,false,false,false
Pneumatics,8,36002,false,false,false
Roots Reggae Library,8,6649,false,false,false
San people,8,309624,true,true,false
Thief II,8,60424,false,false,false
Wildlife conservation,8,87600,false,false,false
2014 Foster Farms Bowl,7,6270,false,false,false
Apartheid,7,743760,true,true,false
Biome,7,126075,false,false,false
Circuit diagram,7,40321,false,false,false
Composting toilet,7,21895,false,false,false
Culcasia scandens,7,2913,false,false,false
Electricity generation,7,129788,false,false,false
Entertainment (2014 film),7,32737,false,false,false
Gulf Cooperation Council,7,55456,false,false,false
Humanitarian situation during the war in Donbass,7,66319,false,false,false
List of places in the United States named after places in England,7,40828,false,false,false
Longitude,7,146911,false,false,false
Mahatma Gandhi,7,161065,false,false,false
Sexism,7,411283,true,false,false
Shwedagon Pagoda,7,28968,false,false,false
Soil,7,396946,false,false,false
Sound,7,99648,false,false,false
Vibration,7,212829,false,false,false
Wax,7,70340,false,false,false
3D printing,6,140774,false,false,false
Acid,6,89861,false,false,false
Autocar U8144T,6,2114,false,false,false
Base (chemistry),6,70586,false,false,false
Bulk billing,6,4432,false,false,false
Cape Town,6,247569,false,false,false
Children's Day,6,186250,false,false,false
Civil defense siren,6,50943,false,false,false
Climate,6,132318,false,false,false
Design,6,117324,false,false,false
Dyslexia,6,57656,false,false,false
Fire safety,6,62334,false,false,false
Food vs. fuel,6,95461,false,false,false
Gas,6,194643,false,false,true
Human Rights Day,6,78012,true,true,false
Hydraulics,6,34017,false,false,false
Indonesia AirAsia Flight 8501,6,142304,false,false,false
List of Presidents of the National Assembly of People's Power (Cuba),6,1940,false,false,false
Pathological lying,6,11667,false,false,false
Preposition and postposition,6,41590,false,false,false
Scale (map),6,132823,false,false,false
Substance abuse,6,63548,false,false,false
Vehicle registration plates of Ukraine,6,13502,false,false,false
Water filter,6,50225,false,false,false
Water well,6,144439,false,false,false
Test_a,1,2000000,true,true,true
Test_b,1,1000000,true,true,true
Test_c,1,500000,true,true,true
Test_d,1,250000,true,true,true
