article,edits,avg_size
Children's Day,13,390111
Fair trade,10,628492
Phoenix Suns,10,87619
Fire safety,10,76251
Anglo-Saxon paganism,10,73769
Clorox,10,26689
Jainism,9,77405
List of wars and anthropogenic disasters by death toll,9,72429
Queen's Counsel,9,48890
National Board of Review: Top Ten Films,9,41521
Defensive gun use,9,38123
Zermeloâ€“Fraenkel set theory,9,33655
The Saint (music venue),9,10237
Julius Petschek,9,1516
Sexism,8,669656
San people,8,248829
Electricity generation,8,139195
OS X,8,106907
Noise pollution,8,102920
Uniform polyhedron,8,60662
Map,8,57612
Sound,8,57569
Aloe,8,57191
Mind map,8,44492
Domestic violence in South Africa,8,43026
Family office,8,8928
Paul Murray (radio presenter),8,7945
Clovelly Lifeboat Station,8,5178
Greenfield Bridge,8,2079
Domestic violence,7,2067293
Apartheid,7,1061476
Human nutrition,7,593648
Glass,7,364174
Ecosystem,7,208320
Bill Cosby sexual assault allegations,7,170113
Vibration,7,170088
Music of South Africa,7,168170
Cooking,7,154813
Whale,7,94236
Aloe vera,7,92755
Textile,7,84425
Base (chemistry),7,78949
South African cuisine,7,76248
Fermat's Last Theorem,7,75305
Electrical conductor,7,62220
Hindustani grammar,7,57411
Desert castles,7,7299
Francis Wilson (economist),7,4260
Ishtar Gate,7,70
Stereotype,6,415506
Economy of South Africa,6,237469
Climate,6,221091
Gauteng,6,186321
Food pyramid (nutrition),6,150786
Wood,6,140356
Shroud of Turin,6,116679
Wool,6,114131
Alcohol abuse,6,93183
Water supply and sanitation in Saudi Arabia,6,77080
Tap (valve),6,68092
Dependent and independent variables,6,65521
Neonatal infection,6,54546
Eurovision Song Contest 2016,6,47061
Biome,6,41098
Clay,6,36768
Backup,6,35617
Outline of Perl,6,32543
Energy in South Africa,6,32129
Hydraulics,6,30321
List of power stations in Michigan,6,26394
List of animals that have been cloned,6,24984
Fiber,6,24539
Chinese South Africans,6,24519
Slightly Stoopid,6,21819
Water Supply and Sanitation Collaborative Council,6,14048
Ian Murdock,6,11672
List of people from Ontario,6,11099
Freedom Day (South Africa),6,6120
Mbanderu people,6,5190
Aloe cooperi,6,3440
Soil,5,996849
Gender role,5,439577
Coal,5,383339
Scientific method,5,285904
Gas,5,192438
Health,5,189974
History of writing,5,183415
Latitude,5,166749
Transport,5,157126
Rio de Janeiro,5,130708
Winnie Madikizela-Mandela,5,114289
Insulator (electricity),5,112994
Human swimming,5,110338
Pitch (music),5,107386
List of genres,5,91431
Acid,5,72970
2016 Alpine Skiing World Cup,5,64090
Wax,5,58930
Mining industry of South Africa,5,57862
Water filter,5,54470
Wildlife conservation,5,49190
Homo naledi,5,35671
555 timer IC,5,21118
Bonaparte's gull,5,19297
Table Mountain Sandstone (Geological Formation),5,16654
Morecambe Bay,5,15473
Heritage Day (South Africa),5,12009
List of earthquakes in China,5,12004
KMC Controls,5,11881
Trebonius,5,11712
Helonias,5,11271
Minimisation (psychology),5,8292
Electrode,5,6686
Marathon Media,5,6671
Gabrielle Garcia,5,5434
SF-36,5,4861
Hocine AÃ¯t Ahmed,5,2907
Footloose,5,702
