article,unique_editors_2014,edits 2014,avg size 2014,editsxeditor_2014,unique_editors_2015,edits_2015,avg_size_2015,editsxeditor_2015,community,review,new
!Kung people,1,1,44,1.00,0,0,0,0.00,-,-,-
Acid,6,10,32621,1.67,6,10,36502,1.67,-,-,-
Africa Day,6,6,2209,1.00,5,10,2275,2.00,-,-,-
African music,0,0,0,0.00,0,0,0,0.00,-,-,-
Agriculture in South Africa,8,10,12698,1.25,8,10,12917,1.25,true,true,-
AIDS orphan,0,0,0,0.00,6,6,2764,1.00,-,-,-
Alcohol abuse,8,10,45495,1.25,7,10,46366,1.43,-,-,-
Alcohol dependence,6,10,9593,1.67,7,10,9075,1.43,-,-,-
Alcoholism,6,10,106565,1.67,9,10,108471,1.11,-,-,-
Aloe,6,10,17832,1.67,5,10,19002,2.00,-,-,-
Aloe vera,8,10,33162,1.25,6,10,30838,1.67,-,-,-
Animal husbandry,9,10,8281,1.11,7,10,17893,1.43,-,-,-
Animal husbandry in South Africa,5,10,2981,2.00,0,0,0,0.00,-,-,-
Animal-powered transport,2,3,3036,1.50,3,4,3058,1.33,-,-,-
Apartheid,8,10,148634,1.25,10,10,151694,1.00,true,true,-
Atom,6,10,109841,1.67,8,10,111088,1.25,-,-,-
Automobile,2,2,53,1.00,2,2,72,1.00,-,-,-
Base (chemistry),10,10,11770,1.00,8,10,19747,1.25,-,-,-
Bias,7,10,4965,1.43,9,10,66235,1.11,-,-,-
Bicycle,9,10,65630,1.11,7,10,68401,1.43,true,true,-
Bill of Rights (South Africa),0,0,0,0.00,0,0,0,0.00,-,-,-
Biome,8,10,25241,1.25,7,10,20549,1.43,-,-,-
Bird nest,8,10,58389,1.25,8,10,59768,1.25,-,-,-
Boiling,8,10,10362,1.25,10,10,10744,1.00,-,-,-
Borehole,6,8,5351,1.33,5,6,5452,1.20,-,-,-
Bullying,6,10,58967,1.67,9,10,60070,1.11,-,-,-
Castle of Good Hope,8,10,9771,1.25,7,10,9950,1.43,-,-,-
Cell (biology),8,10,44438,1.25,5,10,45853,2.00,-,-,-
Ceramic,6,10,17727,1.67,8,10,18790,1.25,-,-,-
Child abuse,7,10,103452,1.43,3,10,124328,3.33,-,-,-
Children's Act 2005,2,3,3577,1.50,1,1,3628,1.00,true,true,-
Children's Day,8,10,62072,1.25,8,10,65274,1.25,true,true,-
Circuit diagram,7,10,10045,1.43,9,10,10381,1.11,-,-,-
Clay,2,10,11026,5.00,8,10,11028,1.25,-,-,-
Climate,8,10,33033,1.25,10,10,36811,1.00,-,-,-
Coal,10,10,79926,1.00,8,10,96046,1.25,-,-,-
Coal in South Africa,7,10,12491,1.43,8,10,13292,1.25,true,-,-
Control variable,5,10,3599,2.00,8,10,3285,1.25,-,-,-
Convenience food,8,10,22670,1.25,6,10,24331,1.67,-,-,-
Cooking,8,10,34530,1.25,8,10,38618,1.25,-,-,-
Cradle of Humankind,10,10,9478,1.00,8,10,11730,1.25,true,true,-
Decanting,0,0,0,0.00,0,0,0,0.00,-,-,-
Dependent and independent variables,2,2,9741,1.00,9,10,13099,1.11,-,-,-
Design,7,10,29401,1.43,7,10,29229,1.43,-,-,-
