article,issues,references,notes,images,seeAlso,total,issues_2015,references_2015,notes_2015,images_2015,seeAlso_2015,total_2015,community,review,new_article
!Kung people,1,10,0,0,0,10,1,15,0,0,0,15,false,false,false
2 ft gauge railways in South Africa,0,40,0,3,0,43,0,40,0,4,0,44,false,false,false
Acid,2,4,0,7,0,11,1,3,0,13,0,16,false,false,false
Africa Day,0,3,0,2,0,5,0,3,0,2,0,5,false,false,false
Agriculture in South Africa,0,17,0,6,3,26,0,16,0,11,3,30,true,true,false
AIDS orphan,0,5,0,1,1,7,0,5,0,2,1,8,false,false,false
Alcohol abuse,0,66,0,5,2,73,0,66,0,9,2,77,false,false,false
Alcohol dependence,0,12,12,1,5,30,0,12,12,2,5,31,false,false,false
Alcoholism,0,177,0,8,8,193,0,175,0,16,8,199,false,false,false
Aloe,1,19,0,23,3,45,1,18,0,44,3,65,false,false,false
Aloe vera,0,65,0,8,0,73,0,63,0,11,4,78,false,false,false
Animal husbandry,1,41,0,4,14,59,1,4,0,4,14,22,false,false,false
Animal husbandry in South Africa,2,4,0,3,0,7,2,4,0,3,0,7,false,false,false
Animal-powered transport,0,0,0,2,16,18,0,0,0,3,16,19,false,false,false
Apartheid,0,188,0,22,0,210,0,187,0,32,0,219,true,true,false
Atom,0,142,2,15,0,159,0,141,2,28,0,171,false,false,false
Base (chemistry),1,12,0,3,5,20,1,12,0,1,5,18,false,false,false
Bias,0,148,0,4,0,152,4,10,0,3,0,13,false,false,false
Bicycle,0,127,0,30,0,157,0,119,0,58,0,177,true,true,false
Biome,1,10,0,9,0,19,2,11,0,13,0,24,false,false,false
Bird nest,0,107,0,19,1,127,0,107,0,36,1,144,false,false,false
Boiling,1,8,0,6,4,18,1,8,0,5,4,17,false,false,false
Borehole,0,5,0,2,5,12,0,5,0,4,4,13,false,false,false
Bullying,2,93,0,1,1,95,2,90,0,2,1,93,false,false,false
Car,1,79,0,22,0,101,1,72,0,31,0,103,false,false,false
Castle of Good Hope,0,10,1,9,3,23,0,10,1,16,3,30,false,false,false
Cell (biology),0,30,0,14,0,44,0,29,0,26,0,55,false,false,false
Ceramic,1,12,1,7,5,25,0,11,0,12,5,28,false,false,false
Chapter Two of the Constitution of South Africa,0,4,0,4,0,8,0,4,0,4,0,8,false,false,false
Child abuse,2,211,0,8,0,219,0,202,0,9,0,211,false,false,false
Children's Act_2005,0,0,0,1,0,1,0,0,0,1,0,1,false,false,false
Children's Day,0,54,0,17,3,74,0,52,0,33,3,88,false,false,false
Circuit diagram,1,9,0,7,0,16,1,9,0,12,0,21,false,false,false
Clay,0,10,0,6,0,16,0,7,0,12,0,19,false,false,false
Climate,0,56,0,14,0,70,0,51,0,23,16,90,false,false,false
Coal,0,155,0,19,0,174,0,141,0,34,0,175,false,false,false
Coal in South Africa,0,26,0,4,2,32,0,25,0,8,2,35,true,false,false
Control variable,0,3,0,0,0,3,1,1,0,1,0,2,false,false,false
Convenience food,0,38,0,7,0,45,0,34,0,10,0,44,false,false,false
Cooking,0,44,0,14,0,58,1,37,0,19,0,56,false,false,false
Cradle of Humankind,0,14,0,4,0,18,0,7,0,5,0,12,true,true,false
Day of Reconciliation,0,2,0,1,0,3,0,2,0,1,0,3,true,false,false
Decantation,0,0,0,3,0,3,0,0,0,5,0,5,false,false,false
Dependent and independent variables,0,17,0,1,0,18,1,16,0,3,1,20,false,false,false
Design,1,35,0,7,1,43,1,36,0,11,1,48,false,false,false
Discrimination,4,144,0,18,43,205,4,137,0,30,40,207,true,false,false
Domestic violence,1,371,0,18,5,394,1,351,8,35,5,399,true,false,false
Domestic violence in South Africa,0,22,0,4,0,26,0,22,0,8,0,30,true,true,false
