,article,images,notes,references,seeAlso,total,issues,RW_by_community,RW_by_expert_pdf,RW_by_expert_pdf_wiki,New_article_suggested_by_expert,AFC,Featured_on_WP_SA_portal,Rewrite_based_on_expert_review,WP_Assessment,Bold_reassesment,Africa_Destubathon,Edit_a_thon,new_article
!Kung people,!Kung people,0,0,15,0,15,1,0,0,0,0,0,0,0,0,1,0,1,
Africa Day,Africa Day,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,1,1,
Agriculture in South Africa,Agriculture in South Africa,11,0,16,3,30,0,1,0,1,0,0,0,0,0,0,0,0,
AIDS orphan,AIDS orphan,2,0,5,1,8,0,0,0,0,0,0,0,0,1,0,0,0,
Apartheid,Apartheid,32,0,187,0,219,0,1,1,0,0,0,0,0,0,0,0,0,
Bias,Bias,3,0,10,0,13,4,0,0,0,0,0,0,0,1,1,0,0,
Bicycle,Bicycle,58,0,119,0,177,0,1,1,0,0,0,0,0,0,0,0,0,
Children's Act_2005,Children's Act (South Africa),1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,
Children's Day,Children's Day,33,0,52,3,88,0,0,0,0,0,0,0,0,0,0,0,1,
Clay,Clay,12,0,7,0,19,0,0,0,0,0,0,0,0,1,0,0,0,
Convenience food,Convenience food,10,0,34,0,44,0,0,0,0,0,0,0,0,1,0,0,0,
Cradle of Humankind,Cradle of Humankind,5,0,7,0,12,0,0,0,0,0,0,0,0,1,0,0,0,
Day of Reconciliation,Day of Reconciliation,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,
Drakensberg,Drakensberg,19,0,19,2,40,0,0,0,0,0,0,0,0,0,0,0,1,
Fire safety,Fire safety,6,0,8,12,26,4,0,0,0,0,0,0,0,0,0,0,1,
Flag of South Africa,Flag of South Africa,22,0,10,0,32,0,0,0,1,1,0,1,1,0,0,0,0,
Food pyramid (nutrition),Food pyramid (nutrition),16,0,41,3,60,0,1,1,0,0,0,0,0,1,0,0,1,
Frances Baard,Frances Baard,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,
Gangster,Gangster,19,0,53,0,72,1,0,0,0,0,0,0,0,1,0,0,0,
Gender role,Gender role,41,0,185,0,226,4,1,1,0,0,0,0,0,0,1,0,0,
Hand washing,Hand washing,20,0,64,11,95,0,1,1,0,0,0,0,0,0,0,0,1,
Healthcare in South Africa,Healthcare in South Africa,5,26,26,8,65,0,1,1,0,0,0,0,0,0,0,0,0,true
Herero and Namaqua Genocide,Herero and Namaqua Genocide,25,0,88,0,113,1,0,0,1,0,0,0,1,0,0,0,1,
Heritage Day (South Africa),Heritage Day (South Africa),3,0,5,0,8,0,1,1,0,0,0,0,0,0,1,0,1,
HIV,HIV,27,0,124,0,151,0,0,0,1,0,0,0,0,0,0,0,0,
Home safety,Home safety,0,0,4,2,6,1,0,0,0,0,0,0,0,1,0,0,0,
Human Rights Day,Human Rights Day,7,0,19,5,31,0,1,1,0,0,0,0,0,0,0,0,0,
Kaditshwene,Kaditshwene,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,true
Khoikhoi,Khoikhoi,12,0,9,0,21,1,1,0,0,0,0,0,0,0,0,0,0,
Khoisan languages,Khoisan languages,1,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,1,
Makhonjwa Mountains,Makhonjwa Mountains,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,true
Mandela Day,Mandela Day,3,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,1,
Map,Map,21,0,6,0,27,0,0,0,0,0,0,0,0,0,1,0,0,
Mapungubwe Collection,Mapungubwe Museum,7,0,1,0,8,0,1,1,0,1,0,0,1,0,1,0,0,
National Women's Day,National Women's Day,4,0,4,3,11,0,1,1,0,0,0,0,0,0,0,1,1,
Nelson Mandela,Nelson Mandela,58,0,401,0,459,0,1,1,0,0,0,0,0,0,0,0,0,
Nest,Nest,16,0,11,3,30,0,0,0,0,0,0,0,0,0,1,0,0,
Oliver Tambo,Oliver Tambo,4,13,13,0,30,1,1,1,0,0,0,0,0,0,0,0,1,
Outline of domestic violence,Outline of domestic violence,2,0,65,9,76,0,0,0,0,0,0,0,0,0,1,0,0,
Petrol-paraffin engine,Petrol-paraffin engine,9,0,8,0,17,1,0,0,0,0,0,0,0,1,0,0,0,
San healing practices,San healing practices,0,0,10,1,11,1,1,1,0,0,0,0,0,1,0,0,1,
San people,San people,1,0,0,2,3,3,0,0,0,0,0,0,0,0,0,1,0,
San religion,San religion,2,0,27,0,29,0,0,0,0,0,0,0,0,0,0,0,1,
Sieve,Sieve,8,0,6,0,14,1,0,0,0,0,0,0,0,1,0,0,0,
South Africa,South African cuisine,23,0,0,0,23,1,0,0,1,0,0,0,0,0,0,0,0,
Steve Biko,Steve Biko,4,0,42,4,50,0,0,0,0,0,0,1,0,0,0,0,1,
Vibration,Vibration,25,0,9,34,68,1,0,0,0,0,0,0,0,1,1,0,0,
Walter Sisulu,Walter Sisulu,3,0,10,0,13,0,1,1,0,0,0,0,0,0,0,0,1,
Water pollution,Water pollution,38,0,42,0,80,0,1,0,1,0,0,0,0,0,0,0,0,
Water privatization in South Africa,Water privatization in South Africa,0,0,6,1,7,0,1,0,1,0,0,0,0,0,0,0,0,
Water supply and sanitation in South Africa,Water supply and sanitation in South Africa,11,0,67,4,82,0,1,0,1,0,0,1,0,0,0,0,0,
Western Cape,Western Cape,27,0,28,0,55,2,1,0,1,0,0,0,0,0,0,0,0,
Wildlife management,Wildlife management,5,0,20,0,25,0,0,0,0,0,0,0,0,1,0,0,0,
Winnie Madikizela-Mandela,Winnie Madikizela-Mandela,5,0,43,1,49,2,0,0,0,0,0,0,0,0,0,0,1,
