article,images,notes,references,seeAlso,total,issues,RW_by_community,RW_by_expert_pdf,RW_by_expert_pdf_wiki,New_article_suggested_by_expert,AFC,Featured_on_WP_SA_portal,Rewrite_based_on_expert_review,WP_Assessment,Bold_reassesment,Africa_Destubathon,Edit_a_thon,new_article
Africa Day,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,1,1,
Agriculture in South Africa,5,0,19,3,27,0,1,0,1,0,0,0,0,0,0,0,0,
AIDS orphan,1,0,5,2,8,0,0,0,0,0,0,0,0,1,0,0,0,
Apartheid,14,0,209,29,252,0,1,1,0,0,0,0,0,0,0,0,0,
Bias,3,0,148,1,152,0,0,0,0,0,0,0,0,1,1,0,0,
Bicycle,30,0,130,1,161,0,1,1,0,0,0,0,0,0,0,0,0,
Children's Act_2005,0,0,5,0,5,0,0,0,0,0,0,0,0,1,0,1,0,
Children's Day,16,0,63,4,83,2,0,0,0,0,0,0,0,0,0,0,1,
Clay,6,0,10,0,16,0,0,0,0,0,0,0,0,1,0,0,0,
Convenience food,5,0,39,2,46,0,0,0,0,0,0,0,0,0,1,0,0,
Cradle of Humankind,2,0,16,0,18,0,0,0,0,0,0,0,0,1,0,0,0,
Day of Reconciliation,0,0,20,1,21,0,0,0,0,0,0,0,0,0,0,1,1,
Drakensberg,9,0,21,2,32,0,0,0,0,0,0,0,0,0,0,0,1,
Fire safety,2,0,7,12,21,4,0,0,0,0,0,0,0,0,0,0,1,
Flag of South Africa,9,0,11,5,25,0,0,0,1,1,0,1,1,0,0,0,0,
Food pyramid (nutrition),7,0,44,2,53,0,1,1,0,0,0,0,0,1,0,0,1,
Frances Baard,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,
Gangster,9,0,53,1,63,1,0,0,0,0,0,0,0,1,0,0,0,
Gender role,18,0,213,2,233,5,1,1,0,0,0,0,0,0,1,0,0,
Hand washing,9,0,60,11,80,0,1,1,0,0,0,0,0,0,0,0,1,
Healthcare in South Africa,1,13,13,11,38,0,1,1,0,0,0,0,0,0,0,0,0,
Herero and Namaqua Genocide,10,0,95,3,108,0,0,0,1,0,0,0,1,0,0,0,1,
Heritage Day (South Africa),0,0,6,0,6,0,1,1,0,0,0,0,0,0,1,0,1,
HIV,12,0,144,2,158,0,0,0,1,0,0,0,0,0,0,0,0,
Home safety,0,0,5,2,7,3,0,0,0,0,0,0,0,1,0,0,0,
Human Rights Day,3,0,27,2,32,0,1,1,0,0,0,0,0,0,0,0,0,
Kaditshwene,1,0,7,0,8,0,0,0,0,0,1,0,0,1,0,0,0,
Khoikhoi,5,0,9,1,15,1,1,1,0,0,0,0,0,0,0,0,0,
Khoisan languages,0,5,5,0,10,0,0,0,0,0,0,0,0,0,0,0,1,
Makhonjwa Mountains,0,0,7,0,7,0,0,0,0,0,1,0,0,0,0,0,0,
Mandela Day,1,0,6,20,27,0,0,0,0,0,0,0,0,0,0,0,1,
Map,10,0,6,1,17,0,0,0,0,0,0,0,0,0,1,0,0,
Mapungubwe Collection,2,0,3,1,6,0,1,1,0,1,0,0,1,0,1,0,0,
National Women's Day,0,0,7,3,10,0,1,1,0,0,0,0,0,0,0,1,1,
Nelson Mandela,24,0,481,0,505,0,1,1,0,0,0,0,0,0,0,0,0,
Nest,8,0,15,4,27,0,0,0,0,0,0,0,0,0,1,0,0,
Oliver Tambo,1,13,13,1,28,0,1,1,0,0,0,0,0,0,0,0,1,
Outline of domestic violence,1,0,65,9,75,0,0,0,0,0,0,0,0,0,1,0,0,
Petrol-paraffin engine,4,0,5,0,9,1,0,0,0,0,0,0,0,1,0,0,0,
San healing practices,0,0,10,1,11,1,1,1,0,0,0,0,0,1,0,0,1,
San people,8,0,66,4,78,0,0,0,0,0,0,0,0,0,0,1,0,
San religion,0,0,28,0,28,0,0,0,0,0,0,0,0,0,0,0,1,
Sieve,3,0,6,1,10,1,0,0,0,0,0,0,0,1,0,0,0,
South Africa,44,1,191,1,237,1,0,0,1,0,0,0,0,0,0,0,0,
Steve Biko,2,0,49,4,55,2,0,0,0,0,0,1,0,0,0,0,1,
Vibration,8,0,6,37,51,1,0,0,0,0,0,0,0,1,1,0,0,
Walter Sisulu,1,0,10,1,12,0,1,1,0,0,0,0,0,0,0,0,1,
Water pollution,18,0,40,3,61,0,1,0,1,0,0,0,0,0,0,0,0,
Water privatization in South Africa,0,0,6,2,8,0,1,0,1,0,0,0,0,0,0,0,0,
Water supply and sanitation in South Africa,5,0,68,5,78,0,1,0,1,0,0,1,0,0,0,0,0,
Western Cape,11,0,28,0,39,2,1,0,1,0,0,0,0,0,0,0,0,
Wildlife management,1,0,20,2,23,0,0,0,0,0,0,0,0,1,0,0,0,
Winnie Madikizela-Mandela,1,0,44,2,47,1,0,0,0,0,0,0,0,0,0,0,1,
!Kung people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
