article,page_in,user_in,portal_in,template_in,category_in,total_in,page_out,user_out,portal_out,template_out,category_out,total_out,RW_by_community,RW_by_expert_pdf,RW_by_expert_pdf_wiki,New_article_suggested_by_expert,AFC,Featured_on_WP_SA_portal,Rewrite_based_on_expert_review,WP_Assessment,Bold_reassesment,Africa_Destubathon,Edit_a_thon,,,
!Kung people,37,95,0,1,0,133,54,0,0,0,0,54,,,,,,,,,,,,,,
2 ft gauge railways in South Africa,39,0,0,0,0,39,148,0,2,0,0,150,,,,,,,,,,,,,,
Acid,488,4,0,1,4,497,320,0,0,2,0,322,,,,,,,,,,,,,,
Africa Day,141,4,0,2,0,147,109,0,0,5,1,115,,,,,,,,,,,,,,
Agriculture in South Africa,159,14,0,2,0,175,140,0,0,4,0,144,,,,,,,,,,,,,,
AIDS orphan,191,17,1,1,1,211,160,0,0,18,0,178,,,,,,,,,,,,,,
Alcohol abuse,367,31,6,2,1,407,379,0,0,49,1,429,,,,,,,,,,,,,,
Alcohol dependence,172,69,0,2,2,245,291,0,0,51,1,343,,,,,,,,,,,,,,
Alcoholism,497,1,0,0,0,498,839,0,0,53,2,894,,,,,,,,,,,,,,
Aloe,303,36,6,25,1,371,173,0,0,1,0,174,,,,,,,,,,,,,,
Aloe vera,122,51,0,0,0,173,144,0,0,1,0,145,,,,,,,,,,,,,,
Animal husbandry,474,10,3,0,0,487,106,0,1,2,7,116,,,,,,,,,,,,,,
Animal husbandry in South Africa,2,3,0,0,0,5,26,0,0,5,0,31,,,,,,,,,,,,,,
Animal-powered transport,179,12,4,2,1,198,110,0,1,2,0,113,,,,,,,,,,,,,,
Apartheid,492,3,0,0,0,495,1454,0,9,18,16,1497,,,,,,,,,,,,,,
Atom,494,4,0,0,0,498,895,0,3,6,1,905,,,,,,,,,,,,,,
Base (chemistry),462,17,2,1,3,485,135,0,0,2,0,137,,,,,,,,,,,,,,
Bias,380,41,0,1,1,423,131,0,1,4,0,136,,,,,,,,,,,,,,
Bicycle,466,14,0,1,2,483,540,0,2,6,1,549,,,,,,,,,,,,,,
Biome,430,7,3,1,16,457,219,0,5,2,0,226,,,,,,,,,,,,,,
Bird nest,489,2,2,1,0,494,420,0,1,2,1,424,,,,,,,,,,,,,,
Boiling,353,41,5,4,0,403,119,0,0,2,0,121,,,,,,,,,,,,,,
Borehole,279,22,6,1,2,310,121,0,0,2,0,123,,,,,,,,,,,,,,
Bullying,482,2,1,1,0,486,578,0,0,8,0,586,,,,,,,,,,,,,,
Car,493,3,0,0,0,496,1031,0,7,12,10,1060,,,,,,,,,,,,,,
Castle of Good Hope,97,6,4,2,0,109,59,0,0,0,0,59,,,,,,,,,,,,,,
Cell (biology),495,3,0,0,0,498,596,0,0,41,0,637,,,,,,,,,,,,,,
Ceramic,496,2,0,0,1,499,145,0,0,0,1,146,,,,,,,,,,,,,,
Chapter Two of the Constitution of South Africa,18,0,0,0,0,18,200,0,1,6,1,208,,,,,,,,,,,,,,
Child abuse,491,1,0,0,1,493,609,0,3,10,0,622,,,,,,,,,,,,,,
Children's Act_ 2005,1,0,0,0,0,1,24,0,0,0,0,24,,,,,,,,,,,,,,
Children's Day,195,17,44,2,0,258,433,0,0,2,0,435,,,,,,,,,,,,,,
Circuit diagram,114,39,4,0,1,158,52,0,1,0,0,53,,,,,,,,,,,,,,
Clay,498,1,0,0,0,499,206,0,0,2,0,208,,,,,,,,,,,,,,
Climate,500,0,0,0,0,500,815,0,6,16,10,847,,,,,,,,,,,,,,
