article,entry_links_aug15,exit_links_aug15,pagerank_aug15,daily_pageview_aug15,issues_aug15,references_aug15,notes_aug15,images_aug15,seeAlso_aug15,entry_links_sep15,exit_links_sep15,pagerank_sep15,daily_pageview_sep15,issues_sep15,references_sep15,notes_sep15,images_sep15,seeAlso_sep15,entry_links_diff,exit_links_diff,pagerank_diff,daily_pageview_diff,issues_diff,references_diff,notes_diff,images_diff,seeAlso_diff
!Kung people,133,54,5,34,1,15,0,0,0,139,139,5,-,1,8,0,0,0,6,85,0,-,0,-7,0,0,0
Acid,497,322,6,2812,1,3,0,13,0,497,322,6,-,1,3,0,13,0,0,0,0,-,0,0,0,0,0
Africa Day,147,115,5,79,0,3,0,2,0,147,115,5,-,0,3,0,2,0,0,0,0,-,0,0,0,0,0
African music,287,508,5,42,0,15,0,19,0,287,508,5,-,0,15,0,19,0,0,0,0,-,0,0,0,0,0
Agriculture in South Africa,175,144,6,120,0,16,0,11,3,176,144,6,-,0,16,0,11,3,1,0,0,-,0,0,0,0,0
AIDS orphan,211,178,5,27,0,5,0,2,1,211,178,5,-,0,5,0,2,1,0,0,0,-,0,0,0,0,0
Alcohol abuse,407,429,5,413,0,66,0,9,2,407,374,5,-,0,66,0,9,2,0,-55,0,-,0,0,0,0,0
Alcohol dependence,245,343,5,269,0,12,12,2,5,247,291,5,-,0,12,12,2,5,2,-52,0,-,0,0,0,0,0
Alcoholism,498,894,6,1933,0,175,0,16,8,498,841,6,-,0,175,0,16,8,0,-53,0,-,0,0,0,0,0
Aloe,371,174,5,513,1,18,0,44,3,371,174,5,-,1,18,0,44,3,0,0,0,-,0,0,0,0,0
Aloe vera,173,145,5,2176,0,63,0,11,4,175,145,5,-,0,63,0,11,4,2,0,0,-,0,0,0,0,0
Animal husbandry,487,116,6,733,1,4,0,4,14,487,116,6,-,1,4,0,4,14,0,0,0,-,0,0,0,0,0
Animal husbandry in South Africa,5,31,0,2,2,4,0,3,0,5,31,0,-,2,4,0,3,0,0,0,0,-,0,0,0,0,0
Animal-powered transport,198,113,5,68,0,0,0,3,16,199,113,5,-,0,0,0,3,16,1,0,0,-,0,0,0,0,0
Apartheid,495,1497,6,3979,0,187,0,32,0,495,1726,6,-,0,185,0,32,0,0,229,0,-,0,-2,0,0,0
Atom,498,905,7,3226,0,141,2,28,0,498,905,7,-,0,141,2,28,0,0,0,0,-,0,0,0,0,0
Automobile,496,1060,6,10564,1,72,0,31,0,496,1064,6,-,1,75,0,33,0,0,4,0,-,0,3,0,2,0
Base (chemistry),485,137,6,1002,1,12,0,1,5,485,137,6,-,1,12,0,1,5,0,0,0,-,0,0,0,0,0
