article, notes, issues, references, seeAlso, images
!Kung people,0,1,15,0,0
Acid,0,1,3,0,6
Africa Day,0,0,3,0,0
African music,0,0,15,0,8
Agriculture in South Africa,0,0,16,3,5
AIDS orphan,0,0,5,1,1
Alcohol abuse,0,0,66,2,4
Alcohol dependence,12,0,12,5,1
Alcoholism,0,0,175,8,8
Aloe,0,1,18,3,21
Aloe vera,0,0,63,4,5
Animal husbandry,0,1,4,14,1
Animal husbandry in South Africa,0,2,4,0,0
Animal-powered transport,0,0,0,16,1
Apartheid,0,0,187,0,11
Atom,2,0,141,0,13
Automobile,0,1,72,0,14
Base (chemistry),0,1,12,5,0
Bias,0,4,10,0,0
Bicycle,0,0,119,0,29
Bill of Rights (South Africa),0,0,4,0,0
Biome,0,2,11,0,3
Bird nest,0,0,107,1,18
Boiling,0,1,8,4,2
Borehole,0,0,5,4,2
Bullying,0,2,90,1,1
Castle of Good Hope,1,0,10,3,7
Cell (biology),0,0,29,0,12
Ceramic,0,0,11,5,6
Child abuse,0,0,202,0,4
Child abuseChild abuse,0,0,0,0,0
Children's Act (South Africa),0,0,0,0,0
Children's Day,0,0,52,3,16
Circuit diagram,0,1,9,0,5
Clay,0,0,7,0,6
Climate,0,0,51,16,10
Coal,0,0,141,0,15
Coal in South Africa,0,0,25,2,4
Control variable,0,1,1,0,0
Convenience food,0,0,34,0,4
Cooking,0,1,37,0,8
Cradle of Humankind,0,0,7,0,2
Decanting,0,0,0,0,2
Dependent and independent variables,0,1,16,1,1
Design,0,1,36,1,4
Discrimination,0,4,137,40,13
Domestic violence,8,1,351,5,17
Domestic violence in South Africa,0,0,22,0,4
Drakensberg,0,0,19,2,9
Duration (music),0,0,2,1,1
Economy of South Africa,0,1,111,0,6
Ecosystem,1,0,46,8,12
Electrical conductor,0,1,2,0,2
Electrical network,0,1,0,31,1
Electricity generation,0,1,22,0,9
Energy in South Africa,0,0,19,0,1
Fair trade,0,2,169,4,7
Farm,0,1,27,0,11
Fiber,0,1,9,0,1
Fire safety,0,4,8,12,2
Fire safety,0,4,8,12,2
Flag of South Africa,0,0,10,0,9
Food,93,0,93,0,27
Food groups,0,0,10,1,2
Food pyramid (nutrition),0,0,41,3,7
Food security,0,1,133,0,15
Food vs. fuel,0,0,145,0,2
Frances Baard,0,0,7,0,0
Free State (province),0,0,4,1,7
Freedom Day (South Africa),0,0,2,7,1
Gana and Gwi people,0,3,0,2,0
Gangster,0,1,53,0,9
Gauteng,0,0,73,0,8
Gender stereotypes,0,4,185,0,19
Glass,0,1,57,12,45
Griqua people,0,0,8,3,5
Hand washing,0,0,64,11,10
Health,0,1,43,1,6
Health care in South Africa,26,0,26,8,2
Herero and Namaqua Genocide,0,1,88,0,10
Heritage Day (South Africa),0,0,5,0,1
History of South Africa,0,8,159,15,32
History of writing,2,0,37,0,6
HIV,0,0,124,0,12
HIV/AIDS,0,0,265,0,15
Home safety,0,1,4,2,0
