article,entry_links,exit_links,images,issues,notes,references,seeAlso,pagerank
!Kung people,133,54,0,1,0,15,0,5
Acid,497,322,13,1,0,3,0,6
Africa Day,147,115,2,0,0,3,0,5
African music,287,508,19,0,0,15,0,5
Agriculture in South Africa,175,144,11,0,0,16,3,6
AIDS orphan,211,178,2,0,0,5,1,5
Alcohol abuse,407,429,9,0,0,66,2,5
Alcohol dependence,245,343,2,0,12,12,5,5
Alcoholism,498,894,16,0,0,175,8,6
Aloe,371,174,44,1,0,18,3,5
Aloe vera,173,145,11,0,0,63,4,5
Animal husbandry,487,116,4,1,0,4,14,6
Animal husbandry in South Africa,5,31,3,2,0,4,0,0
Animal-powered transport,198,113,3,0,0,0,16,5
Apartheid,495,1497,32,0,0,187,0,6
Atom,498,905,28,0,2,141,0,7
Automobile,496,1060,31,1,0,72,0,6
Base (chemistry),485,137,1,1,0,12,5,6
Bias,423,136,3,4,0,10,0,6
Bicycle,483,549,58,0,0,119,0,6
Bill of Rights (South Africa),18,208,4,0,0,4,0,6
Biome,457,226,13,2,0,11,0,6
Bird nest,494,424,36,0,0,107,1,5
Boiling,403,121,5,1,0,8,4,6
Borehole,310,123,4,0,0,5,4,5
Bullying,486,586,2,2,0,90,1,6
Castle of Good Hope,109,59,16,0,1,10,3,5
Cell (biology),498,637,26,0,0,29,0,6
Ceramic,499,146,12,0,0,11,5,6
Child abuse,493,622,9,0,0,202,0,6
Children's Act (South Africa),1,24,1,0,0,0,0,4
Children's Day,258,435,33,0,0,52,3,6
Circuit diagram,158,53,12,1,0,9,0,6
Clay,499,208,12,0,0,7,0,6
Climate,500,847,23,0,0,51,16,6
Coal,500,708,34,0,0,141,0,6
Coal in South Africa,103,154,8,0,0,25,2,4
Control variable,17,16,1,1,0,1,0,4
Convenience food,148,160,10,0,0,34,0,5
Cooking,485,923,19,1,0,37,0,6
Cradle of Humankind,113,79,5,0,0,7,0,5
Decanting,7,16,5,0,0,0,0,5
Dependent and independent variables,263,50,3,1,0,16,1,6
Design,490,418,11,1,0,36,1,6
Discrimination,491,853,30,4,0,137,40,6
Domestic violence,493,1061,35,1,8,351,5,6
Domestic violence in South Africa,78,41,8,0,0,22,0,0
Drakensberg,402,247,19,0,0,19,2,5
Duration (music),98,339,4,0,0,2,1,5
Economy of South Africa,431,513,16,1,0,111,0,6
Ecosystem,497,793,32,0,1,46,8,6
Electrical conductor,398,164,6,1,0,2,0,6
Electrical network,408,143,5,1,0,0,31,6
Electricity generation,487,347,24,1,0,22,0,6
Energy in South Africa,106,85,5,0,0,19,0,4
Fair trade,475,689,18,2,0,169,4,6
Farm,490,217,23,1,0,27,0,6
Fiber,481,367,7,1,0,9,0,6
Fire safety,342,234,6,4,0,8,12,5
Flag of South Africa,364,170,22,0,0,10,0,6
Food,499,1349,61,0,93,93,0,6
Food groups,24,68,4,0,0,10,1,4
Food pyramid (nutrition),21,150,16,0,0,41,3,0
Food security,462,511,35,1,0,133,0,6
Food vs. fuel,336,365,7,0,0,145,0,5
Frances Baard,13,46,0,0,0,7,0,5
Free State (province),391,265,17,0,0,4,1,5
Freedom Day (South Africa),38,24,3,0,0,2,7,5
Gana and Gwi people,10,15,1,3,0,0,2,0
Gangster,436,339,19,1,0,53,0,5
Gauteng,499,377,20,0,0,73,0,6
Gender stereotypes,62,501,41,4,0,185,0,6
Glass,497,740,91,1,0,57,12,6
Griqua people,261,141,11,0,0,8,3,5
Hand washing,259,362,20,0,0,64,11,5
Health,480,235,12,1,0,43,1,6
Health care in South Africa,100,290,5,0,26,26,8,6
Herero and Namaqua Genocide,257,333,25,1,0,88,0,5
Heritage Day (South Africa),32,36,3,0,0,5,0,5
History of South Africa,371,929,76,8,0,159,15,6
History of writing,406,915,12,0,2,37,0,6
HIV,497,883,27,0,0,124,0,6
HIV/AIDS,493,1326,32,0,0,265,0,6
Home safety,3,11,0,1,0,4,2,4
Hottentot Venus,12,134,20,1,0,59,0,5
