id_pv,art,RW_by_community,RW_by_expert_pdf,RW_by_expert_pdf_wiki,New_article_suggested_by_expert,AFC,Featured_on_WP_SA_portal,Rewrite_based_on_expert_review,WP_Assessment,Bold_reassesment,Africa_Destubathon,Edit_a_thon,id_AZ,article
1,Two-foot-gauge_railways_in_South_Africa,0,0,0,0,0,0,0,0,0,0,0,156,Two-foot-gauge_railways_in_South_Africa
2,Kaditshwene,0,0,0,0,1,0,0,1,0,0,0,88,Kaditshwene
3,Mapungubwe_Collection,1,1,0,1,0,0,1,0,1,0,0,102,Mapungubwe_Collection
4,Animal_husbandry_in_South_Africa,0,0,0,0,0,0,0,0,0,0,0,11,Animal_husbandry_in_South_Africa
5,Water_privatisation_in_South_Africa,1,0,1,0,0,0,0,0,0,0,0,161,Water_privatisation_in_South_Africa
6,Makhonjwa_Mountains,0,0,0,0,1,0,0,0,0,0,0,98,Makhonjwa_Mountains
7,Outline_of_animal-powered_transport,0,0,0,0,0,0,0,0,0,0,0,117,Outline_of_animal-powered_transport
8,South_African_locomotive_history,0,0,0,0,0,0,0,0,0,0,0,147,South_African_locomotive_history
9,San_healing_practices,1,1,0,0,0,0,0,1,0,0,1,132,San_healing_practices
10,Frances_Baard,0,0,0,0,0,0,0,0,0,0,1,64,Frances_Baard
11,Petrol-paraffin_engine,0,0,0,0,0,0,0,1,0,0,0,121,Petrol-paraffin_engine
12,Children's_Act_2005,0,0,0,0,0,0,0,1,0,1,0,28,Children's_Act_2005
13,AIDS_orphan,0,0,0,0,0,0,0,1,0,0,0,4,AIDS_orphan
14,Mapungubwe_National_Park,0,0,0,0,0,0,0,0,0,0,0,103,Mapungubwe_National_Park
15,!Kung_people,0,0,0,0,0,0,0,0,1,0,1,173,!Kung_people
16,Domestic_violence_in_South_Africa,0,0,0,0,0,0,0,0,0,0,0,45,Domestic_violence_in_South_Africa
17,People_Against_Gangsterism_and_Drugs,0,0,0,0,0,0,0,0,0,0,0,120,People_Against_Gangsterism_and_Drugs
18,Outline_of_domestic_violence,0,0,0,0,0,0,0,0,0,0,0,118,Outline_of_domestic_violence
19,Later_Stone_Age,0,0,0,0,0,0,0,0,0,0,0,92,Later_Stone_Age
20,San_rock_art,0,0,0,0,0,0,0,0,0,0,0,135,San_rock_art
21,Home_safety,0,0,0,0,0,0,0,1,0,0,0,82,Home_safety
22,Transport_in_South_Africa,0,0,0,0,0,0,0,0,0,0,0,155,Transport_in_South_Africa
23,Energy_in_South_Africa,0,0,0,0,0,0,0,0,0,0,0,53,Energy_in_South_Africa
24,Coal_in_South_Africa,0,0,0,0,0,0,0,0,0,0,0,34,Coal_in_South_Africa
25,National_symbols_of_South_Africa,0,0,0,0,0,0,0,0,0,0,0,110,National_symbols_of_South_Africa
26,Food_vs._fuel,0,0,0,0,0,0,0,0,0,0,0,63,Food_vs._fuel
27,San_religion,0,0,0,0,0,0,0,0,0,0,1,134,San_religion
